Wavelength (nm),Sum,Fe I (4.4e-02),Fe II (9.5e-01),Fe III (2.2e-03)
200.1,1.830e+3,,1.830e+3,3.013e-4
200.3,2.053e+3,,2.053e+3,3.013e-4
200.6,2.345e+3,,2.345e+3,2.595e-4
200.8,2.514e+3,,2.514e+3,2.128e-4
201.1,2.711e+3,,2.711e+3,1.372e-4
201.3,2.781e+3,,2.781e+3,9.566e-5
201.6,2.755e+3,,2.755e+3,6.328e-5
201.8,2.647e+3,,2.647e+3,7.263e-5
202.1,2.387e+3,,2.387e+3,1.682e-4
202.3,2.196e+3,,2.196e+3,3.235e-4
202.6,1.968e+3,,1.968e+3,7.854e-4
202.8,1.891e+3,,1.891e+3,1.300e-3
203.1,1.894e+3,,1.894e+3,2.418e-3
203.3,1.950e+3,,1.950e+3,3.363e-3
203.6,2.052e+3,,2.052e+3,4.983e-3
203.8,2.095e+3,,2.095e+3,6.217e-3
204.1,2.090e+3,,2.090e+3,8.752e-3
204.3,2.040e+3,,2.040e+3,1.151e-2
204.6,1.916e+3,,1.916e+3,1.874e-2
204.8,1.817e+3,,1.817e+3,2.637e-2
205.1,1.665e+3,,1.665e+3,4.202e-2
205.3,1.570e+3,,1.570e+3,5.405e-2
205.6,1.448e+3,,1.448e+3,7.038e-2
205.8,1.386e+3,,1.386e+3,7.730e-2
206.1,1.328e+3,,1.328e+3,7.829e-2
206.3,1.307e+3,,1.307e+3,7.247e-2
206.6,1.278e+3,,1.278e+3,5.711e-2
206.8,1.247e+3,1.339e-14,1.247e+3,4.555e-2
207.1,1.177e+3,3.629e-13,1.177e+3,3.184e-2
207.3,1.121e+3,3.000e-12,1.121e+3,2.781e-2
207.6,1.043e+3,6.246e-11,1.043e+3,3.249e-2
207.8,1.007e+3,4.330e-10,1.007e+3,4.355e-2
208.1,9.777e+2,6.924e-9,9.777e+2,7.149e-2
208.3,9.693e+2,4.025e-8,9.692e+2,9.597e-2
208.6,9.533e+2,4.944e-7,9.532e+2,1.360e-1
208.8,9.295e+2,2.410e-6,9.294e+2,1.608e-1
209.1,8.654e+2,2.274e-5,8.652e+2,1.886e-1
209.3,8.073e+2,9.299e-5,8.071e+2,1.982e-1
209.6,7.170e+2,6.740e-4,7.168e+2,1.982e-1
209.8,6.692e+2,2.312e-3,6.690e+2,1.895e-1
210.1,6.357e+2,1.288e-2,6.355e+2,1.669e-1
210.3,6.422e+2,3.707e-2,6.420e+2,1.477e-1
