Wavelength,Sum,Al I (4.9e-02),Al II (9.5e-01),Al III (7.0e-04)
280.04,9.802e-11,,9.802e-11,
280.09,6.963e-10,,6.963e-10,
280.14,4.645e-9,,4.645e-9,
280.19,2.909e-8,,2.909e-8,
280.24,1.710e-7,,1.710e-7,
280.29,9.442e-7,,9.442e-7,
280.34,4.894e-6,,4.894e-6,
280.39,2.382e-5,,2.382e-5,
280.44,1.088e-4,,1.088e-4,
280.49,4.669e-4,,4.669e-4,
280.54,1.881e-3,,1.881e-3,
280.59,7.113e-3,,7.113e-3,
280.64,2.526e-2,,2.526e-2,
280.69,8.421e-2,,8.421e-2,
280.74,2.636e-1,,2.636e-1,
280.79,7.747e-1,,7.747e-1,
280.84,2.138e+0,,2.138e+0,
280.89,5.539e+0,,5.539e+0,
280.94,1.347e+1,,1.347e+1,
280.99,3.077e+1,,3.077e+1,
281.04,6.598e+1,,6.598e+1,
281.09,1.328e+2,,1.328e+2,
281.14,2.511e+2,,2.511e+2,
281.19,4.457e+2,,4.457e+2,
281.24,7.427e+2,,7.427e+2,
281.29,1.162e+3,,1.162e+3,
281.34,1.707e+3,,1.707e+3,
281.39,2.354e+3,,2.354e+3,
281.44,3.049e+3,,3.049e+3,
281.49,3.707e+3,,3.707e+3,3.206e-24
281.54,4.232e+3,,4.232e+3,2.525e-23
281.59,4.535e+3,,4.535e+3,1.869e-22
281.64,4.564e+3,,4.564e+3,1.299e-21
281.69,4.312e+3,,4.312e+3,8.490e-21
281.74,3.826e+3,,3.826e+3,5.211e-20
281.79,3.186e+3,,3.186e+3,3.005e-19
281.84,2.492e+3,,2.492e+3,1.629e-18
281.89,1.830e+3,,1.830e+3,8.291e-18
281.94,1.261e+3,,1.261e+3,3.966e-17
281.99,8.164e+2,,8.164e+2,1.782e-16
282.04,4.961e+2,,4.961e+2,7.526e-16
282.09,2.831e+2,,2.831e+2,2.986e-15
282.14,1.516e+2,,1.516e+2,1.113e-14
282.19,7.628e+1,,7.628e+1,3.899e-14
282.24,3.602e+1,,3.602e+1,1.283e-13
282.29,1.597e+1,,1.597e+1,3.967e-13
282.34,6.650e+0,,6.650e+0,1.153e-12
282.39,2.599e+0,,2.599e+0,3.148e-12
282.44,9.539e-1,,9.539e-1,8.077e-12
282.49,3.287e-1,,3.287e-1,1.948e-11
282.54,1.063e-1,,1.063e-1,4.417e-11
282.59,3.230e-2,,3.230e-2,9.417e-11
282.64,9.212e-3,,9.212e-3,1.888e-10
282.69,2.467e-3,,2.467e-3,3.564e-10
282.74,6.201e-4,,6.201e-4,6.334e-10
282.79,1.464e-4,,1.464e-4,1.061e-9
282.84,3.244e-5,,3.244e-5,1.678e-9
282.89,6.753e-6,,6.750e-6,2.510e-9
282.94,1.322e-6,,1.319e-6,3.561e-9
282.99,2.467e-7,,2.419e-7,4.806e-9
283.04,4.786e-8,,4.167e-8,6.196e-9
283.09,1.441e-8,,6.737e-9,7.669e-9
283.14,1.018e-8,,1.023e-9,9.156e-9
283.19,1.074e-8,,1.458e-10,1.059e-8
283.24,1.193e-8,,1.952e-11,1.191e-8
283.29,1.302e-8,,2.452e-12,1.302e-8
283.34,1.383e-8,,,1.383e-8
283.39,1.422e-8,,,1.422e-8
283.44,1.410e-8,,,1.410e-8
283.49,1.340e-8,,,1.340e-8
283.54,1.216e-8,,,1.216e-8
283.59,1.049e-8,,,1.049e-8
283.64,8.582e-9,,,8.582e-9
283.69,6.636e-9,,,6.636e-9
283.74,4.843e-9,,,4.843e-9
283.79,3.332e-9,,,3.332e-9
283.84,2.158e-9,,,2.158e-9
283.89,1.316e-9,,,1.316e-9
283.94,7.545e-10,,,7.545e-10
283.99,4.068e-10,,,4.068e-10
284.04,2.063e-10,,,2.063e-10
284.09,9.828e-11,,,9.828e-11
284.14,4.402e-11,,,4.402e-11
284.19,1.853e-11,,,1.853e-11
284.24,7.330e-12,,,7.330e-12
284.29,2.725e-12,,,2.725e-12
284.34,9.519e-13,,,9.519e-13
284.39,3.125e-13,,,3.125e-13
284.44,9.639e-14,,,9.639e-14
284.49,2.794e-14,,,2.794e-14
284.54,7.611e-15,,,7.611e-15
284.59,1.948e-15,,,1.948e-15
284.64,4.685e-16,,,4.685e-16
284.69,1.059e-16,,,1.059e-16
284.74,2.249e-17,,,2.249e-17
284.79,4.488e-18,,,4.488e-18
284.84,8.416e-19,,,8.416e-19
284.89,1.483e-19,,,1.483e-19
284.94,2.456e-20,,,2.456e-20
284.99,3.821e-21,,,3.821e-21
285.04,5.586e-22,,,5.586e-22
285.09,7.674e-23,,,7.674e-23
285.14,9.907e-24,,,9.907e-24
285.19,1.202e-24,,,1.202e-24
285.94,2.992e-24,,,2.992e-24
285.99,2.376e-23,,,2.376e-23
286.04,1.793e-22,,,1.793e-22
286.09,1.264e-21,,,1.264e-21
286.14,8.383e-21,,,8.383e-21
286.19,5.237e-20,,,5.237e-20
286.24,3.080e-19,,,3.080e-19
286.29,1.706e-18,,,1.706e-18
286.34,8.894e-18,,,8.894e-18
286.39,4.367e-17,,,4.367e-17
286.44,2.019e-16,,,2.019e-16
286.49,8.791e-16,,,8.791e-16
286.54,3.605e-15,,,3.605e-15
286.59,1.392e-14,,,1.392e-14
286.64,5.062e-14,,,5.062e-14
286.69,1.734e-13,,,1.734e-13
286.74,5.594e-13,,,5.594e-13
286.79,1.700e-12,,,1.700e-12
286.84,4.867e-12,,,4.867e-12
286.89,1.313e-11,,,1.313e-11
286.94,3.337e-11,,,3.337e-11
286.99,7.992e-11,,,7.992e-11
287.04,1.804e-10,,,1.804e-10
287.09,3.837e-10,,,3.837e-10
287.14,7.694e-10,,,7.694e-10
287.19,1.454e-9,,,1.454e-9
287.24,2.593e-9,,,2.593e-9
287.29,4.358e-9,,,4.358e-9
287.34,6.910e-9,,,6.910e-9
287.39,1.033e-8,,,1.033e-8
287.44,1.458e-8,,,1.458e-8
287.49,1.942e-8,,,1.942e-8
287.54,2.440e-8,,,2.440e-8
287.59,2.895e-8,,,2.895e-8
287.64,3.243e-8,,,3.243e-8
287.69,3.430e-8,,,3.430e-8
287.74,3.426e-8,,,3.426e-8
287.79,3.233e-8,,,3.233e-8
287.84,2.881e-8,,,2.881e-8
287.89,2.426e-8,,,2.426e-8
