Wavelength,Sum,Cu I (8.6e-02),Cu II (9.1e-01)
210.02,1.304e+3,,1.304e+3
210.07,1.902e+3,,1.902e+3
210.12,3.651e+3,,3.651e+3
210.17,7.333e+3,,7.333e+3
210.22,1.375e+4,,1.375e+4
210.27,2.330e+4,,2.330e+4
210.32,3.534e+4,,3.534e+4
210.37,4.793e+4,,4.793e+4
210.42,5.806e+4,,5.806e+4
210.47,6.284e+4,,6.284e+4
210.52,6.075e+4,,6.075e+4
210.57,5.247e+4,,5.247e+4
210.62,4.052e+4,,4.052e+4
210.67,2.807e+4,,2.807e+4
210.72,1.777e+4,,1.777e+4
210.77,1.117e+4,,1.117e+4
210.82,9.029e+3,,9.029e+3
210.87,1.198e+4,,1.198e+4
210.92,2.093e+4,,2.093e+4
210.97,3.672e+4,,3.672e+4
211.02,5.904e+4,,5.904e+4
211.07,8.531e+4,,8.531e+4
211.12,1.103e+5,,1.103e+5
211.17,1.276e+5,,1.276e+5
211.22,1.319e+5,,1.319e+5
211.27,1.219e+5,,1.219e+5
211.32,1.008e+5,,1.008e+5
211.37,7.465e+4,,7.465e+4
211.42,4.966e+4,,4.966e+4
211.47,2.999e+4,,2.999e+4
211.52,1.697e+4,,1.697e+4
211.57,9.737e+3,,9.737e+3
211.62,6.452e+3,,6.452e+3
211.67,5.289e+3,,5.289e+3
211.72,4.936e+3,,4.936e+3
211.77,4.733e+3,,4.733e+3
211.82,4.657e+3,,4.657e+3
211.87,5.289e+3,,5.289e+3
211.92,7.810e+3,,7.810e+3
211.97,1.395e+4,,1.395e+4
212.02,2.568e+4,,2.568e+4
212.07,4.446e+4,,4.446e+4
212.12,7.009e+4,,7.009e+4
212.17,9.986e+4,,9.986e+4
212.22,1.288e+5,,1.288e+5
212.27,1.518e+5,,1.518e+5
212.32,1.656e+5,,1.656e+5
212.37,1.712e+5,,1.712e+5
212.42,1.721e+5,,1.721e+5
212.47,1.719e+5,,1.719e+5
212.52,1.708e+5,,1.708e+5
212.57,1.661e+5,,1.661e+5
212.62,1.540e+5,,1.540e+5
212.67,1.328e+5,,1.328e+5
212.72,1.049e+5,,1.049e+5
212.77,7.510e+4,,7.510e+4
212.82,4.850e+4,,4.850e+4
212.87,2.821e+4,,2.821e+4
212.92,1.485e+4,,1.485e+4
212.97,7.273e+3,,7.273e+3
