Wavelength,Sum,Mg I (3.8e-02),Mg II (9.5e-01),Mg III (8.2e-03)
280.04,3.643e+6,2.852e-2,3.643e+6,7.460e-29
280.09,4.198e+6,9.142e-2,4.198e+6,1.605e-29
280.14,4.835e+6,2.753e-1,4.835e+6,3.237e-30
280.19,5.386e+6,7.792e-1,5.386e+6,6.122e-31
280.24,5.708e+6,2.073e+0,5.708e+6,1.086e-31
280.29,5.713e+6,5.184e+0,5.713e+6,1.806e-32
280.34,5.381e+6,1.219e+1,5.381e+6,2.817e-33
280.39,4.762e+6,2.697e+1,4.762e+6,4.120e-34
280.44,3.957e+6,5.614e+1,3.957e+6,5.651e-35
280.49,3.086e+6,1.100e+2,3.086e+6,7.268e-36
280.54,2.259e+6,2.031e+2,2.259e+6,8.765e-37
280.59,1.552e+6,3.533e+2,1.551e+6,
280.64,1.000e+6,5.794e+2,9.999e+5,
280.69,6.056e+5,8.965e+2,6.047e+5,
280.74,3.445e+5,1.310e+3,3.432e+5,
280.79,1.846e+5,1.807e+3,1.827e+5,
280.84,9.367e+4,2.358e+3,9.131e+4,
280.89,4.572e+4,2.910e+3,4.281e+4,
280.94,2.223e+4,3.400e+3,1.883e+4,
280.99,1.154e+4,3.763e+3,7.775e+3,
281.04,6.958e+3,3.946e+3,3.012e+3,
281.09,5.018e+3,3.923e+3,1.095e+3,
281.14,4.072e+3,3.698e+3,3.733e+2,
281.19,3.425e+3,3.306e+3,1.195e+2,
281.24,2.838e+3,2.802e+3,3.588e+1,
281.29,2.261e+3,2.251e+3,1.011e+1,
281.34,1.717e+3,1.714e+3,2.673e+0,
281.39,1.237e+3,1.236e+3,6.630e-1,
281.44,8.439e+2,8.437e+2,1.543e-1,
281.49,5.449e+2,5.448e+2,3.371e-2,
281.54,3.327e+2,3.327e+2,6.910e-3,
281.59,1.919e+2,1.919e+2,1.329e-3,
281.64,1.046e+2,1.046e+2,2.398e-4,
281.69,5.376e+1,5.376e+1,4.061e-5,
281.74,2.608e+1,2.608e+1,6.452e-6,
281.79,1.192e+1,1.192e+1,9.619e-7,
281.84,5.139e+0,5.139e+0,1.346e-7,
281.89,2.087e+0,2.087e+0,1.766e-8,
281.94,7.978e-1,7.978e-1,2.176e-9,
281.99,2.872e-1,2.872e-1,,
282.04,9.729e-2,9.729e-2,,
282.09,3.101e-2,3.101e-2,,
282.14,9.299e-3,9.299e-3,,
282.19,2.623e-3,2.623e-3,,
282.24,6.956e-4,6.956e-4,,
282.29,1.735e-4,1.735e-4,,
282.34,4.066e-5,4.066e-5,,
282.39,8.960e-6,8.960e-6,,
282.44,1.855e-6,1.855e-6,,
282.49,3.611e-7,3.611e-7,3.298e-16,
282.54,6.604e-8,6.604e-8,2.689e-15,
282.59,1.135e-8,1.135e-8,2.061e-14,
282.64,1.832e-9,1.832e-9,1.485e-13,
282.69,2.788e-10,2.778e-10,1.005e-12,
282.74,4.595e-11,3.955e-11,6.400e-12,
282.79,4.359e-11,5.293e-12,3.829e-11,
282.84,2.160e-10,6.269e-13,2.154e-10,
282.89,1.139e-9,7.441e-14,1.139e-9,
282.94,5.659e-9,9.699e-14,5.659e-9,
282.99,2.644e-8,7.951e-13,2.644e-8,
283.04,1.161e-7,6.129e-12,1.161e-7,
283.09,4.794e-7,4.441e-11,4.793e-7,
283.14,1.861e-6,3.042e-10,1.860e-6,
283.19,6.790e-6,1.951e-9,6.788e-6,
283.24,2.330e-5,1.177e-8,2.329e-5,
283.29,7.518e-5,6.673e-8,7.511e-5,
283.34,2.282e-4,3.560e-7,2.278e-4,
283.39,6.518e-4,1.786e-6,6.501e-4,
283.44,1.753e-3,8.429e-6,1.745e-3,
283.49,4.444e-3,3.743e-5,4.406e-3,
283.54,1.063e-2,1.563e-4,1.048e-2,
283.59,2.407e-2,6.147e-4,2.345e-2,
283.64,5.177e-2,2.275e-3,4.949e-2,
283.69,1.064e-1,7.924e-3,9.850e-2,
283.74,2.111e-1,2.600e-2,1.851e-1,
283.79,4.093e-1,8.034e-2,3.290e-1,
283.84,7.879e-1,2.340e-1,5.539e-1,
283.89,1.528e+0,6.426e-1,8.853e-1,
283.94,3.012e+0,1.665e+0,1.347e+0,
283.99,6.028e+0,4.072e+0,1.956e+0,
284.04,1.213e+1,9.411e+0,2.721e+0,
284.09,2.422e+1,2.058e+1,3.634e+0,
284.14,4.734e+1,4.266e+1,4.676e+0,
284.19,8.984e+1,8.404e+1,5.807e+0,
284.24,1.649e+2,1.579e+2,6.970e+0,
284.29,2.931e+2,2.850e+2,8.091e+0,
284.34,5.073e+2,4.982e+2,9.085e+0,
284.39,8.644e+2,8.545e+2,9.862e+0,
284.44,1.471e+3,1.461e+3,1.035e+1,
284.49,2.534e+3,2.524e+3,1.049e+1,
284.54,4.457e+3,4.446e+3,1.028e+1,
284.59,7.976e+3,7.967e+3,9.733e+0,
284.64,1.435e+4,1.434e+4,8.908e+0,
284.69,2.554e+4,2.553e+4,7.875e+0,
284.74,4.424e+4,4.423e+4,6.718e+0,
284.79,7.369e+4,7.369e+4,5.520e+0,
284.84,1.171e+5,1.171e+5,4.358e+0,
284.89,1.765e+5,1.765e+5,3.297e+0,
284.94,2.514e+5,2.514e+5,2.383e+0,
284.99,3.379e+5,3.379e+5,1.641e+0,
285.04,4.280e+5,4.280e+5,1.074e+0,
285.09,5.103e+5,5.103e+5,6.664e-1,
285.14,5.726e+5,5.726e+5,3.913e-1,
285.19,6.045e+5,6.045e+5,2.171e-1,
285.24,6.003e+5,6.003e+5,1.137e-1,
285.29,5.606e+5,5.606e+5,5.614e-2,
285.34,4.925e+5,4.925e+5,2.612e-2,
285.39,4.069e+5,4.069e+5,1.144e-2,
285.44,3.161e+5,3.161e+5,4.719e-3,
285.49,2.309e+5,2.309e+5,1.832e-3,
285.54,1.587e+5,1.587e+5,6.688e-4,
285.59,1.025e+5,1.025e+5,2.297e-4,
285.64,6.230e+4,6.230e+4,7.420e-5,
285.69,3.560e+4,3.560e+4,2.254e-5,
285.74,1.913e+4,1.913e+4,6.440e-6,
285.79,9.668e+3,9.668e+3,1.730e-6,
285.84,4.595e+3,4.595e+3,4.370e-7,
285.89,2.053e+3,2.053e+3,1.038e-7,
285.94,8.629e+2,8.629e+2,2.317e-8,
285.99,3.410e+2,3.410e+2,4.865e-9,
286.04,1.267e+2,1.267e+2,9.604e-10,
286.09,4.430e+1,4.430e+1,1.782e-10,
286.14,1.456e+1,1.456e+1,3.110e-11,
286.19,4.500e+0,4.500e+0,5.103e-12,
286.24,1.308e+0,1.308e+0,7.870e-13,
286.29,3.575e-1,3.575e-1,1.141e-13,
286.34,9.189e-2,9.189e-2,1.556e-14,
286.39,2.221e-2,2.221e-2,1.995e-15,
286.44,5.049e-3,5.049e-3,,
286.49,1.079e-3,1.079e-3,,
286.54,2.169e-4,2.169e-4,,
286.59,4.101e-5,4.101e-5,,
286.64,7.290e-6,7.290e-6,,
286.69,1.219e-6,1.219e-6,,
286.74,1.916e-7,1.916e-7,,
286.79,2.832e-8,2.832e-8,,
