Wavelength,Sum,Ti I (1.8e-02),Ti II (9.6e-01),Ti III (2.1e-02)
280.04,2.033e+3,,2.033e+3,
280.09,3.451e+3,,3.451e+3,
280.14,5.501e+3,,5.501e+3,
280.19,8.232e+3,,8.232e+3,
280.24,1.157e+4,,1.157e+4,
280.29,1.529e+4,,1.529e+4,
280.34,1.899e+4,,1.899e+4,
280.39,2.222e+4,,2.222e+4,
280.44,2.456e+4,,2.456e+4,
280.49,2.577e+4,,2.577e+4,
280.54,2.589e+4,,2.589e+4,
280.59,2.530e+4,,2.530e+4,
280.64,2.457e+4,,2.457e+4,
280.69,2.438e+4,,2.438e+4,
280.74,2.524e+4,,2.524e+4,
280.79,2.734e+4,,2.734e+4,
280.84,3.044e+4,,3.044e+4,
280.89,3.394e+4,,3.394e+4,
280.94,3.697e+4,,3.697e+4,
280.99,3.869e+4,,3.869e+4,
281.04,3.853e+4,,3.853e+4,
281.09,3.631e+4,,3.631e+4,
281.14,3.235e+4,,3.235e+4,
281.19,2.731e+4,,2.731e+4,
281.24,2.204e+4,,2.204e+4,
281.29,1.737e+4,,1.737e+4,
281.34,1.396e+4,,1.396e+4,
281.39,1.221e+4,,1.221e+4,
281.44,1.227e+4,,1.227e+4,
281.49,1.401e+4,,1.401e+4,
281.54,1.713e+4,,1.713e+4,
281.59,2.112e+4,,2.112e+4,
281.64,2.533e+4,,2.533e+4,
281.69,2.911e+4,,2.911e+4,
281.74,3.184e+4,,3.184e+4,
281.79,3.311e+4,,3.311e+4,
281.84,3.277e+4,,3.277e+4,
281.89,3.097e+4,,3.097e+4,
281.94,2.805e+4,,2.805e+4,
281.99,2.446e+4,,2.446e+4,
282.04,2.065e+4,,2.065e+4,
282.09,1.699e+4,,1.699e+4,
282.14,1.371e+4,,1.371e+4,
282.19,1.100e+4,,1.100e+4,
282.24,9.017e+3,,9.017e+3,
282.29,7.919e+3,,7.919e+3,
282.34,7.924e+3,,7.924e+3,
282.39,9.273e+3,,9.273e+3,
282.44,1.218e+4,,1.218e+4,
282.49,1.676e+4,,1.676e+4,
282.54,2.290e+4,,2.290e+4,
282.59,3.020e+4,,3.020e+4,
282.64,3.795e+4,,3.795e+4,
282.69,4.523e+4,,4.523e+4,
282.74,5.106e+4,,5.106e+4,
