Wavelength,Sum
278.39,32
278.44,70
278.49,37
278.54,47
278.59,15
278.64,-60
278.69,-7
278.74,8
278.79,-27
278.84,79
278.89,46
278.94,-20
278.98,102
279.03,10
279.08,67
279.13,-27
279.18,12
279.23,47
279.28,77
279.33,65
279.38,-22
279.43,58
279.48,127
279.53,544
279.58,1278
279.63,2359
279.68,2477
279.73,1417
279.78,558
279.83,203
279.88,149
279.92,98
279.97,166
280.02,145
280.07,149
280.12,-8
280.17,55
280.22,127
280.27,474
280.32,664
280.37,484
280.42,969
280.47,337
280.52,195
280.57,94
280.62,82
280.67,104
280.72,36
280.77,81
280.81,79
280.86,9
280.91,110
280.96,64
281.01,108
281.06,129
281.11,40
281.16,83
281.21,286
281.26,210
281.31,142
281.36,622
281.41,543
281.46,987
281.51,939
281.55,1849
281.6,3343
281.65,6183
281.7,8907
281.75,11279
281.8,12394
281.85,11727
281.9,10119
281.95,8549
282,7679
282.05,7315
282.1,5921
282.15,4675
282.2,4056
282.25,3723
282.29,3131
282.34,2758
282.39,2305
282.44,2108
282.49,1809
282.54,1381
282.59,1529
282.64,914
282.69,520
282.74,740
282.79,934
282.84,512
282.89,297
282.94,392
282.98,396
283.03,423
283.08,288
283.13,380
283.18,396
283.23,236
283.28,343
283.33,282
283.38,212
283.43,206
283.48,70
283.53,163
283.58,191
283.62,84
283.67,177
283.72,83
283.77,125
283.82,181
283.87,148
283.92,128
283.97,133
284.02,150
284.07,152
284.12,50
284.17,108
284.21,72
284.26,91
284.31,60
284.36,103
284.41,58
284.46,-40
284.51,105
284.56,84
284.61,103
284.66,33
284.71,58
284.76,214
284.8,16
284.85,49
284.9,136
284.95,19
285,101
285.05,52
285.1,74
285.15,88
285.2,111
285.25,42
285.3,84
285.34,89
285.39,184
285.44,-17
285.49,85
285.54,136
285.59,46
285.64,70
285.69,79
285.74,104
285.79,154
285.84,29
285.88,113
285.93,11
285.98,54
286.03,-29
286.08,28
286.13,60
286.18,37
286.23,41
286.28,135
286.33,68
286.37,44
286.42,54
286.47,18
286.52,7
286.57,92
286.62,36
286.67,113
286.72,115
286.77,39
286.82,10
286.87,20
286.91,74
286.96,-7
287.01,169
287.06,-1
287.11,126
287.16,111
287.21,10
287.26,154
287.31,17
287.35,87
287.4,-23
287.45,117
287.5,65
287.55,22
287.6,59
287.65,34
287.7,38
287.75,50
287.8,47
287.84,47
287.89,79
287.94,107
287.99,-27
288.04,115
288.09,-3
288.14,81
288.19,99
288.24,54
288.28,49
288.33,104
288.38,62
288.43,37
288.48,43
288.53,40
288.58,98
288.63,19
288.68,90
288.72,35
288.77,80
288.82,145
288.87,81
288.92,49
288.97,61
289.02,100
289.07,78
289.12,40
289.16,18
289.21,80
289.26,88
289.31,23
289.36,4
289.41,19
289.46,128
289.51,100
289.55,75
289.6,34
289.65,11
289.7,64
289.75,34
289.8,33
289.85,119
289.9,83
289.95,50
289.99,-39
290.04,56
290.09,177
290.14,39
290.19,81
290.24,138
290.29,66
290.34,72
290.38,37
290.43,44
290.48,79
290.53,155
290.58,96
290.63,60
290.68,170
290.73,59
290.77,119
290.82,76
290.87,134
290.92,19
290.97,137
291.02,167
291.07,98
291.11,87
291.16,91
291.21,78
291.26,109
291.31,99
291.36,77
291.41,161
291.46,151
291.5,54
291.55,63
291.6,102
291.65,32
291.7,127
291.75,85
291.8,71
291.85,87
291.89,54
291.94,69
291.99,12
292.04,185
292.09,173
292.14,121
292.19,194
292.23,96
292.28,144
292.33,162
292.38,88
292.43,143
292.48,164
292.53,140
292.57,207
292.62,166
292.67,153
292.72,126
292.77,212
292.82,191
292.87,167
292.91,132
292.96,407
293.01,146
293.06,71
293.11,83
293.16,204
293.21,121
293.25,43
293.3,185
293.35,113
293.4,204
293.45,268
293.5,151
293.55,154
293.59,144
293.64,68
293.69,62
293.74,269
293.79,145
293.84,170
293.89,126
293.93,105
293.98,204
294.03,132
294.08,73
294.13,187
294.18,60
294.23,82
294.27,66
294.32,104
294.37,117
294.42,164
294.47,187
294.52,165
294.56,178
294.61,30
294.66,140
294.71,251
294.76,96
294.81,189
294.86,157
294.9,132
294.95,247
295,48
295.05,150
295.1,130
295.15,108
295.19,47
295.24,152
295.29,151
295.34,69
295.39,48
295.44,159
295.49,74
295.53,127
295.58,40
295.63,158
295.68,201
295.73,129
295.78,61
295.82,46
295.87,81
295.92,98
295.97,104
296.02,46
296.07,113
296.11,98
296.16,85
296.21,48
296.26,45
296.31,154
296.36,151
296.4,-30
296.45,168
296.5,112
296.55,159
296.6,107
296.65,67
296.69,172
296.74,26
296.79,153
296.84,187
296.89,131
296.94,200
296.98,55
297.03,118
297.08,75
297.13,159
297.18,58
297.23,171
297.27,141
297.32,179
297.37,111
297.42,147
297.47,127
297.52,54
297.56,259
297.61,109
297.66,207
297.71,203
297.76,199
297.8,173
297.85,110
297.9,127
297.95,65
298,273
298.05,88
298.09,57
298.14,159
298.19,8
298.24,140
298.29,168
298.34,78
298.38,285
298.43,52
298.48,66
298.53,184
298.58,173
298.62,300
298.67,178
298.72,241
298.77,108
298.82,154
298.87,162
298.91,169
298.96,132
299.01,116
299.06,151
299.11,119
299.15,204
299.2,46
299.25,172
299.3,217
299.35,131
299.4,90
299.44,253
299.49,72
299.54,268
299.59,289
299.64,101
299.68,262
299.73,246
299.78,84
299.83,232
299.88,176
299.92,155
299.97,117
300.02,134
300.07,106
300.12,186
300.16,291
300.21,328
300.26,145
300.31,187
300.36,221
300.41,205
300.45,190
300.5,316
300.55,179
300.6,298
300.65,388
300.69,257
300.74,258
300.79,263
300.84,121
300.89,314
300.93,210
300.98,199
301.03,345
301.08,366
301.13,213
301.17,219
301.22,141
301.27,366
301.32,283
301.37,336
301.41,237
301.46,244
301.51,377
301.56,173
301.61,334
301.65,384
301.7,288
301.75,226
301.8,464
301.85,339
301.89,288
301.94,460
301.99,245
302.04,218
302.09,407
302.13,412
302.18,282
302.23,446
302.28,463
302.32,331
302.37,492
302.42,249
302.47,443
302.52,235
302.56,185
302.61,192
302.66,326
302.71,441
302.76,337
302.8,532
302.85,228
302.9,259
302.95,302
303,536
303.04,282
303.09,246
303.14,503
303.19,433
303.23,360
303.28,289
303.33,515
303.38,713
303.43,546
303.47,442
303.52,516
303.57,587
303.62,364
303.67,455
303.71,281
303.76,476
303.81,589
303.86,282
303.9,349
303.95,234
304,310
304.05,456
304.1,397
304.14,332
304.19,339
304.24,311
304.29,450
304.33,514
304.38,698
304.43,469
304.48,427
304.53,821
304.57,425
304.62,633
304.67,506
304.72,343
304.76,814
304.81,580
304.86,798
304.91,459
304.96,589
305,871
305.05,1096
305.1,1733
305.15,1395
305.19,2270
305.24,2587
305.29,1594
305.34,1630
305.39,1177
305.43,1461
305.48,1835
305.53,2297
305.58,2855
305.62,3200
305.67,2890
305.72,3519
305.77,4494
305.81,4747
305.86,5454
305.91,5717
305.96,5109
306.01,4645
306.05,3661
306.1,4403
306.15,4112
306.2,2936
306.24,2582
306.29,2814
306.34,2653
306.39,2208
306.43,2682
306.48,2751
306.53,3481
306.58,4008
306.62,4174
306.67,3895
306.72,3911
306.77,4012
306.81,3678
306.86,4073
306.91,3001
306.96,2571
307.01,3078
307.05,2095
307.1,2428
307.15,2186
307.2,2389
307.24,2181
307.29,2161
307.34,2622
307.39,2185
307.43,1870
307.48,2500
307.53,2038
307.58,2285
307.62,1670
307.67,2601
307.72,3202
307.77,2251
307.81,2906
307.86,3845
307.91,3126
307.96,3817
308,3861
308.05,4811
308.1,6206
308.15,7571
308.19,11008
308.24,13866
308.29,19093
308.34,22771
308.38,22583
308.43,18724
308.48,15527
308.53,12190
308.57,10623
308.62,9635
308.67,8954
308.72,8935
308.76,7719
308.81,7625
308.86,6979
308.91,8503
308.95,7893
309,7739
309.05,9020
309.1,10877
309.14,13311
309.19,14642
309.24,19147
309.29,26008
309.33,35934
309.38,40695
309.43,40605
309.48,35973
309.52,28212
309.57,24409
309.62,19391
309.66,16392
309.71,13940
309.76,12304
309.81,10992
309.85,11303
309.9,8868
309.95,8180
310,6856
310.04,6904
310.09,6535
310.14,5960
310.19,5672
310.23,5098
310.28,4674
310.33,3631
310.38,3652
310.42,3936
310.47,3341
310.52,3311
310.56,2843
310.61,2696
310.66,2406
310.71,2992
310.75,1985
310.8,1931
310.85,2172
310.9,2331
310.94,1968
310.99,1964
311.04,1847
311.09,1680
311.13,1655
311.18,1640
311.23,1352
311.27,1441
311.32,1070
311.37,1087
311.42,1182
311.46,1350
311.51,1038
311.56,1175
311.61,843
311.65,941
311.7,925
311.75,1199
311.79,805
311.84,1041
311.89,792
311.94,578
311.98,631
312.03,440
312.08,548
312.12,496
312.17,643
312.22,871
312.27,448
312.31,610
312.36,390
312.41,667
312.46,539
312.5,424
312.55,581
312.6,529
312.64,389
312.69,455
312.74,326
312.79,436
312.83,472
312.88,520
312.93,463
312.97,475
313.02,674
313.07,280
313.12,306
313.16,175
313.21,367
313.26,435
313.3,324
313.35,373
313.4,413
313.45,195
313.49,189
313.54,250
313.59,282
313.63,290
313.68,329
313.73,458
313.78,275
313.82,421
313.87,195
313.92,298
313.96,263
314.01,227
314.06,174
314.1,283
314.15,257
314.2,253
314.25,235
314.29,89
314.34,315
314.39,166
314.43,190
314.48,167
314.53,288
314.58,143
314.62,245
314.67,203
314.72,251
314.76,172
314.81,241
314.86,304
314.9,325
314.95,201
315,174
315.05,208
315.09,304
315.14,204
315.19,210
315.23,307
315.28,120
315.33,88
315.37,310
315.42,193
315.47,87
315.51,208
315.56,330
315.61,81
315.66,162
315.7,195
315.75,128
315.8,117
315.84,238
315.89,155
315.94,237
315.98,184
316.03,234
316.08,121
316.13,141
316.17,214
316.22,134
316.27,143
316.31,264
316.36,154
316.41,197
316.45,109
316.5,147
316.55,198
316.59,79
316.64,158
316.69,138
316.73,37
316.78,153
316.83,107
316.88,165
316.92,79
316.97,64
317.02,210
317.06,81
317.11,104
317.16,85
317.2,120
317.25,59
317.3,86
317.34,198
317.39,168
317.44,118
317.48,49
317.53,81
317.58,199
317.62,90
317.67,33
317.72,52
317.76,182
317.81,83
317.86,45
317.91,140
317.95,150
318,67
318.05,71
318.09,50
318.14,96
318.19,163
318.23,41
318.28,67
318.33,75
318.37,102
318.42,99
318.47,96
318.51,179
318.56,129
318.61,133
318.65,-5
318.7,172
318.75,131
318.79,88
318.84,14
318.89,85
318.93,26
318.98,1
319.03,58
319.07,79
319.12,100
319.17,19
319.21,48
319.26,119
319.31,215
319.35,148
319.4,91
319.45,64
319.49,59
319.54,41
319.59,26
319.63,133
319.68,172
319.73,49
319.77,30
319.82,87
319.87,58
319.91,38
319.96,98
320.01,167
320.05,123
320.1,25
320.15,105
320.19,21
320.24,175
320.29,7
320.33,112
320.38,40
320.43,44
320.47,111
320.52,75
320.57,22
320.61,18
320.66,-10
320.71,113
320.75,67
320.8,27
320.85,31
320.89,75
320.94,40
320.98,69
321.03,73
321.08,53
321.12,223
321.17,50
