Wavelength;Al;Bb;Ca;Cc;Cll;Ff;Kk;li;Na;Nn;Oo;Ti;;
200.41;2,09E-11;0.04414;0,0000013;37,8;0;0;0;0;4,66E-27;0;0;0.01745;;
200.46;3.81e-13;0.06676;642000;26,7;0;0;0;0;5,75E-27;0;5,73E-21;0.03759;;
200.51;6140;0.08924;0,000000283;17,4;0;0;0;0;6,26E-14;0;0,00000103;0.0716;;
200.56;8,75E-08;0.1054;0,000000113;1,11E-12;0;0;0;0;6,03E-14;0;0,0000164;0.1206;;
200.61;0,0000011;0.1101;4,05E-08;0,851;0;0;0;0;5,14E-14;0;2,3E-17;0.18;;
200.66;123000000;0.1017;1,33E-08;1,05E-12;0;0;0;0;3,87E-14;0;2,86E-16;0.2388;;
200.72;0,000189;0.07855;3,15E-09;2,4E-12;0;0;0;0;2,35E-14;1,03E-24;5,01E-15;0.2897;;
200.77;0,00161;0.0553;1,12E-09;9,37;0;0;0;0;1,36E-14;1,83E-36;4,76E-14;0.3071;;
200.82;0,0122;0.03442;15100;7,6E-11;0;0;0;0;7,16E-16;2,86E-22;3,99E-13;0.3064;;
200.87;8.1e-05;0.018930000000000002;5300;7,42E-10;0;0;0;0;3.57e-31;3,96E-21;29,6;0.3018;;
200.92;0.00047780000000000007;0.009208;187000;6,77E-09;0;0;0;0;1,94E-28;4,86E-33;194;0.3069;;
200.97;0.002493;0.003959000000000001;5,88E-08;5,52E-08;0;0;0;0;1,45E-28;5,29E-20;1,13E-10;0.3249;;
201.02;0.01151;0.001504;0,000000164;0,000000399;0;0;0;0;1,56E-15;5,09E-19;5,78E-10;0.3449;;
201.07;0.04701;0.0005053999999999999;4020000;0,00000256;0;0;0;0;1,93E-15;4,34E-17;26200;0.3495;;
201.12;0.1699;0.0001501;874000;0,0000145;0;0;0;0;2,33E-28;3,28E-16;1,05E-08;0.3255;;
201.17;0.5431;3.94e-05;16800000;0,0000733;0;0;0;0;2,56E-15;2,2E-28;374000;0.273;;
201.22;1536;0,00914;0,00000285;0,000328;0;0;0;0;2,51E-28;1,3E-14;0,000000117;0.2041;;
201.27;3846;0,00188;42900000;0,0013;0;0;0;0;2,19E-28;6,83E-27;3250000;0.1353;;
201.32;8,517E+15;3.4e-07;0,00000569;0,00459;0;0;0;0;1,7E-28;3,18E-13;0,000000798;0.07939;;
201.37;16.69;0,0000545;6.68e-09;0,0144;0;0;0;0;1,17E-28;1,31E-25;0,00000173;0.0412;;
201.42;28.94;0,00000772;0,00000693;0,0398;0;0;0;0;7,25E-29;4,77E-25;0,00000333;0.0189;;
201.47;44.41;0,000000967;63700000;0,0981;0;0;0;0;4,07E-16;1,54E-24;5650000;0.007662;;
201.52;60.3;1070000;5170000;0.0002147;0;0;0;0;2,16E-29;4,41E-24;0,00000851;0.002745;;
201.57;72.44;1,05E-08;37400000;0.000417;0;0;0;0;1,19E-29;1,12E-10;1.14e-08;0.0008691;;
201.62;77.03;9,05E-10;0,00000243;0.0007191;0;0;0;0;7.7e-33;2,51E-23;1.37e-08;0.0002432;;
201.67;72.48;69,1;14600000;0.001101;0;0;0;0;6,07E-30;5E-26;0,0000151;0,0601;;
201.72;60.38;4,67E-12;0,000000871;0.0014960000000000002;0;0;0;0;5,31E-30;8,82E-11;158000000;0,0131;;
201.77;44.6;2,79;585000;0.0018039999999999998;0;0;0;0;4,73E-17;1,38E-22;0,0000171;0,00254;;
201.82;29.38;1,84E-14;471000;0.0019320000000000001;0;0;0;0;4,32E-30;1,91E-22;224000000;4330000000;;
201.87;17.68;6,81E-14;0,000000421;0.001835;0;0;0;0;4,47E-30;2,36E-09;465000000;0,0000652;;
201.92;43261;1,11E-12;3720000;0.001547;0;0;0;0;5,72E-30;2,61E-22;0,000172;0,00000869;;
201.97;7,798E+15;1,59E-11;3.03e-10;0.001157;0;0;0;0;8,53E-30;2,6E-22;0,000816;0,00000102;;
202.02;8202;2,03E-10;2210000;0.0007677000000000001;0;0;0;0;1,3E-16;2,4E-22;0,00384;0,000000107;;
