,Wavelength,Sum,B I (2.9e-01),B II (7.1e-01),B III (9.5e-07)
0,200.11,0.0002768,0,0.0002768,0
1,200.16,0.0008773999999999999,0,0.0008773999999999999,0
2,200.21,0.002459,0,0.002459,0
3,200.26,0.00609,0,0.00609,0
4,200.31,0.013330000000000002,0,0.013330000000000002,0
5,200.36,0.0258,0,0.0258,0
6,200.41,0.04414,0,0.04414,0
7,200.46,0.06676,0,0.06676,0
8,200.51,0.08924,0,0.08924,0
9,200.56,0.1054,0,0.1054,0
10,200.61,0.1101,0,0.1101,0
11,200.66,0.1017,0,0.1017,0
12,200.72,0.07855,0,0.07855,0
13,200.77,0.0553,0,0.0553,0
14,200.82,0.03442,0,0.03442,0
15,200.87,0.018930000000000002,0,0.018930000000000002,0
16,200.92,0.009208,0,0.009208,0
17,200.97,0.003959000000000001,0,0.003959000000000001,0
18,201.02,0.001504,0,0.001504,0
19,201.07,0.0005053999999999999,0,0.0005053999999999999,0
20,201.12,0.0001501,0,0.0001501,0
21,201.17,3.94e-05,0,3.94e-05,0
22,201.22,9.142e-06,0,9.142e-06,0
23,201.27,1.875e-06,0,1.875e-06,0
24,201.32,3.4e-07,0,3.4e-07,0
25,201.37,5.449e-08,0,5.449e-08,0
26,201.42,7.719e-09,0,7.719e-09,0
27,201.47,9.665e-10,0,9.665e-10,0
28,201.52,1.0699999999999999e-10,0,1.0699999999999999e-10,0
29,201.57,1.046e-11,0,1.046e-11,0
30,201.62,9.046e-13,0,9.046e-13,0
31,201.67,6.912999999999999e-14,0,6.912999999999999e-14,0
32,201.72,4.669e-15,0,4.669e-15,0
33,201.77,2.7869999999999997e-16,0,2.7869999999999997e-16,0
34,201.82,1.842e-17,0,1.842e-17,0
35,201.87,6.813e-17,0,6.813e-17,0
36,201.92,1.106e-15,0,1.106e-15,0
37,201.97,1.592e-14,0,1.592e-14,0
38,202.02,2.029e-13,0,2.029e-13,0
39,202.07,2.291e-12,0,2.291e-12,0
40,202.12,2.291e-11,0,2.291e-11,0
41,202.17,2.0309999999999998e-10,0,2.0309999999999998e-10,0
42,202.22,1.5939999999999999e-09,0,1.5939999999999999e-09,0
43,202.27,1.109e-08,0,1.109e-08,0
44,202.32,6.832e-08,0,6.832e-08,0
45,202.37,3.729e-07,0,3.729e-07,0
46,202.42,1.8030000000000001e-06,0,1.8030000000000001e-06,0
