,Wavelength,Sum,Ca I (1.7e-02),Ca II (8.9e-01),Ca III (9.1e-02)
0,200.11,7.604e-09,0,0,7.604e-09
1,200.16,7.674e-09,0,0,7.674e-09
2,200.21,6.852e-09,0,0,6.852e-09
3,200.26,5.415e-09,0,0,5.415e-09
4,200.31,3.792e-09,0,0,3.792e-09
5,200.36,2.357e-09,0,0,2.357e-09
6,200.41,1.302e-09,0,0,1.302e-09
7,200.46,6.418999999999999e-10,0,0,6.418999999999999e-10
8,200.51,2.833e-10,0,0,2.833e-10
9,200.56,1.125e-10,0,0,1.125e-10
10,200.61,4.045e-11,0,0,4.045e-11
11,200.66,1.325e-11,0,0,1.325e-11
12,200.72,3.145e-12,0,0,3.145e-12
13,200.77,1.123e-12,0,0,1.123e-12
14,200.82,1.5119999999999998e-12,0,0,1.5119999999999998e-12
15,200.87,5.296000000000001e-12,0,0,5.296000000000001e-12
16,200.92,1.8690000000000002e-11,0,0,1.8690000000000002e-11
17,200.97,5.878e-11,0,0,5.878e-11
18,201.02,1.635e-10,0,0,1.635e-10
19,201.07,4.0210000000000004e-10,0,0,4.0210000000000004e-10
20,201.12,8.740000000000001e-10,0,0,8.740000000000001e-10
21,201.17,1.6800000000000002e-09,0,0,1.6800000000000002e-09
22,201.22,2.854e-09,0,0,2.854e-09
23,201.27,4.2859999999999995e-09,0,0,4.2859999999999995e-09
24,201.32,5.691e-09,0,0,5.691e-09
25,201.37,6.68e-09,0,0,6.68e-09
26,201.42,6.934e-09,0,0,6.934e-09
27,201.47,6.3660000000000006e-09,0,0,6.3660000000000006e-09
28,201.52,5.174999999999999e-09,0,0,5.174999999999999e-09
29,201.57,3.7390000000000004e-09,0,0,3.7390000000000004e-09
30,201.62,2.426e-09,0,0,2.426e-09
31,201.67,1.4560000000000001e-09,0,0,1.4560000000000001e-09
32,201.72,8.709e-10,0,0,8.709e-10
33,201.77,5.847000000000001e-10,0,0,5.847000000000001e-10
34,201.82,4.708000000000001e-10,0,0,4.708000000000001e-10
35,201.87,4.211e-10,0,0,4.211e-10
36,201.92,3.7199999999999996e-10,0,0,3.7199999999999996e-10
37,201.97,3.03e-10,0,0,3.03e-10
38,202.02,2.2149999999999998e-10,0,0,2.2149999999999998e-10
39,202.07,1.441e-10,0,0,1.441e-10
40,202.12,8.381999999999999e-11,0,0,8.381999999999999e-11
41,202.17,4.548e-11,0,0,4.548e-11
42,202.22,2.823e-11,0,0,2.823e-11
43,202.27,3.02e-11,0,0,3.02e-11
44,202.32,5.178e-11,0,0,5.178e-11
45,202.37,9.525000000000001e-11,0,0,9.525000000000001e-11
46,202.42,1.612e-10,0,0,1.612e-10
47,202.47,2.435e-10,0,0,2.435e-10
48,202.52,3.27e-10,0,0,3.27e-10
49,202.57,3.9010000000000003e-10,0,0,3.9010000000000003e-10
50,202.62,4.1410000000000005e-10,0,0,4.1410000000000005e-10
51,202.67,3.918e-10,0,0,3.918e-10
52,202.72,3.311e-10,0,0,3.311e-10
53,202.77,2.5090000000000003e-10,0,0,2.5090000000000003e-10
54,202.82,1.7159999999999998e-10,0,0,1.7159999999999998e-10
55,202.87,1.082e-10,0,0,1.082e-10
56,202.92,6.862999999999999e-11,0,0,6.862999999999999e-11
57,202.97,5.6310000000000004e-11,0,0,5.6310000000000004e-11
58,203.02,7.522e-11,0,0,7.522e-11
59,203.07,1.313e-10,0,0,1.313e-10
60,203.12,2.292e-10,0,0,2.292e-10
61,203.17,3.6450000000000003e-10,0,0,3.6450000000000003e-10
62,203.22,5.167000000000001e-10,0,0,5.167000000000001e-10
63,203.27,6.5e-10,0,0,6.5e-10
64,203.32,7.246e-10,0,0,7.246e-10
65,203.37,7.159e-10,0,0,7.159e-10
66,203.42,6.267999999999999e-10,0,0,6.267999999999999e-10
67,203.47,4.868e-10,0,0,4.868e-10
68,203.52,3.37e-10,0,0,3.37e-10
69,203.57,2.154e-10,0,0,2.154e-10
70,203.62,1.549e-10,0,0,1.549e-10
71,203.67,2.0380000000000004e-10,0,0,2.0380000000000004e-10
72,203.72,4.728000000000001e-10,0,0,4.728000000000001e-10
73,203.77,1.199e-09,0,0,1.199e-09
74,203.82,2.7929999999999998e-09,0,0,2.7929999999999998e-09
75,203.87,5.800999999999999e-09,0,0,5.800999999999999e-09
76,203.92,1.07e-08,0,0,1.07e-08
77,203.97,1.749e-08,0,0,1.749e-08
78,204.02,2.5369999999999998e-08,0,0,2.5369999999999998e-08
79,204.07,3.264e-08,0,0,3.264e-08
80,204.12,3.7239999999999995e-08,0,0,3.7239999999999995e-08
81,204.17,3.77e-08,0,0,3.77e-08
82,204.22,3.386e-08,0,0,3.386e-08
83,204.27,2.699e-08,0,0,2.699e-08
84,204.32,1.913e-08,0,0,1.913e-08
85,204.37,1.2109999999999999e-08,0,0,1.2109999999999999e-08
86,204.42,6.9289999999999995e-09,0,0,6.9289999999999995e-09
87,204.47,3.7119999999999996e-09,0,0,3.7119999999999996e-09
88,204.52,2.013e-09,0,0,2.013e-09
89,204.57,1.243e-09,0,0,1.243e-09
90,204.62,9.208999999999999e-10,0,0,9.208999999999999e-10
91,204.67,7.566000000000001e-10,0,0,7.566000000000001e-10
92,204.72,6.192999999999999e-10,0,0,6.192999999999999e-10
93,204.77,4.754e-10,0,0,4.754e-10
94,204.82,3.341e-10,0,0,3.341e-10
95,204.87,2.131e-10,0,0,2.131e-10
96,204.92,1.229e-10,0,0,1.229e-10
97,204.97,6.398e-11,0,0,6.398e-11
98,205.02,3.037e-11,0,0,3.037e-11
99,205.07,1.461e-11,0,0,1.461e-11
100,205.12,1.25e-11,0,0,1.25e-11
101,205.17,2.782e-11,0,0,2.782e-11
102,205.22,7.92e-11,0,0,7.92e-11
103,205.27,2.101e-10,0,0,2.101e-10
104,205.32,4.978e-10,0,0,4.978e-10
105,205.37,1.048e-09,0,0,1.048e-09
106,205.42,1.961e-09,0,0,1.961e-09
107,205.47,3.2610000000000002e-09,0,0,3.2610000000000002e-09
108,205.52,4.816e-09,0,0,4.816e-09
109,205.57,6.321e-09,0,0,6.321e-09
110,205.62,7.3709999999999995e-09,0,0,7.3709999999999995e-09
111,205.67,7.637e-09,0,0,7.637e-09
112,205.72,7.030999999999999e-09,0,0,7.030999999999999e-09
113,205.77,5.752000000000001e-09,0,0,5.752000000000001e-09
114,205.82,4.181e-09,0,0,4.181e-09
115,205.87,2.7039999999999998e-09,0,0,2.7039999999999998e-09
116,205.92,1.56e-09,0,0,1.56e-09
117,205.97,8.114e-10,0,0,8.114e-10
118,206.02,3.9639999999999994e-10,0,0,3.9639999999999994e-10
119,206.07,2.0500000000000002e-10,0,0,2.0500000000000002e-10
120,206.12,1.38e-10,0,0,1.38e-10
121,206.17,1.27e-10,0,0,1.27e-10
122,206.22,1.325e-10,0,0,1.325e-10
123,206.27,1.3519999999999998e-10,0,0,1.3519999999999998e-10
124,206.32,1.28e-10,0,0,1.28e-10
125,206.37,1.1090000000000001e-10,0,0,1.1090000000000001e-10
126,206.42,8.744e-11,0,0,8.744e-11
127,206.47,6.273e-11,0,0,6.273e-11
128,206.52,4.0829999999999996e-11,0,0,4.0829999999999996e-11
129,206.57,2.4069999999999997e-11,0,0,2.4069999999999997e-11
130,206.62,1.281e-11,0,0,1.281e-11
131,206.67,6.1360000000000005e-12,0,0,6.1360000000000005e-12
132,206.72,2.641e-12,0,0,2.641e-12
133,206.77,1.0199999999999999e-12,0,0,1.0199999999999999e-12
134,206.82,3.582e-13,0,0,3.582e-13
135,206.87,1.374e-13,0,0,1.374e-13
136,206.92,1.424e-13,0,0,1.424e-13
137,206.97,3.974e-13,0,0,3.974e-13
138,207.02,1.205e-12,0,0,1.205e-12
139,207.07,3.3060000000000003e-12,0,0,3.3060000000000003e-12
140,207.12,8.086000000000001e-12,0,0,8.086000000000001e-12
141,207.17,1.761e-11,0,0,1.761e-11
142,207.22,3.4159999999999995e-11,0,0,3.4159999999999995e-11
143,207.27,5.906e-11,0,0,5.906e-11
144,207.32,9.112e-11,0,0,9.112e-11
145,207.37,1.259e-10,0,0,1.259e-10
146,207.42,1.574e-10,0,0,1.574e-10
147,207.47,1.818e-10,0,0,1.818e-10
148,207.52,2.033e-10,0,0,2.033e-10
149,207.57,2.363e-10,0,0,2.363e-10
150,207.62,3.027e-10,0,0,3.027e-10
151,207.67,4.211e-10,0,0,4.211e-10
152,207.72,5.929e-10,0,0,5.929e-10
153,207.77,7.923999999999999e-10,0,0,7.923999999999999e-10
154,207.82,9.694e-10,0,0,9.694e-10
155,207.87,1.068e-09,0,0,1.068e-09
156,207.92,1.053e-09,0,0,1.053e-09
157,207.97,9.260999999999999e-10,0,0,9.260999999999999e-10
