,Wavelength,Sum,C I (6.9e-01),C II (3.1e-01),C III (8.0e-08)
0,200.11,8.189e-15,0,0,8.189e-15
1,200.16,8.231e-15,0,0,8.231e-15
2,200.21,7.771e-15,0,0,7.771e-15
3,200.26,6.99e-15,0,0,6.99e-15
4,200.31,6.02e-15,0,0,6.02e-15
5,200.36,4.9280000000000004e-15,0,0,4.9280000000000004e-15
6,200.41,3.7770000000000004e-15,0,0,3.7770000000000004e-15
7,200.46,2.6710000000000002e-15,0,0,2.6710000000000002e-15
8,200.51,1.7420000000000001e-15,0,0,1.7420000000000001e-15
9,200.56,1.108e-15,0,4.779e-20,1.108e-15
10,200.61,8.509000000000001e-16,0,1.0190000000000001e-18,8.497999999999999e-16
11,200.66,1.053e-15,0,1.759e-17,1.035e-15
12,200.72,2.401e-15,0,4.573000000000001e-16,1.943e-15
13,200.77,9.365000000000001e-15,0,6.046e-15,3.3189999999999997e-15
14,200.82,7.599e-14,0,7.082000000000001e-14,5.165e-15
15,200.87,7.423e-13,0,7.351e-13,7.178e-15
16,200.92,6.771e-12,0,6.763e-12,8.873e-15
17,200.97,5.516e-11,0,5.515e-11,9.749e-15
18,201.02,3.987e-10,0,3.987e-10,9.516e-15
19,201.07,2.556e-09,0,2.556e-09,8.25e-15
20,201.12,1.453e-08,0,1.453e-08,6.351e-15
21,201.17,7.329e-08,0,7.329e-08,4.340999999999999e-15
22,201.22,3.279e-07,0,3.279e-07,2.633e-15
23,201.27,1.302e-06,0,1.302e-06,1.417e-15
24,201.32,4.588e-06,0,4.588e-06,6.763999999999999e-16
25,201.37,1.435e-05,0,1.435e-05,2.863e-16
26,201.42,3.983e-05,0,3.983e-05,1.074e-16
27,201.47,9.814e-05,0,9.814e-05,3.5730000000000003e-17
28,201.52,0.0002147,0,0.0002147,1.052e-17
29,201.57,0.000417,0,0.000417,2.7460000000000003e-18
30,201.62,0.0007191,0,0.0007191,6.346e-19
31,201.67,0.001101,0,0.001101,1.298e-19
32,201.72,0.0014960000000000002,0,0.0014960000000000002,2.351e-20
33,201.77,0.0018039999999999998,0,0.0018039999999999998,3.767e-21
34,201.82,0.0019320000000000001,0,0.0019320000000000001,5.341e-22
35,201.87,0.001835,0,0.001835,6.700000000000001e-23
36,201.92,0.001547,0,0.001547,7.434e-24
37,201.97,0.001157,0,0.001157,7.2960000000000005e-25
38,202.02,0.0007677000000000001,0,0.0007677000000000001,6.332e-26
39,202.07,0.000452,0,0.000452,4.86e-27
40,202.12,0.0002364,0,0.0002364,3.2979999999999998e-28
41,202.17,0.0001103,0,0.0001103,1.975e-29
42,202.22,4.668e-05,0,4.668e-05,1.02e-30
43,202.27,1.898e-05,0,1.898e-05,0
44,202.32,8.716000000000001e-06,0,8.716000000000001e-06,0
45,202.37,5.624e-06,0,5.624e-06,0
46,202.42,4.9489999999999995e-06,0,4.9489999999999995e-06,0
47,202.47,4.8e-06,0,4.8e-06,0
48,202.52,4.523999999999999e-06,0,4.523999999999999e-06,0
49,202.57,3.97e-06,0,3.97e-06,0
50,202.62,3.1919999999999997e-06,0,3.1919999999999997e-06,0
51,202.67,2.334e-06,0,2.334e-06,0
52,202.72,1.545e-06,0,1.545e-06,0
53,202.77,9.226000000000001e-07,0,9.226000000000001e-07,0
54,202.82,4.959e-07,0,4.959e-07,0
55,202.87,2.395e-07,0,2.395e-07,0
56,202.92,1.038e-07,0,1.038e-07,0
57,202.97,4.0300000000000004e-08,0,4.0300000000000004e-08,0
58,203.02,1.4010000000000001e-08,0,1.4010000000000001e-08,0
59,203.07,4.3540000000000005e-09,0,4.3540000000000005e-09,0
60,203.12,1.214e-09,0,1.214e-09,0
61,203.17,3.265e-10,0,3.265e-10,0
62,203.22,1.855e-10,0,1.855e-10,0
63,203.27,4.786999999999999e-10,0,4.786999999999999e-10,0
64,203.32,1.613e-09,0,1.613e-09,0
65,203.37,4.941e-09,0,4.941e-09,0
66,203.42,1.345e-08,0,1.345e-08,0
67,203.47,3.2510000000000005e-08,0,3.2510000000000005e-08,0
68,203.52,6.984e-08,0,6.984e-08,0
69,203.57,1.335e-07,0,1.335e-07,0
70,203.62,2.279e-07,0,2.279e-07,0
71,203.67,3.4829999999999996e-07,0,3.4829999999999996e-07,0
72,203.72,4.797e-07,0,4.797e-07,0
73,203.77,6.007e-07,0,6.007e-07,0
74,203.82,6.919e-07,0,6.919e-07,0
75,203.87,7.436e-07,0,7.436e-07,0
76,203.92,7.556e-07,0,7.556e-07,8.757e-34
77,203.97,7.323000000000001e-07,0,7.323000000000001e-07,1.57e-32
78,204.02,6.768e-07,0,6.768e-07,2.4999999999999998e-31
79,204.07,5.921e-07,0,5.921e-07,3.536e-30
80,204.12,4.844e-07,0,4.844e-07,4.44e-29
81,204.17,3.661e-07,0,3.661e-07,4.95e-28
82,204.22,2.531e-07,0,2.531e-07,4.901e-27
83,204.27,1.593e-07,0,1.593e-07,4.309e-26
84,204.32,9.212999999999999e-08,0,9.212999999999999e-08,3.364e-25
85,204.37,5.311e-08,0,5.311e-08,2.3330000000000002e-24
86,204.42,4.3e-08,0,4.3e-08,1.436e-23
87,204.47,6.898e-08,0,6.898e-08,7.85e-23
88,204.52,1.525e-07,0,1.525e-07,3.811e-22
89,204.57,3.3479999999999995e-07,0,3.3479999999999995e-07,1.643e-21
90,204.62,6.795999999999999e-07,0,6.795999999999999e-07,6.289e-21
91,204.67,1.274e-06,0,1.274e-06,2.138e-20
92,204.72,2.245e-06,0,2.245e-06,6.452000000000001e-20
93,204.77,3.8069999999999997e-06,0,3.8069999999999997e-06,1.7289999999999999e-19
94,204.82,6.367e-06,0,6.367e-06,4.116e-19
95,204.87,1.061e-05,0,1.061e-05,8.7e-19
96,204.92,1.745e-05,0,1.745e-05,1.633e-18
97,204.97,2.767e-05,0,2.767e-05,2.721e-18
98,205.02,4.121e-05,0,4.121e-05,4.0280000000000004e-18
99,205.07,5.651e-05,0,5.651e-05,5.2929999999999995e-18
100,205.12,7.047e-05,0,7.047e-05,6.177e-18
101,205.17,7.932e-05,0,7.932e-05,6.401e-18
102,205.22,8.031e-05,0,8.031e-05,5.89e-18
103,205.27,7.304e-05,0,7.304e-05,4.813e-18
104,205.32,5.965e-05,0,5.965e-05,3.4930000000000006e-18
105,205.37,4.38e-05,0,4.38e-05,2.25e-18
106,205.42,2.894e-05,0,2.894e-05,1.288e-18
107,205.47,1.725e-05,0,1.725e-05,6.5420000000000005e-19
108,205.52,9.288e-06,0,9.288e-06,2.952e-19
109,205.57,4.531e-06,0,4.531e-06,1.183e-19
110,205.62,2.008e-06,0,2.008e-06,4.2080000000000003e-20
111,205.67,8.106999999999999e-07,0,8.106999999999999e-07,1.3330000000000001e-20
112,205.72,2.989e-07,0,2.989e-07,3.852e-21
113,205.77,1.009e-07,0,1.009e-07,1.257e-21
114,205.82,3.126e-08,0,3.126e-08,9.846e-22
115,205.87,8.902e-09,0,8.902e-09,1.696e-21
116,205.92,2.332e-09,0,2.332e-09,3.163e-21
117,205.97,5.617e-10,0,5.617e-10,5.434e-21
118,206.02,1.243e-10,0,1.243e-10,8.549e-21
119,206.07,2.5219999999999998e-11,0,2.5219999999999998e-11,1.2570000000000003e-20
120,206.12,4.678e-12,0,4.678e-12,1.7869999999999998e-20
121,206.17,7.904e-13,0,7.904e-13,2.543e-20
122,206.22,1.212e-13,0,1.212e-13,3.693e-20
123,206.27,1.681e-14,0,1.681e-14,5.392e-20
124,206.32,2.101e-15,0,2.101e-15,7.641e-20
125,206.37,2.362e-16,0,2.361e-16,1.0150000000000001e-19
126,206.42,2.391e-17,0,2.379e-17,1.233e-19
127,206.47,2.2800000000000002e-18,0,2.145e-18,1.351e-19
128,206.52,3.0530000000000002e-19,0,1.726e-19,1.327e-19
