,Wavelength,Sum,Cl I (8.1e-01),Cl II (1.9e-01),Cl III (2.8e-07)
0,221.77,6.608e-29,0,0,6.608e-29
1,221.82,9.274e-28,0,0,9.274e-28
2,221.87,1.1770000000000002e-26,0,0,1.1770000000000002e-26
3,221.92,1.3519999999999998e-25,0,0,1.3519999999999998e-25
4,221.97,1.4040000000000002e-24,0,0,1.4040000000000002e-24
5,222.02,1.318e-23,0,0,1.318e-23
6,222.07,1.1200000000000001e-22,0,0,1.1200000000000001e-22
7,222.12,8.604e-22,0,0,8.604e-22
8,222.17,5.979e-21,0,0,5.979e-21
9,222.22,3.757e-20,0,0,3.757e-20
10,222.27,2.136e-19,0,0,2.136e-19
11,222.32,1.098e-18,0,0,1.098e-18
12,222.37,5.105e-18,0,0,5.105e-18
13,222.42,2.147e-17,0,0,2.147e-17
14,222.47,8.164000000000001e-17,0,0,8.164000000000001e-17
15,222.52,2.8080000000000005e-16,0,0,2.8080000000000005e-16
16,222.57,8.737999999999999e-16,0,0,8.737999999999999e-16
17,222.62,2.459e-15,0,0,2.459e-15
18,222.67,6.257e-15,0,0,6.257e-15
19,222.72,1.44e-14,0,0,1.44e-14
20,222.77,2.998e-14,0,0,2.998e-14
21,222.82,5.645e-14,0,0,5.645e-14
22,222.87,9.612999999999999e-14,0,0,9.612999999999999e-14
23,222.92,1.481e-13,0,0,1.481e-13
24,222.97,2.063e-13,0,0,2.063e-13
25,223.02,2.599e-13,0,0,2.599e-13
26,223.07,2.961e-13,0,0,2.961e-13
27,223.12,3.052e-13,0,0,3.052e-13
28,223.17,2.844e-13,0,0,2.844e-13
29,223.22,2.398e-13,0,0,2.398e-13
30,223.27,1.828e-13,0,0,1.828e-13
31,223.32,1.261e-13,0,0,1.261e-13
32,223.37,7.863999999999999e-14,0,0,7.863999999999999e-14
33,223.42,4.436e-14,0,0,4.436e-14
34,223.47,2.263e-14,0,0,2.263e-14
35,223.52,1.0440000000000001e-14,0,0,1.0440000000000001e-14
36,223.57,4.358e-15,0,0,4.358e-15
37,223.62,1.645e-15,0,0,1.645e-15
38,223.67,5.616000000000001e-16,0,0,5.616000000000001e-16
39,223.72,1.734e-16,0,0,1.734e-16
40,223.77,4.843e-17,0,0,4.843e-17
41,223.82,1.223e-17,0,0,1.223e-17
42,223.87,2.7939999999999995e-18,0,0,2.7939999999999995e-18
43,223.92,5.772999999999999e-19,0,0,5.772999999999999e-19
44,223.97,1.0789999999999998e-19,0,0,1.0789999999999998e-19
45,224.02,1.8230000000000003e-20,0,0,1.8230000000000003e-20
46,224.07,2.787e-21,0,0,2.787e-21
47,224.12,3.9060000000000004e-22,0,0,3.9060000000000004e-22
48,224.17,9.912000000000001e-23,0,0,9.912000000000001e-23
49,224.22,4.461e-22,0,0,4.461e-22
50,224.27,3.454e-21,0,0,3.454e-21
51,224.32,2.4530000000000004e-20,0,0,2.4530000000000004e-20
52,224.37,1.578e-19,0,0,1.578e-19
53,224.42,9.205e-19,0,0,9.205e-19
54,224.47,4.865e-18,0,0,4.865e-18
55,224.52,2.33e-17,0,0,2.33e-17
56,224.57,1.0109999999999999e-16,0,0,1.0109999999999999e-16
57,224.62,3.9760000000000004e-16,0,0,3.9760000000000004e-16
58,224.67,1.417e-15,0,0,1.417e-15
59,224.72,4.5759999999999994e-15,0,0,4.5759999999999994e-15
60,224.77,1.339e-14,0,0,1.339e-14
61,224.82,3.5519999999999997e-14,0,0,3.5519999999999997e-14
62,224.87,8.537e-14,0,0,8.537e-14
63,224.92,1.86e-13,0,0,1.86e-13
64,224.97,3.672e-13,0,0,3.672e-13
65,225.02,6.575e-13,0,0,6.575e-13
66,225.07,1.067e-12,0,0,1.067e-12
67,225.12,1.5730000000000003e-12,0,0,1.5730000000000003e-12
68,225.17,2.1040000000000003e-12,0,0,2.1040000000000003e-12
69,225.22,2.5610000000000005e-12,0,0,2.5610000000000005e-12
70,225.27,2.843e-12,0,0,2.843e-12
71,225.32,2.889e-12,0,0,2.889e-12
72,225.37,2.706e-12,0,0,2.706e-12
73,225.42,2.3580000000000003e-12,0,0,2.3580000000000003e-12
74,225.47,1.935e-12,0,0,1.935e-12
75,225.52,1.516e-12,0,0,1.516e-12
76,225.57,1.1479999999999998e-12,0,0,1.1479999999999998e-12
77,225.62,8.453e-13,0,0,8.453e-13
78,225.67,6.026e-13,0,0,6.026e-13
79,225.72,4.114e-13,0,0,4.114e-13
80,225.77,2.653e-13,0,0,2.653e-13
81,225.82,1.595e-13,0,0,1.595e-13
82,225.87,8.851e-14,0,0,8.851e-14
83,225.92,4.5039999999999997e-14,0,0,4.5039999999999997e-14
84,225.97,2.0919999999999998e-14,0,0,2.0919999999999998e-14
85,226.02,8.845e-15,0,0,8.845e-15
86,226.07,3.407e-15,0,0,3.407e-15
87,226.12,1.233e-15,0,0,1.233e-15
88,226.17,5.762000000000001e-16,0,0,5.762000000000001e-16
89,226.22,8.703e-16,0,0,8.703e-16
90,226.27,2.647e-15,0,0,2.647e-15
91,226.32,8.167e-15,0,0,8.167e-15
92,226.37,2.307e-14,0,0,2.307e-14
93,226.42,5.919e-14,0,0,5.919e-14
94,226.47,1.378e-13,0,0,1.378e-13
95,226.52,2.911e-13,0,0,2.911e-13
96,226.57,5.581e-13,0,0,5.581e-13
97,226.62,9.708e-13,0,0,9.708e-13
98,226.67,1.5319999999999997e-12,0,0,1.5319999999999997e-12
99,226.72,2.195e-12,0,0,2.195e-12
100,226.77,2.853e-12,0,0,2.853e-12
101,226.82,3.366e-12,0,0,3.366e-12
102,226.87,3.6019999999999998e-12,0,0,3.6019999999999998e-12
103,226.92,3.4989999999999995e-12,0,0,3.4989999999999995e-12
104,226.97,3.0839999999999998e-12,0,0,3.0839999999999998e-12
105,227.02,2.4670000000000003e-12,0,0,2.4670000000000003e-12
106,227.07,1.79e-12,0,0,1.79e-12
