,Wavelength,Sum,F II (1.0e+00),F III (1.8e-11)
0,221.22,3.0350000000000002e-22,3.0350000000000002e-22,0
1,221.27,4.316e-21,4.316e-21,0
2,221.32,5.549e-20,5.549e-20,0
3,221.37,6.45e-19,6.45e-19,0
4,221.42,6.777000000000001e-18,6.777000000000001e-18,0
5,221.47,6.436e-17,6.436e-17,0
6,221.52,5.525999999999999e-16,5.525999999999999e-16,0
7,221.57,4.289e-15,4.289e-15,0
8,221.62,3.0089999999999995e-14,3.0089999999999995e-14,0
9,221.67,1.909e-13,1.909e-13,0
10,221.72,1.094e-12,1.094e-12,0
11,221.77,5.672e-12,5.672e-12,0
12,221.82,2.6579999999999997e-11,2.6579999999999997e-11,0
13,221.87,1.1259999999999999e-10,1.1259999999999999e-10,0
14,221.92,4.31e-10,4.31e-10,0
15,221.97,1.492e-09,1.492e-09,0
16,222.02,4.668e-09,4.668e-09,0
17,222.07,1.32e-08,1.32e-08,0
18,222.12,3.3760000000000006e-08,3.3760000000000006e-08,0
19,222.17,7.802e-08,7.802e-08,0
20,222.22,1.6300000000000002e-07,1.6300000000000002e-07,0
21,222.27,3.079e-07,3.079e-07,0
22,222.32,5.258e-07,5.258e-07,0
23,222.37,8.115000000000001e-07,8.115000000000001e-07,0
24,222.42,1.1320000000000001e-06,1.1320000000000001e-06,0
25,222.47,1.4280000000000001e-06,1.4280000000000001e-06,0
26,222.52,1.629e-06,1.629e-06,0
27,222.57,1.6790000000000001e-06,1.6790000000000001e-06,0
28,222.62,1.564e-06,1.564e-06,0
29,222.67,1.3169999999999998e-06,1.3169999999999998e-06,0
30,222.72,1.003e-06,1.003e-06,0
31,222.77,6.905e-07,6.905e-07,0
32,222.82,4.297e-07,4.297e-07,0
33,222.87,2.417e-07,2.417e-07,0
34,222.92,1.229e-07,1.229e-07,0
35,222.97,5.649e-08,5.649e-08,0
36,223.02,2.347e-08,2.347e-08,0
37,223.07,8.816000000000001e-09,8.816000000000001e-09,0
38,223.12,2.994e-09,2.994e-09,0
39,223.17,9.189999999999999e-10,9.189999999999999e-10,0
40,223.22,2.5519999999999996e-10,2.5519999999999996e-10,0
41,223.27,6.572e-11,6.572e-11,0
42,223.32,2.6480000000000002e-11,2.6480000000000002e-11,0
43,223.37,7.686000000000001e-11,7.686000000000001e-11,0
44,223.42,4.132e-10,4.132e-10,0
45,223.47,2.086e-09,2.086e-09,0
46,223.52,9.548e-09,9.548e-09,0
47,223.57,3.9569999999999996e-08,3.9569999999999996e-08,0
48,223.62,1.4849999999999999e-07,1.4849999999999999e-07,0
49,223.67,5.043e-07,5.043e-07,0
50,223.72,1.5509999999999998e-06,1.5509999999999998e-06,0
51,223.77,4.318e-06,4.318e-06,0
52,223.82,1.088e-05,1.088e-05,0
53,223.87,2.484e-05,2.484e-05,0
54,223.92,5.133e-05,5.133e-05,0
55,223.97,9.602e-05,9.602e-05,0
56,224.02,0.0001626,0.0001626,0
57,224.07,0.00024940000000000004,0.00024940000000000004,0
58,224.12,0.00034619999999999996,0.00034619999999999996,0
59,224.17,0.0004352,0.0004352,0
60,224.22,0.0004952,0.0004952,0
61,224.27,0.0005102,0.0005102,0
62,224.32,0.00047589999999999997,0.00047589999999999997,0
63,224.37,0.0004019,0.0004019,0
64,224.42,0.0003073,0.0003073,0
65,224.47,0.00021269999999999997,0.00021269999999999997,0
66,224.52,0.00013330000000000001,0.00013330000000000001,0
67,224.57,7.564e-05,7.564e-05,0
68,224.62,3.886e-05,3.886e-05,0
69,224.67,1.807e-05,1.807e-05,0
70,224.72,7.61e-06,7.61e-06,0
71,224.77,2.9010000000000003e-06,2.9010000000000003e-06,0
72,224.82,1.001e-06,1.001e-06,0
73,224.87,3.129e-07,3.129e-07,0
74,224.92,8.853e-08,8.853e-08,0
75,224.97,2.2680000000000002e-08,2.2680000000000002e-08,0
76,225.02,5.258000000000001e-09,5.258000000000001e-09,0
77,225.07,1.104e-09,1.104e-09,0
78,225.12,2.0990000000000002e-10,2.0990000000000002e-10,0
79,225.17,3.612e-11,3.612e-11,0
80,225.22,5.627999999999999e-12,5.627999999999999e-12,0
81,225.27,7.939e-13,7.939e-13,0
82,225.32,1.014e-13,1.014e-13,0
83,225.37,1.172e-14,1.172e-14,0
84,225.42,1.227e-15,1.227e-15,0
85,225.47,1.163e-16,1.163e-16,0
86,225.52,9.982000000000001e-18,9.982000000000001e-18,0
87,225.57,7.754999999999999e-19,7.754999999999999e-19,0
88,225.62,5.454999999999999e-20,5.454999999999999e-20,0
89,291.19,6.286e-32,0,6.286e-32
90,291.24,4.856999999999999e-31,0,4.856999999999999e-31
91,291.29,3.541e-30,0,3.541e-30
92,291.34,2.4349999999999998e-29,0,2.4349999999999998e-29
93,291.39,1.5800000000000002e-28,0,1.5800000000000002e-28
94,291.44,9.67e-28,0,9.67e-28
95,291.49,5.5840000000000004e-27,0,5.5840000000000004e-27
96,291.54,3.042e-26,0,3.042e-26
97,291.59,1.563e-25,0,1.563e-25
98,291.64,7.580000000000001e-25,0,7.580000000000001e-25
99,291.69,3.4669999999999996e-24,0,3.4669999999999996e-24
100,291.74,1.4960000000000002e-23,0,1.4960000000000002e-23
101,291.79,6.091e-23,0,6.091e-23
102,291.84,2.339e-22,0,2.339e-22
103,291.89,8.477e-22,0,8.477e-22
104,291.94,2.898e-21,0,2.898e-21
105,291.99,9.345e-21,0,9.345e-21
106,292.04,2.8429999999999995e-20,0,2.8429999999999995e-20
107,292.09,8.16e-20,0,8.16e-20
108,292.14,2.21e-19,0,2.21e-19
109,292.19,5.645000000000001e-19,0,5.645000000000001e-19
110,292.24,1.361e-18,0,1.361e-18
111,292.29,3.094e-18,0,3.094e-18
112,292.34,6.637e-18,0,6.637e-18
113,292.39,1.343e-17,0,1.343e-17
114,292.44,2.565e-17,0,2.565e-17
115,292.49,4.622e-17,0,4.622e-17
116,292.54,7.859e-17,0,7.859e-17
117,292.59,1.261e-16,0,1.261e-16
118,292.64,1.909e-16,0,1.909e-16
119,292.69,2.7289999999999996e-16,0,2.7289999999999996e-16
120,292.74,3.682e-16,0,3.682e-16
121,292.79,4.693000000000001e-16,0,4.693000000000001e-16
122,292.84,5.652e-16,0,5.652e-16
123,292.89,6.435999999999999e-16,0,6.435999999999999e-16
124,292.94,6.936e-16,0,6.936e-16
125,292.99,7.083999999999999e-16,0,7.083999999999999e-16
126,293.04,6.867999999999999e-16,0,6.867999999999999e-16
127,293.09,6.335e-16,0,6.335e-16
128,293.14,5.577000000000001e-16,0,5.577000000000001e-16
129,293.19,4.703000000000001e-16,0,4.703000000000001e-16
130,293.24,3.815e-16,0,3.815e-16
131,293.29,2.9900000000000003e-16,0,2.9900000000000003e-16
132,293.35,2.146e-16,0,2.146e-16
133,293.4,1.58e-16,0,1.58e-16
134,293.45,1.134e-16,0,1.134e-16
135,293.5,7.922e-17,0,7.922e-17
136,293.55,5.373e-17,0,5.373e-17
137,293.6,3.524e-17,0,3.524e-17
138,293.65,2.224e-17,0,2.224e-17
139,293.7,1.346e-17,0,1.346e-17
140,293.75,7.777000000000001e-18,0,7.777000000000001e-18
141,293.8,4.277e-18,0,4.277e-18
142,293.85,2.2340000000000002e-18,0,2.2340000000000002e-18
143,293.9,1.106e-18,0,1.106e-18
144,293.95,5.185000000000001e-19,0,5.185000000000001e-19
145,294.0,2.298e-19,0,2.298e-19
146,294.05,9.628999999999999e-20,0,9.628999999999999e-20
147,294.1,3.8110000000000006e-20,0,3.8110000000000006e-20
148,294.15,1.424e-20,0,1.424e-20
149,294.2,5.024e-21,0,5.024e-21
150,294.25,1.673e-21,0,1.673e-21
151,294.3,5.258e-22,0,5.258e-22
152,294.35,1.56e-22,0,1.56e-22
153,294.4,4.3649999999999994e-23,0,4.3649999999999994e-23
154,294.45,1.153e-23,0,1.153e-23
155,294.5,2.8730000000000005e-24,0,2.8730000000000005e-24
156,294.55,6.755e-25,0,6.755e-25
157,294.6,1.4990000000000001e-25,0,1.4990000000000001e-25
158,294.65,3.138e-26,0,3.138e-26
159,294.7,6.197000000000001e-27,0,6.197000000000001e-27
160,294.75,1.155e-27,0,1.155e-27
161,294.8,2.031e-28,0,2.031e-28
162,294.85,3.37e-29,0,3.37e-29
163,294.9,5.275e-30,0,5.275e-30
164,294.95,7.7919999999999995e-31,0,7.7919999999999995e-31
165,295.0,1.0859999999999998e-31,0,1.0859999999999998e-31
166,295.05,1.4280000000000002e-32,0,1.4280000000000002e-32
167,301.65,2.586e-41,0,2.586e-41
168,301.7,1.778e-40,0,1.778e-40
169,301.75,1.1569999999999999e-39,0,1.1569999999999999e-39
170,301.8,7.134999999999999e-39,0,7.134999999999999e-39
171,301.85,4.1669999999999997e-38,0,4.1669999999999997e-38
