,Wavelength,Sum,K I (2.0e-02),K II (9.8e-01),K III (6.0e-09)
0,202.22,2.126e-20,0,2.126e-20,0
1,202.27,4.1000000000000003e-19,0,4.1000000000000003e-19,0
2,202.32,9.502e-18,0,9.502e-18,0
3,202.37,1.508e-16,0,1.508e-16,0
4,202.42,2.132e-15,0,2.132e-15,0
5,202.47,2.6889999999999996e-14,0,2.6889999999999996e-14,0
6,202.52,3.025e-13,0,3.025e-13,0
7,202.57,3.037e-12,0,3.037e-12,0
8,202.62,2.721e-11,0,2.721e-11,0
9,202.67,2.1759999999999998e-10,0,2.1759999999999998e-10,0
10,202.72,1.553e-09,0,1.553e-09,0
11,202.77,9.889e-09,0,9.889e-09,0
12,202.82,5.6189999999999996e-08,0,5.6189999999999996e-08,0
13,202.87,2.848e-07,0,2.848e-07,0
14,202.92,1.2880000000000002e-06,0,1.2880000000000002e-06,0
15,202.97,5.189e-06,0,5.189e-06,0
16,203.02,1.864e-05,0,1.864e-05,0
17,203.07,5.963e-05,0,5.963e-05,0
18,203.12,0.00016999999999999999,0,0.00016999999999999999,0
19,203.17,0.0004315,0,0.0004315,0
20,203.22,0.0009761000000000001,0,0.0009761000000000001,0
21,203.27,0.001968,0,0.001968,0
22,203.32,0.0035380000000000003,0,0.0035380000000000003,0
23,203.37,0.005682,0,0.005682,0
24,203.42,0.008167,0,0.008167,0
25,203.47,0.01053,0,0.01053,0
26,203.52,0.012240000000000001,0,0.012240000000000001,0
27,203.57,0.01287,0,0.01287,0
28,203.62,0.01231,0,0.01231,0
29,203.67,0.01077,0,0.01077,0
30,203.72,0.008657999999999999,0,0.008657999999999999,0
31,203.77,0.006408,0,0.006408,0
32,203.82,0.004364,0,0.004364,0
33,203.87,0.002729,0,0.002729,0
34,203.92,0.00156,0,0.00156,0
35,203.97,0.0008195,0,0.0008195,0
36,204.02,0.00042139999999999994,0,0.00042139999999999994,0
37,204.07,0.00029580000000000003,0,0.00029580000000000003,0
38,204.12,0.0004433,0,0.0004433,0
39,204.17,0.000975,0,0.000975,0
40,204.22,0.002118,0,0.002118,0
41,204.27,0.004152,0,0.004152,0
42,204.32,0.007241,0,0.007241,0
43,204.37,0.01122,0,0.01122,0
44,204.42,0.015430000000000001,0,0.015430000000000001,0
45,204.47,0.01884,0,0.01884,0
46,204.52,0.020419999999999997,0,0.020419999999999997,0
47,204.57,0.01965,0,0.01965,0
48,204.62,0.01679,0,0.01679,0
49,204.67,0.01273,0,0.01273,0
50,204.72,0.008567,0,0.008567,0
51,204.77,0.005118,0,0.005118,0
52,204.82,0.0027140000000000003,0,0.0027140000000000003,0
53,204.87,0.001277,0,0.001277,0
54,204.92,0.0005334,0,0.0005334,0
55,204.97,0.00019769999999999998,0,0.00019769999999999998,0
56,205.02,6.504e-05,0,6.504e-05,0
57,205.07,1.899e-05,0,1.899e-05,0
58,205.12,4.92e-06,0,4.92e-06,0
59,205.17,1.1309999999999998e-06,0,1.1309999999999998e-06,0
60,205.22,2.309e-07,0,2.309e-07,0
61,205.27,4.181e-08,0,4.181e-08,0
62,205.32,6.7190000000000005e-09,0,6.7190000000000005e-09,0
63,205.37,9.582e-10,0,9.582e-10,0
64,205.42,1.213e-10,0,1.213e-10,0
65,205.47,1.3619999999999999e-11,0,1.3619999999999999e-11,0
66,205.52,1.357e-12,0,1.357e-12,0
67,205.57,1.2e-13,0,1.2e-13,0
68,205.62,9.420999999999999e-15,0,9.420999999999999e-15,0
69,205.67,6.561e-16,0,6.561e-16,0
70,205.72,4.055e-17,0,4.055e-17,0
71,205.77,2.221e-18,0,2.221e-18,0
72,206.42,1.055e-18,0,1.055e-18,0
73,206.47,1.849e-17,0,1.849e-17,0
74,206.52,2.8849999999999995e-16,0,2.8849999999999995e-16,0
75,206.57,4.009e-15,0,4.009e-15,0
76,206.62,4.961e-14,0,4.961e-14,0
77,206.67,5.467e-13,0,5.467e-13,0
78,206.72,5.366e-12,0,5.366e-12,0
79,206.77,4.6899999999999994e-11,0,4.6899999999999994e-11,0
80,206.82,3.651e-10,0,3.651e-10,0
81,206.87,2.531e-09,0,2.531e-09,0
82,206.92,1.563e-08,0,1.563e-08,0
83,206.97,8.596e-08,0,8.596e-08,0
84,207.02,4.2130000000000005e-07,0,4.2130000000000005e-07,0
85,207.07,1.84e-06,0,1.84e-06,0
86,207.12,7.1610000000000006e-06,0,7.1610000000000006e-06,0
87,207.17,2.486e-05,0,2.486e-05,0
88,207.22,7.703e-05,0,7.703e-05,0
89,207.27,0.0002133,0,0.0002133,0
90,207.32,0.0005289,0,0.0005289,0
91,207.37,0.0011769999999999999,0,0.0011769999999999999,0
92,207.42,0.002361,0,0.002361,0
93,207.47,0.0042899999999999995,0,0.0042899999999999995,0
94,207.52,0.007108,0,0.007108,0
95,207.57,0.01082,0,0.01082,0
96,207.62,0.015269999999999999,0,0.015269999999999999,0
97,207.67,0.02008,0,0.02008,0
98,207.72,0.024669999999999997,0,0.024669999999999997,0
99,207.77,0.02829,0,0.02829,0
100,207.82,0.0301,0,0.0301,0
101,207.87,0.029539999999999997,0,0.029539999999999997,0
102,207.92,0.02657,0,0.02657,0
103,207.97,0.02186,0,0.02186,0
104,208.02,0.0165,0,0.0165,0
105,208.07,0.0116,0,0.0116,0
106,208.12,0.007849,0,0.007849,0
107,208.17,0.005422,0,0.005422,0
108,208.22,0.004122,0,0.004122,0
109,208.27,0.0036270000000000004,0,0.0036270000000000004,0
110,208.32,0.0036369999999999996,0,0.0036369999999999996,0
111,208.37,0.003901,0,0.003901,0
112,208.42,0.00419,0,0.00419,0
113,208.47,0.004299,0,0.004299,0
114,208.52,0.004105,0,0.004105,0
115,208.57,0.0036299999999999995,0,0.0036299999999999995,0
116,208.62,0.0030510000000000003,0,0.0030510000000000003,0
117,208.67,0.00264,0,0.00264,0
118,208.72,0.002659,0,0.002659,0
119,208.77,0.003259,0,0.003259,0
120,208.82,0.0044,0,0.0044,0
121,208.87,0.005827000000000001,0,0.005827000000000001,0
122,208.92,0.007122,0,0.007122,0
123,208.97,0.007853,0,0.007853,0
124,209.02,0.007751999999999999,0,0.007751999999999999,0
125,209.07,0.006834999999999999,0,0.006834999999999999,0
126,209.12,0.005382,0,0.005382,0
127,209.17,0.0037909999999999997,0,0.0037909999999999997,0
128,209.22,0.002402,0,0.002402,0
129,209.27,0.001391,0,0.001391,0
130,209.32,0.0007661,0,0.0007661,0
131,209.37,0.00043650000000000004,0,0.00043650000000000004,0
132,209.42,0.00028480000000000004,0,0.00028480000000000004,0
133,209.47,0.00021659999999999998,0,0.00021659999999999998,0
134,209.52,0.0001754,0,0.0001754,0
135,209.57,0.00013759999999999998,0,0.00013759999999999998,0
136,209.62,9.939e-05,0,9.939e-05,0
137,209.67,6.481e-05,0,6.481e-05,0
138,209.72,3.785e-05,0,3.785e-05,0
139,209.77,1.976e-05,0,1.976e-05,0
140,209.82,9.204e-06,0,9.204e-06,0
141,209.87,3.827e-06,0,3.827e-06,0
142,209.92,1.42e-06,0,1.42e-06,0
143,209.97,4.7e-07,0,4.7e-07,0
144,210.02,1.388e-07,0,1.388e-07,0
145,210.07,3.659e-08,0,3.659e-08,0
146,210.12,8.606000000000001e-09,0,8.606000000000001e-09,0
147,210.17,1.8060000000000002e-09,0,1.8060000000000002e-09,0
148,210.22,3.381e-10,0,3.381e-10,0
149,210.27,5.65e-11,0,5.65e-11,0
150,210.32,8.423e-12,0,8.423e-12,0
151,210.37,1.12e-12,0,1.12e-12,0
152,210.42,1.33e-13,0,1.33e-13,0
153,210.47,1.4080000000000002e-14,0,1.4080000000000002e-14,0
154,210.52,1.3310000000000001e-15,0,1.3310000000000001e-15,0
155,210.57,1.122e-16,0,1.122e-16,0
156,210.62,8.445e-18,0,8.445e-18,0
157,210.67,5.67e-19,0,5.67e-19,0
