,Wavelength,Sum,Li I (2.0e-02),Li II (9.8e-01),Li III (1.7e-28)
0,206.92,5.335999999999999e-85,0,0,5.335999999999999e-85
1,206.97,1.6319999999999997e-83,0,0,1.6319999999999997e-83
2,207.02,2.682999999999999e-82,0,0,2.682999999999999e-82
3,207.07,3.9419999999999993e-81,0,0,3.9419999999999993e-81
4,207.12,5.172e-80,0,0,5.172e-80
5,207.17,6.05e-79,0,0,6.05e-79
6,207.22,6.339999999999998e-78,0,0,6.339999999999998e-78
7,207.27,5.922999999999999e-77,0,0,5.922999999999999e-77
8,207.32,4.9429999999999995e-76,0,0,4.9429999999999995e-76
9,207.37,3.683999999999999e-75,0,0,3.683999999999999e-75
10,207.42,2.4519999999999997e-74,0,0,2.4519999999999997e-74
11,207.47,1.456e-73,0,0,1.456e-73
12,207.52,7.733999999999999e-73,0,0,7.733999999999999e-73
13,207.57,3.663999999999999e-72,0,0,3.663999999999999e-72
14,207.62,1.5509999999999998e-71,0,0,1.5509999999999998e-71
15,207.67,5.8499999999999995e-71,0,0,5.8499999999999995e-71
16,207.72,1.9759999999999993e-70,0,0,1.9759999999999993e-70
17,207.77,5.952999999999999e-70,0,0,5.952999999999999e-70
18,207.82,1.5999999999999997e-69,0,0,1.5999999999999997e-69
19,207.87,3.8409999999999993e-69,0,0,3.8409999999999993e-69
20,207.92,8.228e-69,0,0,8.228e-69
21,207.97,1.573e-68,0,0,1.573e-68
22,208.02,2.6829999999999996e-68,0,0,2.6829999999999996e-68
23,208.07,4.086999999999999e-68,0,0,4.086999999999999e-68
24,208.12,5.552999999999999e-68,0,0,5.552999999999999e-68
25,208.17,6.730999999999998e-68,0,0,6.730999999999998e-68
26,208.22,7.279999999999999e-68,0,0,7.279999999999999e-68
27,208.27,7.0259999999999985e-68,0,0,7.0259999999999985e-68
28,208.32,6.046999999999999e-68,0,0,6.046999999999999e-68
29,208.37,4.642999999999999e-68,0,0,4.642999999999999e-68
30,208.42,3.1699999999999994e-68,0,0,3.1699999999999994e-68
31,208.47,1.942e-68,0,0,1.942e-68
32,208.52,1.0569999999999998e-68,0,0,1.0569999999999998e-68
33,208.57,5.140999999999998e-69,0,0,5.140999999999998e-69
34,208.62,2.2279999999999996e-69,0,0,2.2279999999999996e-69
35,208.67,8.607e-70,0,0,8.607e-70
36,208.72,2.9659999999999994e-70,0,0,2.9659999999999994e-70
37,208.77,9.110999999999997e-71,0,0,9.110999999999997e-71
38,208.82,2.4949999999999995e-71,0,0,2.4949999999999995e-71
39,208.87,6.093999999999997e-72,0,0,6.093999999999997e-72
40,208.92,1.3269999999999998e-72,0,0,1.3269999999999998e-72
41,208.97,2.5749999999999994e-73,0,0,2.5749999999999994e-73
42,209.02,4.457999999999999e-74,0,0,4.457999999999999e-74
43,209.07,6.878999999999999e-75,0,0,6.878999999999999e-75
44,209.12,9.459999999999998e-76,0,0,9.459999999999998e-76
45,209.17,1.1499999999999997e-76,0,0,1.1499999999999997e-76
46,209.22,1.2679999999999997e-77,0,0,1.2679999999999997e-77
47,209.27,1.2349999999999998e-78,0,0,1.2349999999999998e-78
48,209.32,1.0729999999999999e-79,0,0,1.0729999999999999e-79
49,209.37,8.3059999999999985e-81,0,0,8.3059999999999985e-81
50,209.42,5.731999999999999e-82,0,0,5.731999999999999e-82
51,209.47,3.525999999999999e-83,0,0,3.525999999999999e-83
52,209.52,6.887999999999998e-86,0,0,6.887999999999998e-86
53,231.58,3.287e-40,0,3.287e-40,0
54,231.63,4.1429999999999996e-39,0,4.1429999999999996e-39,0
55,231.68,4.765e-38,0,4.765e-38,0
56,231.73,4.999e-37,0,4.999e-37,0
57,231.78,4.781000000000001e-36,0,4.781000000000001e-36,0
58,231.83,4.171e-35,0,4.171e-35,0
59,231.88,3.3189999999999996e-34,0,3.3189999999999996e-34,0
60,231.93,2.4069999999999998e-33,0,2.4069999999999998e-33,0
61,231.98,3.923e-15,3.923e-15,1.593e-32,0
62,232.03,4.9889999999999996e-14,4.9889999999999996e-14,9.619999999999999e-32,0
63,232.08,5.785e-13,5.785e-13,5.294e-31,0
64,232.13,6.121000000000001e-12,6.121000000000001e-12,2.6589999999999998e-30,0
65,232.18,5.908e-11,5.908e-11,1.2169999999999999e-29,0
66,232.23,5.202e-10,5.202e-10,5.082e-29,0
67,232.28,4.18e-09,4.18e-09,1.9350000000000002e-28,0
68,232.33,3.062e-08,3.062e-08,6.724e-28,0
69,232.38,2.048e-07,2.048e-07,2.12e-27,0
70,232.43,1.249e-06,1.249e-06,6.154e-27,0
71,232.48,6.951e-06,6.951e-06,1.622e-26,0
72,232.53,3.529e-05,3.529e-05,3.898e-26,0
73,232.58,0.00016340000000000001,0.00016340000000000001,8.542999999999999e-26,0
74,232.63,0.0006907,0.0006907,1.707e-25,0
75,232.68,0.0026609999999999997,0.0026609999999999997,3.1130000000000004e-25,0
76,232.73,0.009362,0.009362,5.178e-25,0
77,232.78,0.030039999999999997,0.030039999999999997,7.851000000000001e-25,0
78,232.83,0.08791,0.08791,1.0859999999999999e-24,0
79,232.88,0.2348,0.2348,1.3600000000000002e-24,0
