,Wavelength,Sum,Na I (2.7e-02),Na II (9.7e-01),Na III (9.7e-16)
0,200.11,9.812000000000001e-32,0,0,9.812000000000001e-32
1,200.16,2.541e-31,0,0,2.541e-31
2,200.21,5.82e-31,0,0,5.82e-31
3,200.26,1.1779999999999998e-30,0,0,1.1779999999999998e-30
4,200.31,2.108e-30,0,0,2.108e-30
5,200.36,3.333e-30,0,0,3.333e-30
6,200.41,4.656e-30,0,0,4.656e-30
7,200.46,5.746e-30,0,0,5.746e-30
8,200.51,6.2649999999999995e-30,0,0,6.2649999999999995e-30
9,200.56,6.0349999999999994e-30,0,0,6.0349999999999994e-30
10,200.61,5.1379999999999994e-30,0,0,5.1379999999999994e-30
11,200.66,3.8689999999999995e-30,0,0,3.8689999999999995e-30
12,200.72,2.3459999999999997e-30,0,0,2.3459999999999997e-30
13,200.77,1.3619999999999997e-30,0,0,1.3619999999999997e-30
14,200.82,7.157999999999999e-31,0,0,7.157999999999999e-31
15,200.87,3.57e-31,0,0,3.57e-31
16,200.92,1.937e-31,0,0,1.937e-31
17,200.97,1.448e-31,0,0,1.448e-31
18,201.02,1.5599999999999998e-31,0,0,1.5599999999999998e-31
19,201.07,1.9329999999999997e-31,0,0,1.9329999999999997e-31
20,201.12,2.328e-31,0,0,2.328e-31
21,201.17,2.5559999999999998e-31,0,0,2.5559999999999998e-31
22,201.22,2.511e-31,0,0,2.511e-31
23,201.27,2.193e-31,0,0,2.193e-31
24,201.32,1.701e-31,0,0,1.701e-31
25,201.37,1.173e-31,0,0,1.173e-31
26,201.42,7.245e-32,0,0,7.245e-32
27,201.47,4.0680000000000004e-32,0,0,4.0680000000000004e-32
28,201.52,2.163e-32,0,0,2.163e-32
29,201.57,1.192e-32,0,0,1.192e-32
30,201.62,7.7e-33,0,0,7.7e-33
31,201.67,6.067e-33,0,0,6.067e-33
32,201.72,5.311e-33,0,0,5.311e-33
33,201.77,4.7329999999999996e-33,0,0,4.7329999999999996e-33
34,201.82,4.323e-33,0,0,4.323e-33
35,201.87,4.474e-33,0,0,4.474e-33
36,201.92,5.724e-33,0,0,5.724e-33
37,201.97,8.528e-33,0,0,8.528e-33
38,202.02,1.3039999999999999e-32,0,0,1.3039999999999999e-32
39,202.07,1.893e-32,0,0,1.893e-32
40,202.12,2.5239999999999996e-32,0,0,2.5239999999999996e-32
41,202.17,3.0610000000000004e-32,0,0,3.0610000000000004e-32
42,202.22,3.36e-32,0,0,3.36e-32
43,202.27,3.3349999999999997e-32,0,0,3.3349999999999997e-32
44,202.32,2.993e-32,0,0,2.993e-32
45,202.37,2.4439999999999998e-32,0,0,2.4439999999999998e-32
46,202.42,1.8619999999999997e-32,0,0,1.8619999999999997e-32
47,202.47,1.449e-32,0,0,1.449e-32
48,202.52,1.4080000000000002e-32,0,0,1.4080000000000002e-32
49,202.57,1.935e-32,0,0,1.935e-32
50,202.62,3.1839999999999997e-32,0,0,3.1839999999999997e-32
51,202.67,5.188999999999999e-32,0,0,5.188999999999999e-32
52,202.72,7.766e-32,0,0,7.766e-32
53,202.77,1.048e-31,0,0,1.048e-31
54,202.82,1.2779999999999999e-31,0,0,1.2779999999999999e-31
55,202.87,1.423e-31,0,0,1.423e-31
56,202.92,1.471e-31,0,0,1.471e-31
57,202.97,1.442e-31,0,0,1.442e-31
58,203.02,1.363e-31,0,0,1.363e-31
59,203.07,1.2499999999999999e-31,0,0,1.2499999999999999e-31
60,203.12,1.1019999999999998e-31,0,0,1.1019999999999998e-31
61,203.17,9.188999999999999e-32,0,0,9.188999999999999e-32
62,203.22,7.163999999999999e-32,0,0,7.163999999999999e-32
63,203.27,5.274e-32,0,0,5.274e-32
