,Wavelength,Sum,N I (9.5e-01),N II (5.3e-02),N III (2.7e-10)
0,201.72,1.0349999999999998e-40,0,0,1.0349999999999998e-40
1,201.77,1.828e-39,0,0,1.828e-39
2,201.82,2.8589999999999993e-38,0,0,2.8589999999999993e-38
3,201.87,3.9619999999999995e-37,0,0,3.9619999999999995e-37
4,201.92,4.862e-36,0,0,4.862e-36
5,201.97,5.285999999999999e-35,0,0,5.285999999999999e-35
6,202.02,5.089999999999999e-34,0,0,5.089999999999999e-34
7,202.07,4.3409999999999996e-33,0,0,4.3409999999999996e-33
8,202.12,3.2799999999999995e-32,0,0,3.2799999999999995e-32
9,202.17,2.195e-31,0,0,2.195e-31
10,202.22,1.3009999999999998e-30,0,0,1.3009999999999998e-30
11,202.27,6.829e-30,0,0,6.829e-30
12,202.32,3.1759999999999996e-29,0,0,3.1759999999999996e-29
13,202.37,1.308e-28,0,0,1.308e-28
14,202.42,4.772e-28,0,0,4.772e-28
15,202.47,1.542e-27,0,0,1.542e-27
16,202.52,4.414e-27,0,0,4.414e-27
17,202.57,1.1190000000000001e-26,0,0,1.1190000000000001e-26
18,202.62,2.513e-26,0,0,2.513e-26
19,202.67,5e-26,0,0,5e-26
20,202.72,8.816000000000001e-26,0,0,8.816000000000001e-26
21,202.77,1.378e-25,0,0,1.378e-25
22,202.82,1.912e-25,0,0,1.912e-25
23,202.87,2.3599999999999997e-25,0,0,2.3599999999999997e-25
24,202.92,2.606e-25,0,0,2.606e-25
25,202.97,2.602e-25,0,0,2.602e-25
26,203.02,2.398e-25,0,0,2.398e-25
27,203.07,2.113e-25,0,0,2.113e-25
28,203.12,1.86e-25,0,0,1.86e-25
29,203.17,1.684e-25,0,0,1.684e-25
30,203.22,3.0139999999999996e-23,0,2.999e-23,1.555e-25
31,203.27,5.753e-22,0,5.751e-22,1.4080000000000001e-25
32,203.32,9.787e-21,0,9.787e-21,1.2e-25
33,203.37,1.478e-19,0,1.478e-19,9.346e-26
34,203.42,1.9800000000000002e-18,0,1.9800000000000002e-18,6.548999999999998e-26
35,203.47,2.353e-17,0,2.353e-17,4.0960000000000003e-26
36,203.52,2.4819999999999997e-16,0,2.4819999999999997e-16,2.2769999999999996e-26
37,203.57,2.323e-15,0,2.323e-15,1.123e-26
38,203.62,1.929e-14,0,1.929e-14,4.915e-27
