,Wavelength,Sum,O I (9.7e-01),O II (3.3e-02),O III (2.3e-12)
0,200.46,5.729e-24,0,5.729e-24,0
1,200.51,1.0300000000000001e-22,0,1.0300000000000001e-22,0
2,200.56,1.6379999999999998e-21,0,1.6379999999999998e-21,0
3,200.61,2.303e-20,0,2.303e-20,0
4,200.66,2.864e-19,0,2.864e-19,0
5,200.72,5.013e-18,0,5.013e-18,0
6,200.77,4.757e-17,0,4.757e-17,0
7,200.82,3.991e-16,0,3.991e-16,0
8,200.87,2.9609999999999998e-15,0,2.9609999999999998e-15,0
9,200.92,1.9430000000000002e-14,0,1.9430000000000002e-14,0
10,200.97,1.127e-13,0,1.127e-13,0
11,201.02,5.784e-13,0,5.784e-13,0
12,201.07,2.6239999999999997e-12,0,2.6239999999999997e-12,0
13,201.12,1.053e-11,0,1.053e-11,0
14,201.17,3.7359999999999994e-11,0,3.7359999999999994e-11,0
15,201.22,1.172e-10,0,1.172e-10,0
16,201.27,3.2530000000000006e-10,0,3.2530000000000006e-10,0
17,201.32,7.982e-10,0,7.982e-10,0
18,201.37,1.732e-09,0,1.732e-09,0
19,201.42,3.326e-09,6.813999999999999e-18,3.326e-09,0
20,201.47,5.652000000000001e-09,1.2670000000000002e-16,5.652000000000001e-09,0
21,201.52,8.513e-09,2.086e-15,8.513e-09,0
22,201.57,1.14e-08,3.041e-14,1.14e-08,0
23,201.62,1.37e-08,3.926e-13,1.37e-08,0
24,201.67,1.505e-08,4.488000000000001e-12,1.505e-08,0
25,201.72,1.5769999999999998e-08,4.543e-11,1.5719999999999998e-08,0
26,201.77,1.709e-08,4.072e-10,1.668e-08,0
27,201.82,2.2359999999999996e-08,3.232e-09,1.912e-08,0
28,201.87,4.6470000000000005e-08,2.271e-08,2.376e-08,0
29,201.92,1.715e-07,1.413e-07,3.018e-08,0
30,201.97,8.157e-07,7.789e-07,3.684e-08,0
31,202.02,3.842e-06,3.801e-06,4.162e-08,0
32,202.07,1.646e-05,1.642e-05,4.2889999999999996e-08,0
33,202.12,6.287e-05,6.283e-05,4.0190000000000005e-08,0
34,202.17,0.0002129,0.0002129,3.444e-08,0
35,202.22,0.0006386,0.0006386,2.7280000000000003e-08,0
36,202.27,0.001696,0.001696,2.04e-08,0
37,202.32,0.00399,0.00399,1.4930000000000002e-08,0
38,202.37,0.008311,0.008311,1.142e-08,0
39,202.42,0.015330000000000002,0.015330000000000002,1.0049999999999999e-08,0
40,202.47,0.02503,0.02503,1.08e-08,0
41,202.52,0.0362,0.0362,1.3559999999999999e-08,9.826e-44
42,202.57,0.04635,0.04635,1.784e-08,1.7909999999999998e-42
43,202.62,0.05256,0.05256,2.2719999999999998e-08,2.8929999999999995e-41
44,202.67,0.052770000000000004,0.052770000000000004,2.685e-08,4.143999999999999e-40
45,202.72,0.04691,0.04691,2.891e-08,5.261999999999999e-39
46,202.77,0.036930000000000004,0.036930000000000004,2.812e-08,5.924e-38
47,202.82,0.02574,0.02574,2.463e-08,5.912e-37
48,202.87,0.01589,0.01589,1.9419999999999998e-08,5.23e-36
49,202.92,0.008683,0.008683,1.379e-08,4.102e-35
50,202.97,0.004202,0.004202,8.824e-09,2.852e-34
51,203.02,0.001801,0.001801,5.1e-09,1.758e-33
52,203.07,0.0006833,0.0006833,2.668e-09,9.607999999999999e-33
53,203.12,0.00022959999999999997,0.00022959999999999997,1.265e-09,4.655e-32
54,203.17,6.83e-05,6.83e-05,5.476000000000001e-10,1.9989999999999995e-31
55,203.22,1.799e-05,1.799e-05,2.2280000000000002e-10,7.612e-31
56,203.27,4.197e-06,4.197e-06,9.932e-11,2.5689999999999997e-30
57,203.32,8.669e-07,8.669e-07,7.248e-11,7.688999999999999e-30
58,203.37,1.586e-07,1.585e-07,9.243000000000001e-11,2.04e-29
59,203.42,2.5810000000000004e-08,2.5669999999999998e-08,1.354e-10,4.8009999999999996e-29
60,203.47,3.867e-09,3.681e-09,1.855e-10,1.0019999999999999e-28
61,203.52,6.947e-10,4.674e-10,2.2719999999999998e-10,1.8559999999999997e-28
62,203.57,2.998e-10,5.255e-11,2.472e-10,3.0589999999999993e-28
63,203.62,2.437e-10,5.231e-12,2.384e-10,4.497e-28
64,203.67,2.0439999999999999e-10,4.611e-13,2.0400000000000002e-10,5.951000000000001e-28
65,203.72,1.5509999999999999e-10,3.599e-14,1.5509999999999999e-10,7.212999999999999e-28
66,203.77,1.061e-10,2.487e-15,1.061e-10,8.293e-28
67,203.82,6.942e-11,1.522e-16,6.942e-11,9.564e-28
68,203.87,5.437e-11,8.247000000000001e-18,5.437e-11,1.173e-27
69,203.92,7.009e-11,0,7.009e-11,1.5539999999999998e-27
70,203.97,1.287e-10,0,1.287e-10,2.145e-27
71,204.02,2.447e-10,0,2.447e-10,2.9190000000000003e-27
72,204.07,4.264e-10,0,4.264e-10,3.764999999999999e-27
73,204.12,6.634e-10,0,6.634e-10,4.506e-27
74,204.17,9.165e-10,0,9.165e-10,4.9420000000000006e-27
75,204.22,1.123e-09,0,1.123e-09,4.9319999999999996e-27
76,204.27,1.2220000000000001e-09,0,1.2220000000000001e-09,4.454e-27
77,204.32,1.179e-09,0,1.179e-09,3.624e-27
78,204.37,1.0090000000000001e-09,0,1.0090000000000001e-09,2.6480000000000003e-27
79,204.42,7.657e-10,0,7.657e-10,1.732e-27
80,204.47,5.156000000000001e-10,0,5.156000000000001e-10,1.013e-27
81,204.52,3.08e-10,0,3.08e-10,5.349999999999999e-28
82,204.57,1.632e-10,0,1.632e-10,2.7069999999999997e-28
83,204.62,7.673e-11,0,7.673e-11,1.726e-28
84,204.67,3.2e-11,0,3.2e-11,2.089e-28
85,204.72,1.184e-11,0,1.184e-11,3.7659999999999997e-28
86,204.77,3.884e-12,0,3.884e-12,6.901999999999999e-28
87,204.82,1.131e-12,0,1.131e-12,1.1509999999999999e-27
88,204.87,2.92e-13,0,2.92e-13,1.717e-27
89,204.92,6.688e-14,0,6.688e-14,2.2859999999999998e-27
90,204.97,1.359e-14,0,1.359e-14,2.728e-27
91,205.02,2.45e-15,0,2.45e-15,2.934e-27
92,205.07,3.917e-16,0,3.917e-16,2.876e-27
93,205.12,5.556e-17,0,5.556e-17,2.6079999999999996e-27
94,205.17,6.992000000000001e-18,0,6.992000000000001e-18,2.232e-27
95,205.22,7.804000000000001e-19,0,7.804000000000001e-19,1.842e-27
96,205.27,7.728e-20,0,7.728e-20,1.4849999999999998e-27
97,205.32,6.788e-21,0,6.788e-21,1.1710000000000002e-27
98,205.37,5.289e-22,0,5.289e-22,8.991e-28
99,205.42,3.6560000000000005e-23,0,3.6560000000000005e-23,6.75e-28
100,205.47,2.2420000000000003e-24,0,2.2420000000000003e-24,5.1859999999999995e-28
101,205.52,1.224e-25,0,1.219e-25,4.497e-28
102,205.57,4.722e-28,0,0,4.722e-28
103,205.62,5.652999999999999e-28,0,0,5.652999999999999e-28
104,205.67,6.847e-28,0,0,6.847e-28
105,205.72,7.762e-28,0,0,7.762e-28
106,205.77,7.965e-28,0,0,7.965e-28
107,205.82,7.309e-28,0,0,7.309e-28
108,205.87,5.9729999999999995e-28,0,0,5.9729999999999995e-28
109,205.92,4.341e-28,0,0,4.341e-28
110,205.97,6.809e-23,0,6.809e-23,2.8039999999999997e-28
111,206.02,1.2320000000000001e-21,0,1.2320000000000001e-21,1.6109999999999998e-28
112,206.07,1.9489999999999998e-20,0,1.9489999999999998e-20,8.262999999999999e-29
113,206.12,2.7429999999999996e-19,0,2.7429999999999996e-19,3.915e-29
114,206.17,3.438e-18,0,3.438e-18,2.1169999999999998e-29
115,206.22,3.8350000000000003e-17,0,3.8350000000000003e-17,2.29e-29
116,206.27,3.8080000000000004e-16,0,3.8080000000000004e-16,4.5919999999999996e-29
117,206.32,3.3659999999999995e-15,0,3.3659999999999995e-15,9.966999999999999e-29
118,206.37,2.6489999999999996e-14,0,2.6489999999999996e-14,1.98e-28
119,206.42,1.856e-13,0,1.856e-13,3.5129999999999996e-28
120,206.47,1.157e-12,0,1.157e-12,5.546e-28
121,206.52,6.426e-12,0,6.426e-12,7.789000000000001e-28
122,206.57,3.176e-11,0,3.176e-11,9.73e-28
123,206.62,1.3980000000000002e-10,0,1.3980000000000002e-10,1.081e-27
124,206.67,5.476000000000001e-10,0,5.476000000000001e-10,1.069e-27
125,206.72,1.9100000000000002e-09,0,1.9100000000000002e-09,9.394000000000002e-28
126,206.77,5.93e-09,0,5.93e-09,7.346e-28
127,206.82,1.6399999999999998e-08,0,1.6399999999999998e-08,5.110000000000001e-28
128,206.87,4.0360000000000005e-08,0,4.0360000000000005e-08,3.162e-28
129,206.92,8.849999999999999e-08,0,8.849999999999999e-08,1.74e-28
130,206.97,1.728e-07,0,1.728e-07,8.518e-29
131,207.02,3.009e-07,0,3.009e-07,3.709e-29
132,207.07,4.672e-07,0,4.672e-07,1.437e-29
133,207.12,6.484e-07,0,6.484e-07,4.95e-30
134,207.17,8.070000000000001e-07,0,8.070000000000001e-07,1.5169999999999997e-30
135,207.22,9.064e-07,0,9.064e-07,4.136e-31
136,207.27,9.290999999999999e-07,0,9.290999999999999e-07,1.0029999999999998e-31
137,207.32,8.851e-07,0,8.851e-07,2.163e-32
138,207.37,8.034e-07,0,8.034e-07,4.149999999999999e-33
139,207.42,7.133e-07,0,7.133e-07,7.082e-34
140,207.47,6.285e-07,0,6.285e-07,1.0749999999999998e-34
141,207.52,5.460999999999999e-07,0,5.460999999999999e-07,1.451e-35
142,207.57,4.571e-07,0,4.571e-07,1.743e-36
143,207.62,3.589e-07,0,3.589e-07,1.862e-37
144,207.67,2.588e-07,0,2.588e-07,1.77e-38
145,207.72,1.691e-07,0,1.691e-07,1.4960000000000002e-39
146,207.77,9.927e-08,0,9.927e-08,1.125e-40
147,207.82,5.215e-08,0,5.215e-08,7.522999999999999e-42
148,207.87,2.4449999999999997e-08,0,2.4449999999999997e-08,4.475e-43
149,207.92,1.022e-08,0,1.022e-08,0
150,207.97,3.807e-09,0,3.807e-09,0
151,208.02,1.2629999999999999e-09,0,1.2629999999999999e-09,0
152,208.07,3.7310000000000004e-10,0,3.7310000000000004e-10,0
153,208.12,9.815e-11,0,9.815e-11,0
154,208.17,2.299e-11,0,2.299e-11,0
155,208.22,4.795e-12,0,4.795e-12,0
156,208.27,8.905e-13,0,8.905e-13,0
157,208.32,1.472e-13,0,1.472e-13,0
158,208.37,2.17e-14,0,2.17e-14,0
159,208.42,3.044e-15,0,3.044e-15,0
160,208.47,1.7260000000000002e-15,0,1.7260000000000002e-15,0
161,208.52,8.599e-15,0,8.599e-15,0
162,208.57,4.693e-14,0,4.693e-14,0
163,208.62,2.293e-13,0,2.293e-13,0
164,208.67,1e-12,0,1e-12,0
165,208.72,3.8900000000000006e-12,0,3.8900000000000006e-12,0
166,208.77,1.35e-11,0,1.35e-11,0
167,208.82,4.179e-11,0,4.179e-11,0
168,208.87,1.154e-10,0,1.154e-10,0
169,208.92,2.8439999999999997e-10,0,2.8439999999999997e-10,0
170,208.97,6.253e-10,0,6.253e-10,0
171,209.02,1.2260000000000001e-09,0,1.2260000000000001e-09,0
172,209.07,2.145e-09,0,2.145e-09,0
173,209.12,3.348e-09,0,3.348e-09,0
174,209.17,4.662e-09,0,4.662e-09,0
175,209.22,5.7909999999999995e-09,0,5.7909999999999995e-09,0
176,209.27,6.418e-09,0,6.418e-09,0
