Wavelength,Sum

200.06	,-49
200.11	,-11
200.17	,-11
200.22	,19
200.27	,-25
200.33	,41
200.38	,-15
200.43	,6
200.49,	-14
200.54	,13
200.6	,17
200.65,	34
200.7,	42
200.76,	73
200.81,	7
200.87,	60
200.92,	14
200.97,	-59
201.03,	21
201.08,	27
201.13,	-27
201.19,	59
201.24,	41
201.3,	14
201.35,	-62
201.4	,52
201.46	,44
201.51	,76
201.56	,36
201.62	,9
201.67	,29
201.73	,44
201.78	,41
201.83	,72
201.89	,33
201.94	,56
201.99	,-33
202.05	,38
202.1	,65
202.16	,50
202.21	,-21
202.26	,-27
202.32	,-14
202.37	,74
202.42	,48
202.48	,27
202.53	,51
202.58	,65
202.64	,-36
202.69	,22
202.75	,34
202.8	,53
202.85	,3
202.91	,48
202.96	,-22
203.01	,5
203.07	,-41
203.12	,45
203.18	,49
203.23	,7
203.28	,35
203.34	,33
203.39	,3
203.44	,28
203.5	,18
203.55	,49
203.6	,7
203.66	,-7
203.71	,27
203.77	,1
203.82	,-31
203.87	,53
203.93	,25
203.98	,-39
204.03	,-17
204.09	,-2
204.14	,49
204.19	,74
204.25	,25
204.3	,51
204.36	,26
204.41	,-32
204.46	,60
204.52	,72
204.57	,14
204.62	,51
204.68	,49
204.73	,46
204.78	,33
204.84	,19
204.89	,28
204.95	,-10
205	,6
205.05,	62
205.11,	18
205.16,	44
205.21,	52
205.27,	79
205.32	,-2
205.37,	61
205.43	,21
205.48	,38
205.53	,6
205.59	,93
205.64	,33
205.7	,50
205.75	,52
205.8	,11
205.86	,-57
205.91	,4
205.96	,120
206.02	,14
206.07	,84
206.12	,15
206.18	,55
206.23	,94
206.28	,46
206.34	,-18
206.39	,88
206.44	,45
206.5	,48
206.55	,37
206.61	,52
206.66	,96
206.71	,45
206.77	,80
206.82	,69
206.87	,16
206.93	,55
206.98	,94
207.03	,67
207.09	,76
207.14	,57
207.19	,89
207.25	,110
207.3	,71
207.35	,71
207.41	,134
207.46	,159
207.51	,61
207.57	,56
207.62	,71
207.68	,76
207.73	,109
207.78	,67
207.84	,16
207.89	,90
207.94	,84
208	,79
208.05	,161
208.1	,141
208.16	,135
208.21	,209
208.26	,163
208.32	,213
208.37	,206
208.42	,140
208.48	,234
208.53	,136
208.58	,160
208.64	,190
208.69	,166
208.74	,228
208.8	,136
208.85	,183
208.9	,209
208.96	,98
209.01	,176
209.06	,265
209.12	,275
209.17	,193
209.22	,215
209.28	,291
209.33	,168
209.38	,250
209.44	,182
209.49	,172
209.54	,299
209.6	,317
209.65	,239
209.7	,320
209.76	,252
209.81	,266
209.87	,334
209.92	,302
209.97	,442
210.03	,343
210.08	,321
210.13	,412
210.19	,235
210.24	,470
210.29	,353
210.35	,375
210.4	,362
210.45	,418
210.51	,377
210.56	,451
210.61	,473
210.67	,482
210.72	,421
210.77	,489
210.83	,483
210.88	,477
210.93	,465
210.99	,527
211.04	,466
211.09	,480
211.14	,580
211.2	,479
211.25	,579
211.3	,472
211.36	,644
211.41	,569
211.46	,673
211.52	,590
211.57	,664
211.62	,545
211.68	,662
211.73	,695
211.78	,639
211.84	,633
211.89	,566
211.94	,802
212	,729
212.05	,718
212.1	,772
212.16	,674
212.21	,751
212.26	,671
212.32	,907
212.37	,747
212.42	,851
212.48	,846
212.53	,675
212.58	,764
212.64	,845
212.69	,752
212.74	,889
212.8	,834
212.85	,900
212.9	,721
212.96	,942
213.01	,741
213.06	,1085
213.12	,867
213.17	,964
213.22	,778
213.27	,978
213.33	,765
213.38	,865
213.43	,865
213.49	,1013
213.54	,870
213.59	,936
213.65	,899
213.7	,832
213.75	,877
213.81	,895
213.86	,965
213.91	,1017
213.97	,857
214.02	,1004
214.07	,850
214.13	,872
214.18	,655
214.23	,968
214.29	,1195
214.34	,913
214.39	,873
214.44	,1125
214.5	,771
214.55	,919
214.6	,869
214.66	,884
214.71	,881
214.76	,1009
214.82	,1128
214.87	,974
214.92	,1175
214.98	,1124
215.03	,1203
215.08	,1104
215.14	,1088
215.19	,1093
215.24	,1237
215.29	,1209
215.35	,973
215.4	,1178
215.45	,1065
215.51	,1502
215.56	,911
215.61	,906
215.67	,1004
215.72	,1038
215.77	,1002
215.83	,1103
215.88	,956
215.93	,1244
215.98	,918
216.04	,1015
216.09	,1072
216.14	,1024
216.2	,823
216.25	,1103
216.3	,1154
216.36	,1314
216.41	,1103
216.46	,1093
216.51	,910
216.57	,1143
216.62	,1058
216.67	,955
216.73	,1163
216.78	,819
216.83	,1124
216.89	,1109
216.94	,978
216.99	,1135
217.05	,1112
217.1	,1158
217.15	,955
217.2	,1031
217.26	,1114
217.31	,1210
217.36	,970
