,Wavelength,Sum
0,200.06,-49.0
1,200.11,-11.0
2,200.17,-11.0
3,200.22,19.0
4,200.27,-25.0
5,200.33,41.0
6,200.38,-15.0
7,200.43,6.0
8,200.49,-14.0
9,200.54,13.0
10,200.6,17.0
11,200.65,34.0
12,200.7,42.0
13,200.76,73.0
14,200.81,7.0
15,200.87,60.0
16,200.92,14.0
17,200.97,-59.0
18,201.03,21.0
19,201.08,27.0
20,201.13,-27.0
21,201.19,59.0
22,201.24,41.0
23,201.3,14.0
24,201.35,-62.0
25,201.4,52.0
26,201.46,44.0
27,201.51,76.0
28,201.56,36.0
29,201.62,9.0
30,201.67,29.0
31,201.73,44.0
32,201.78,41.0
33,201.83,72.0
34,201.89,33.0
35,201.94,56.0
36,201.99,-33.0
37,202.05,38.0
38,202.1,65.0
39,202.16,50.0
40,202.21,-21.0
41,202.26,-27.0
42,202.32,-14.0
43,202.37,74.0
44,202.42,48.0
45,202.48,27.0
46,202.53,51.0
47,202.58,65.0
48,202.64,-36.0
49,202.69,22.0
50,202.75,34.0
51,202.8,53.0
52,202.85,3.0
53,202.91,48.0
54,202.96,-22.0
55,203.01,5.0
56,203.07,-41.0
57,203.12,45.0
58,203.18,49.0
59,203.23,7.0
60,203.28,35.0
61,203.34,33.0
62,203.39,3.0
63,203.44,28.0
64,203.5,18.0
65,203.55,49.0
66,203.6,7.0
67,203.66,-7.0
68,203.71,27.0
69,203.77,1.0
70,203.82,-31.0
71,203.87,53.0
72,203.93,25.0
73,203.98,-39.0
74,204.03,-17.0
75,204.09,-2.0
76,204.14,49.0
77,204.19,74.0
78,204.25,25.0
79,204.3,51.0
80,204.36,26.0
81,204.41,-32.0
82,204.46,60.0
83,204.52,72.0
84,204.57,14.0
85,204.62,51.0
86,204.68,49.0
87,204.73,46.0
88,204.78,33.0
89,204.84,19.0
90,204.89,28.0
91,204.95,-10.0
92,205.0,6.0
93,205.05,62.0
94,205.11,18.0
95,205.16,44.0
96,205.21,52.0
97,205.27,79.0
98,205.32,-2.0
99,205.37,61.0
100,205.43,21.0
101,205.48,38.0
102,205.53,6.0
103,205.59,93.0
104,205.64,33.0
105,205.7,50.0
106,205.75,52.0
107,205.8,11.0
108,205.86,-57.0
109,205.91,4.0
110,205.96,120.0
111,206.02,14.0
112,206.07,84.0
113,206.12,15.0
114,206.18,55.0
115,206.23,94.0
116,206.28,46.0
117,206.34,-18.0
118,206.39,88.0
119,206.44,45.0
120,206.5,48.0
121,206.55,37.0
122,206.61,52.0
123,206.66,96.0
124,206.71,45.0
125,206.77,80.0
126,206.82,69.0
127,206.87,16.0
128,206.93,55.0
129,206.98,94.0
130,207.03,67.0
131,207.09,76.0
132,207.14,57.0
133,207.19,89.0
134,207.25,110.0
135,207.3,71.0
136,207.35,71.0
137,207.41,134.0
138,207.46,159.0
139,207.51,61.0
140,207.57,56.0
141,207.62,71.0
142,207.68,76.0
143,207.73,109.0
144,207.78,67.0
145,207.84,16.0
146,207.89,90.0
147,207.94,84.0
148,208.0,79.0
149,208.05,161.0
150,208.1,141.0
151,208.16,135.0
152,208.21,209.0
153,208.26,163.0
154,208.32,213.0
155,208.37,206.0
156,208.42,140.0
157,208.48,234.0
158,208.53,136.0
159,208.58,160.0
160,208.64,190.0
161,208.69,166.0
162,208.74,228.0
163,208.8,136.0
164,208.85,183.0
165,208.9,209.0
166,208.96,98.0
167,209.01,176.0
168,209.06,265.0
169,209.12,275.0
170,209.17,193.0
171,209.22,215.0
172,209.28,291.0
173,209.33,168.0
174,209.38,250.0
175,209.44,182.0
176,209.49,172.0
177,209.54,299.0
178,209.6,317.0
179,209.65,239.0
180,209.7,320.0
181,209.76,252.0
182,209.81,266.0
183,209.87,334.0
184,209.92,302.0
185,209.97,442.0
186,210.03,343.0
187,210.08,321.0
188,210.13,412.0
189,210.19,235.0
190,210.24,470.0
191,210.29,353.0
192,210.35,375.0
193,210.4,362.0
194,210.45,418.0
195,210.51,377.0
196,210.56,451.0
197,210.61,473.0
198,210.67,482.0
199,210.72,421.0
200,210.77,489.0
201,210.83,483.0
202,210.88,477.0
203,210.93,465.0
204,210.99,527.0
205,211.04,466.0
206,211.09,480.0
207,211.14,580.0
208,211.2,479.0
209,211.25,579.0
210,211.3,472.0
211,211.36,644.0
212,211.41,569.0
213,211.46,673.0
214,211.52,590.0
215,211.57,664.0
216,211.62,545.0
217,211.68,662.0
218,211.73,695.0
219,211.78,639.0
220,211.84,633.0
221,211.89,566.0
222,211.94,802.0
223,212.0,729.0
224,212.05,718.0
225,212.1,772.0
226,212.16,674.0
227,212.21,751.0
228,212.26,671.0
229,212.32,907.0
230,212.37,747.0
231,212.42,851.0
232,212.48,846.0
233,212.53,675.0
234,212.58,764.0
235,212.64,845.0
236,212.69,752.0
237,212.74,889.0
238,212.8,834.0
239,212.85,900.0
240,212.9,721.0
241,212.96,942.0
242,213.01,741.0
243,213.06,1085.0
244,213.12,867.0
245,213.17,964.0
246,213.22,778.0
247,213.27,978.0
248,213.33,765.0
249,213.38,865.0
250,213.43,865.0
251,213.49,1013.0
252,213.54,870.0
