,Wavelength,Sum,Al I (4.9e-02),Al II (9.5e-01),Al III (7.0e-04)
0,200.41,2.091e-14,0,2.091e-14,0
1,200.46,3.81e-13,0,3.81e-13,0
2,200.51,6.138999999999999e-12,0,6.138999999999999e-12,0
3,200.56,8.752e-11,0,8.752e-11,0
4,200.61,1.104e-09,0,1.104e-09,0
5,200.66,1.2309999999999999e-08,0,1.2309999999999999e-08,0
6,200.72,1.893e-07,0,1.893e-07,0
7,200.77,1.612e-06,0,1.612e-06,0
8,200.82,1.215e-05,0,1.215e-05,0
9,200.87,8.1e-05,0,8.1e-05,0
10,200.92,0.00047780000000000007,0,0.00047780000000000007,0
11,200.97,0.002493,0,0.002493,0
12,201.02,0.01151,0,0.01151,0
13,201.07,0.04701,0,0.04701,0
14,201.12,0.1699,0,0.1699,0
15,201.17,0.5431,0,0.5431,0
16,201.22,1.536,0,1.536,0
17,201.27,3.846,0,3.846,0
18,201.32,8.517000000000001,0,8.517000000000001,0
19,201.37,16.69,0,16.69,0
20,201.42,28.94,0,28.94,0
21,201.47,44.41,0,44.41,0
22,201.52,60.3,0,60.3,0
23,201.57,72.44,0,72.44,0
24,201.62,77.03,0,77.03,0
25,201.67,72.48,0,72.48,0
26,201.72,60.38,0,60.38,0
27,201.77,44.6,0,44.6,0
28,201.82,29.38,0,29.38,0
29,201.87,17.68,0,17.68,0
30,201.92,10.6,0,10.6,0
31,201.97,7.797999999999999,0,7.797999999999999,0
32,202.02,8.202,0,8.202,0
33,202.07,10.51,0,10.51,0
34,202.12,13.37,0,13.37,0
35,202.17,15.53,0,15.53,0
36,202.22,16.07,0,16.07,0
37,202.27,14.74,0,14.74,0
38,202.32,11.97,0,11.97,0
39,202.37,8.606,0,8.606,0
40,202.42,5.474,0,5.474,0
41,202.47,3.0810000000000004,0,3.0810000000000004,0
42,202.52,1.535,0,1.535,0
43,202.57,0.6763,0,0.6763,0
44,202.62,0.2638,0,0.2638,0
45,202.67,0.09103,0,0.09103,0
46,202.72,0.0278,0,0.0278,0
47,202.77,0.007513,0,0.007513,0
48,202.82,0.001797,0,0.001797,0
49,202.87,0.0003802,0,0.0003802,0
50,202.92,7.119e-05,0,7.119e-05,0
51,202.97,1.18e-05,0,1.18e-05,0
52,203.02,1.73e-06,0,1.73e-06,0
53,203.07,2.2440000000000002e-07,0,2.2440000000000002e-07,0
54,203.12,2.576e-08,0,2.576e-08,0
55,203.17,2.618e-09,0,2.618e-09,0
56,203.22,2.353e-10,0,2.353e-10,0
57,203.27,1.872e-11,0,1.872e-11,0
58,203.32,1.318e-12,0,1.318e-12,0
59,203.37,8.211e-14,0,8.211e-14,0
60,203.42,4.526e-15,0,4.526e-15,0
61,206.12,4.1849999999999997e-22,0,0,4.1849999999999997e-22
62,206.17,7.895e-14,0,7.895e-14,7.105e-21
63,206.22,1.3000000000000001e-12,0,1.3000000000000001e-12,1.0740000000000001e-19
64,206.27,1.906e-11,0,1.906e-11,1.4459999999999999e-18
65,206.32,2.487e-10,0,2.487e-10,1.732e-17
66,206.37,2.8899999999999997e-09,0,2.8899999999999997e-09,1.8480000000000002e-16
67,206.42,2.989e-08,0,2.989e-08,1.7550000000000001e-15
68,206.47,2.7530000000000004e-07,0,2.7530000000000004e-07,1.484e-14
69,206.52,2.2569999999999997e-06,0,2.2569999999999997e-06,1.118e-13
70,206.57,1.647e-05,0,1.647e-05,7.492e-13
71,206.62,0.00010700000000000001,0,0.00010700000000000001,4.471000000000001e-12
72,206.67,0.0006191,0,0.0006191,2.376e-11
73,206.72,0.003188,0,0.003188,1.124e-10
74,206.77,0.01462,0,0.01462,4.735000000000001e-10
75,206.82,0.059660000000000005,0,0.059660000000000005,1.776e-09
76,206.87,0.2168,0,0.2168,5.929e-09
77,206.92,0.7013,0,0.7013,1.763e-08
78,206.97,2.02,0,2.02,4.665e-08
79,207.02,5.178,0,5.178,1.099e-07
80,207.07,11.82,0,11.82,2.307e-07
81,207.12,24.02,0,24.02,4.3090000000000003e-07
82,207.17,43.45,0,43.45,7.165999999999999e-07
83,207.22,69.98,0,69.98,1.0609999999999999e-06
84,207.27,100.3,0,100.3,1.399e-06
85,207.32,128.1,0,128.1,1.642e-06
86,207.37,145.5,0,145.5,1.716e-06
87,207.42,147.2,0,147.2,1.597e-06
88,207.47,132.6,0,132.6,1.323e-06
89,207.52,106.3,0,106.3,9.761e-07
90,207.57,75.91,0,75.91,6.411e-07
91,207.62,48.24,0,48.24,3.748e-07
92,207.67,27.29,0,27.29,1.952e-07
93,207.72,13.75,0,13.75,9.045999999999999e-08
94,207.77,6.164,0,6.164,3.7330000000000004e-08
95,207.82,2.461,0,2.461,1.3719999999999998e-08
96,207.87,0.8746,0,0.8746,4.487999999999999e-09
97,207.92,0.2767,0,0.2767,1.3070000000000001e-09
98,207.97,0.07794,0,0.07794,3.39e-10
99,208.02,0.01955,0,0.01955,7.831999999999998e-11
100,208.07,0.004364,0,0.004364,1.639e-11
101,208.12,0.0008673,0,0.0008673,4.881000000000001e-12
102,208.17,0.0001535,0,0.0001535,1.19e-11
103,208.22,2.417e-05,0,2.417e-05,6.021e-11
104,208.27,3.39e-06,0,3.39e-06,2.824e-10
105,208.32,4.2439999999999996e-07,0,4.233e-07,1.182e-09
106,208.37,5.2060000000000004e-08,0,4.765e-08,4.415e-09
107,208.42,2.585e-08,0,1.115e-08,1.47e-08
108,208.47,1.0609999999999999e-07,0,6.247e-08,4.3650000000000004e-08
109,208.52,6.451000000000001e-07,0,5.295000000000001e-07,1.156e-07
110,208.57,4.309e-06,0,4.036e-06,2.73e-07
111,208.62,2.807e-05,0,2.749e-05,5.751e-07
112,208.67,0.0001685,0,0.0001674,1.081e-06
113,208.72,0.0009132,0,0.0009113999999999999,1.8159999999999999e-06
114,208.77,0.004439,0,0.004437,2.727e-06
115,208.82,0.01932,0,0.01932,3.6810000000000004e-06
116,208.87,0.07525,0,0.07525,4.499e-06
117,208.92,0.2623,0,0.2623,5.067e-06
118,208.97,0.8184,0,0.8184,5.42e-06
119,209.02,2.286,0,2.286,5.7539999999999995e-06
120,209.07,5.721,0,5.721,6.312000000000001e-06
121,209.12,12.82,0,12.82,7.196e-06
122,209.17,25.76,0,25.76,8.249e-06
123,209.22,46.38,0,46.38,9.084e-06
124,209.27,74.87,0,74.87,9.282999999999999e-06
125,209.32,108.4,0,108.4,8.626e-06
126,209.37,140.7,0,140.7,7.214e-06
127,209.42,163.9,0,163.9,5.405e-06
128,209.47,171.3,0,171.3,3.6189999999999996e-06
129,209.52,160.6,0,160.6,2.1630000000000003e-06
130,209.57,135.1,0,135.1,1.154e-06
131,209.62,102.0,0,102.0,5.494e-07
132,209.67,69.08,0,69.08,2.3329999999999998e-07
133,209.72,41.97,0,41.97,8.841000000000001e-08
134,209.77,22.87,0,22.87,2.988e-08
135,209.82,11.17,0,11.17,9.012e-09
136,209.87,4.893,0,4.893,2.424e-09
137,209.92,1.921,0,1.921,5.818e-10
138,209.97,0.6759,0,0.6759,1.246e-10
139,210.02,0.213,0,0.213,2.379e-11
140,210.07,0.060129999999999996,0,0.060129999999999996,4.053e-12
141,210.12,0.0152,0,0.0152,6.161e-13
142,210.17,0.003439,0,0.003439,8.354e-14
143,210.22,0.0006963999999999999,0,0.0006963999999999999,1.0109999999999999e-14
144,210.27,0.0001262,0,0.0001262,1.091e-15
145,210.32,2.045e-05,0,2.045e-05,1.05e-16
146,210.37,2.965e-06,0,2.965e-06,9.017e-18
147,210.42,3.8450000000000004e-07,0,3.8450000000000004e-07,6.908e-19
148,210.47,4.456e-08,0,4.456e-08,4.7219999999999994e-20
149,210.52,4.6179999999999996e-09,0,4.6179999999999996e-09,2.879e-21
150,210.57,4.2849999999999997e-10,7.825e-13,4.277e-10,0
151,210.62,4.767e-11,1.227e-11,3.5399999999999995e-11,0
152,210.67,1.747e-10,1.721e-10,2.6189999999999996e-12,0
153,210.72,2.159e-09,2.159e-09,1.706e-13,0
154,210.77,2.4219999999999998e-08,2.4219999999999998e-08,8.206e-15,0
155,210.82,2.432e-07,2.432e-07,0,0
156,210.87,2.184e-06,2.184e-06,0,0
157,210.92,1.755e-05,1.755e-05,0,0
158,210.97,0.0001261,0.0001261,0,0
159,211.02,0.0008107999999999999,0.0008107999999999999,0,0
160,211.07,0.0046630000000000005,0.0046630000000000005,0,0
161,211.12,0.02399,0.02399,0,0
162,211.17,0.1104,0.1104,0,0
163,211.22,0.4545,0.4545,0,0
164,211.27,1.6740000000000002,1.6740000000000002,0,0
165,211.32,5.515,5.515,0,0
166,211.37,16.25,16.25,0,0
167,211.42,42.85,42.85,0,0
168,211.47,101.1,101.1,0,0
169,211.52,213.2,213.2,0,0
170,211.57,402.4,402.4,0,0
171,211.62,679.4,679.4,0,0
172,211.67,1026.0,1026.0,0,0
173,211.72,1387.0,1387.0,0,0
174,211.77,1678.0,1678.0,0,0
175,211.82,1820.0,1820.0,0,0
176,211.87,1778.0,1778.0,0,0
177,211.92,1587.0,1587.0,0,0
178,211.97,1344.0,1344.0,0,0
179,212.02,1180.0,1180.0,0,0
180,212.07,1211.0,1211.0,0,0
181,212.12,1498.0,1498.0,0,0
182,212.17,2018.0,2018.0,0,0
183,212.22,2654.0,2654.0,0,0
184,212.27,3226.0,3226.0,0,0
185,212.32,3546.0,3546.0,0,0
186,212.37,3502.0,3502.0,0,0
