,Wavelength,Sum
0,200.06,-6.0
1,200.11,23.0
2,200.17,-51.0
3,200.22,24.0
4,200.27,29.0
5,200.33,7.0
6,200.38,-15.0
7,200.43,-39.0
8,200.49,-7.0
9,200.54,5.0
10,200.6,-63.0
11,200.65,-29.0
12,200.7,44.0
13,200.76,-39.0
14,200.81,-52.0
15,200.87,-85.0
16,200.92,-3.0
17,200.97,30.0
18,201.03,-36.0
19,201.08,-22.0
20,201.13,-11.0
21,201.19,-65.0
22,201.24,22.0
23,201.3,-10.0
24,201.35,14.0
25,201.4,-57.0
26,201.46,25.0
27,201.51,23.0
28,201.56,26.0
29,201.62,13.0
30,201.67,-15.0
31,201.73,-59.0
32,201.78,-57.0
33,201.83,-33.0
34,201.89,-6.0
35,201.94,33.0
36,201.99,-28.0
37,202.05,46.0
38,202.1,-45.0
39,202.16,-9.0
40,202.21,8.0
41,202.26,-38.0
42,202.32,-64.0
43,202.37,-62.0
44,202.42,31.0
45,202.48,26.0
46,202.53,-22.0
47,202.58,-76.0
48,202.64,-16.0
49,202.69,-36.0
50,202.75,-66.0
51,202.8,57.0
52,202.85,41.0
53,202.91,-2.0
54,202.96,69.0
55,203.01,-25.0
56,203.07,8.0
57,203.12,55.0
58,203.18,44.0
59,203.23,37.0
60,203.28,-39.0
61,203.34,14.0
62,203.39,-3.0
63,203.44,-84.0
64,203.5,0.0
65,203.55,-57.0
66,203.6,-30.0
67,203.66,-13.0
68,203.71,-33.0
69,203.77,-18.0
70,203.82,13.0
71,203.87,-45.0
72,203.93,53.0
73,203.98,-16.0
74,204.03,10.0
75,204.09,29.0
76,204.14,31.0
77,204.19,-97.0
78,204.25,-7.0
79,204.3,-9.0
80,204.36,8.0
81,204.41,28.0
82,204.46,-15.0
83,204.52,23.0
84,204.57,31.0
85,204.62,-28.0
86,204.68,-35.0
87,204.73,31.0
88,204.78,-51.0
89,204.84,-42.0
90,204.89,3.0
91,204.95,-7.0
92,205.0,-51.0
93,205.05,-19.0
94,205.11,-12.0
95,205.16,0.0
96,205.21,46.0
97,205.27,37.0
98,205.32,28.0
99,205.37,32.0
100,205.43,23.0
101,205.48,-79.0
102,205.53,48.0
103,205.59,8.0
104,205.64,-75.0
105,205.7,18.0
106,205.75,64.0
107,205.8,44.0
108,205.86,33.0
109,205.91,17.0
110,205.96,162.0
111,206.02,38.0
112,206.07,51.0
113,206.12,-19.0
114,206.18,4.0
115,206.23,23.0
116,206.28,98.0
117,206.34,20.0
118,206.39,116.0
119,206.44,96.0
120,206.5,31.0
121,206.55,31.0
122,206.61,37.0
123,206.66,52.0
124,206.71,23.0
125,206.77,26.0
126,206.82,35.0
127,206.87,19.0
128,206.93,67.0
129,206.98,12.0
130,207.03,44.0
131,207.09,32.0
132,207.14,89.0
133,207.19,26.0
134,207.25,57.0
135,207.3,98.0
136,207.35,117.0
137,207.41,61.0
138,207.46,124.0
139,207.51,49.0
140,207.57,148.0
141,207.62,107.0
142,207.68,76.0
143,207.73,86.0
144,207.78,210.0
145,207.84,122.0
146,207.89,159.0
147,207.94,114.0
148,208.0,156.0
149,208.05,193.0
150,208.1,206.0
151,208.16,174.0
152,208.21,252.0
153,208.26,234.0
154,208.32,238.0
155,208.37,471.0
156,208.42,266.0
157,208.48,318.0
158,208.53,300.0
159,208.58,385.0
160,208.64,261.0
161,208.69,357.0
162,208.74,262.0
163,208.8,250.0
164,208.85,174.0
165,208.9,239.0
166,208.96,234.0
167,209.01,303.0
168,209.06,318.0
169,209.12,329.0
170,209.17,349.0
171,209.22,423.0
172,209.28,279.0
173,209.33,407.0
174,209.38,306.0
175,209.44,357.0
176,209.49,347.0
177,209.54,366.0
178,209.6,415.0
179,209.65,489.0
180,209.7,420.0
181,209.76,418.0
182,209.81,484.0
183,209.87,512.0
184,209.92,424.0
185,209.97,442.0
186,210.03,388.0
187,210.08,488.0
188,210.13,379.0
189,210.19,408.0
190,210.24,542.0
191,210.29,490.0
192,210.35,509.0
193,210.4,468.0
194,210.45,469.0
195,210.51,511.0
196,210.56,498.0
197,210.61,651.0
198,210.67,635.0
199,210.72,569.0
200,210.77,617.0
201,210.83,571.0
202,210.88,465.0
203,210.93,616.0
204,210.99,566.0
205,211.04,577.0
206,211.09,573.0
207,211.14,607.0
208,211.2,763.0
209,211.25,649.0
210,211.3,690.0
211,211.36,657.0
212,211.41,765.0
213,211.46,968.0
214,211.52,690.0
215,211.57,731.0
216,211.62,612.0
217,211.68,683.0
218,211.73,897.0
219,211.78,843.0
220,211.84,779.0
221,211.89,758.0
222,211.94,737.0
223,212.0,733.0
224,212.05,879.0
225,212.1,1024.0
226,212.16,778.0
227,212.21,813.0
228,212.26,746.0
229,212.32,1108.0
230,212.37,849.0
231,212.42,909.0
232,212.48,1018.0
233,212.53,811.0
234,212.58,779.0
235,212.64,919.0
236,212.69,852.0
237,212.74,919.0
238,212.8,891.0
239,212.85,988.0
240,212.9,917.0
241,212.96,1070.0
242,213.01,799.0
243,213.06,1222.0
244,213.12,961.0
245,213.17,955.0
246,213.22,698.0
247,213.27,952.0
248,213.33,808.0
249,213.38,883.0
250,213.43,993.0
251,213.49,939.0
252,213.54,815.0
253,213.59,1110.0
254,213.65,953.0
255,213.7,959.0
256,213.75,925.0
257,213.81,968.0
258,213.86,1068.0
259,213.91,849.0
260,213.97,839.0
261,214.02,1033.0
262,214.07,861.0
263,214.13,956.0
264,214.18,764.0
265,214.23,1102.0
266,214.29,1148.0
267,214.34,945.0
268,214.39,955.0
269,214.44,1240.0
270,214.5,852.0
271,214.55,844.0
272,214.6,834.0
273,214.66,950.0
274,214.71,887.0
275,214.76,886.0
276,214.82,1121.0
277,214.87,1085.0
278,214.92,1064.0
279,214.98,1116.0
280,215.03,1224.0
281,215.08,1181.0
282,215.14,1156.0
283,215.19,1108.0
284,215.24,1203.0
