,Wavelength,Sum,Cu I (8.6e-02),Cu II (9.1e-01)
0,200.11,7.905e-13,0,7.905e-13
1,200.16,1.4009999999999999e-11,0,1.4009999999999999e-11
2,200.21,2.196e-10,0,2.196e-10
3,200.26,3.0409999999999997e-09,0,3.0409999999999997e-09
4,200.31,3.723e-08,0,3.723e-08
5,200.36,4.0280000000000003e-07,0,4.0280000000000003e-07
6,200.41,3.853e-06,0,3.853e-06
7,200.46,3.258e-05,0,3.258e-05
8,200.51,0.0002434,0,0.0002434
9,200.56,0.0016079999999999998,0,0.0016079999999999998
10,200.61,0.009391,0,0.009391
11,200.66,0.04847,0,0.04847
12,200.72,0.2953,0,0.2953
13,200.77,1.162,0,1.162
14,200.82,4.048,0,4.048
15,200.87,12.47,0,12.47
16,200.92,34.06,0,34.06
17,200.97,82.54,0,82.54
18,201.02,178.3,0,178.3
19,201.07,345.4,0,345.4
20,201.12,607.7,0,607.7
21,201.17,989.0,0,989.0
22,201.22,1528.0,1.7719999999999997e-12,1528.0
23,201.27,2300.0,3.194e-11,2300.0
24,201.32,3425.0,5.096000000000001e-10,3425.0
25,201.37,5022.0,7.195e-09,5022.0
26,201.42,7104.0,8.994e-08,7104.0
27,201.47,9480.0,9.95e-07,9480.0
28,201.52,11730.0,9.744e-06,11730.0
29,201.57,13320.0,8.446e-05,13320.0
30,201.62,13810.0,0.000648,13810.0
31,201.67,13040.0,0.0044009999999999995,13040.0
32,201.72,11190.0,0.02645,11190.0
33,201.77,8713.0,0.1407,8713.0
34,201.82,6137.0,0.6628,6136.0
35,201.87,3903.0,2.763,3900.0
36,201.92,2244.0,10.19,2234.0
37,201.97,1196.0,33.29,1163.0
38,202.02,686.7,96.24,590.4
39,202.07,657.7,246.3,411.4
40,202.12,1185.0,557.7,626.9
41,202.17,2554.0,1118.0,1436.0
42,202.22,5275.0,1984.0,3291.0
43,202.27,9961.0,3116.0,6845.0
44,202.32,17020.0,4331.0,12690.0
45,202.37,26210.0,5330.0,20880.0
46,202.42,36250.0,5805.0,30450.0
47,202.47,44930.0,5596.0,39330.0
48,202.52,49780.0,4776.0,45000.0
49,202.57,49200.0,3607.0,45600.0
50,202.62,43340.0,2411.0,40930.0
51,202.67,33990.0,1427.0,32560.0
52,202.72,23740.0,747.4,22990.0
53,202.77,14830.0,346.5,14480.0
54,202.82,8399.0,142.2,8257.0
55,202.87,4521.0,51.65,4470.0
56,202.92,2610.0,16.61,2594.0
57,202.97,1919.0,4.726,1914.0
58,203.02,1835.0,1.1909999999999998,1834.0
59,203.07,2023.0,0.2654,2023.0
60,203.12,2507.0,0.052379999999999996,2507.0
