,Wavelength,Sum
0,197.2,-36
1,197.26,-47
2,197.31,7
3,197.36,-80
4,197.42,56
5,197.47,-85
6,197.53,7
7,197.58,-37
8,197.63,-10
9,197.69,-9
10,197.74,-20
11,197.8,-11
12,197.85,58
13,197.9,-36
14,197.96,30
15,198.01,-37
16,198.07,21
17,198.12,48
18,198.17,66
19,198.23,-26
20,198.28,-20
21,198.33,-32
22,198.39,-56
23,198.44,0
24,198.5,-111
25,198.55,-57
26,198.6,32
27,198.66,11
28,198.71,-26
29,198.77,-8
30,198.82,-60
31,198.87,-61
32,198.93,-6
33,198.98,-4
34,199.04,-36
35,199.09,-33
36,199.14,18
37,199.2,-58
38,199.25,-32
39,199.3,-27
40,199.36,40
41,199.41,-100
42,199.47,25
43,199.52,-15
44,199.57,39
45,199.63,-61
46,199.68,-16
47,199.74,-24
48,199.79,-15
49,199.84,-87
50,199.9,8
51,199.95,3
52,200.0,42
53,200.06,50
54,200.11,99
55,200.17,-1
56,200.22,-78
57,200.27,-54
58,200.33,-73
59,200.38,-27
60,200.43,50
61,200.49,12
62,200.54,-29
63,200.6,-61
64,200.65,9
65,200.7,30
66,200.76,-30
67,200.81,1
68,200.87,-36
69,200.92,-80
70,200.97,-9
71,201.03,6
72,201.08,45
73,201.13,-11
74,201.19,-6
75,201.24,-55
76,201.3,-11
77,201.35,-30
78,201.4,-11
79,201.46,58
80,201.51,-43
81,201.56,-20
82,201.62,-79
83,201.67,-60
84,201.73,7
85,201.78,-22
86,201.83,-48
87,201.89,6
88,201.94,-72
89,201.99,-21
90,202.05,-37
91,202.1,-35
92,202.16,-29
93,202.21,1
94,202.26,4
95,202.32,-55
96,202.37,1
97,202.42,-17
98,202.48,-47
99,202.53,-13
100,202.58,-83
101,202.64,36
102,202.69,98
103,202.75,-22
104,202.8,14
105,202.85,-70
106,202.91,-22
107,202.96,-32
108,203.01,-43
109,203.07,-22
110,203.12,59
111,203.18,-28
112,203.23,-48
113,203.28,-18
114,203.34,-75
115,203.39,41
116,203.44,52
117,203.5,41
118,203.55,65
119,203.6,132
120,203.66,745
121,203.71,953
122,203.77,1155
123,203.82,1250
124,203.87,684
125,203.93,268
126,203.98,115
127,204.03,-13
128,204.09,25
129,204.14,-23
130,204.19,18
131,204.25,15
132,204.3,2
133,204.36,78
134,204.41,415
135,204.46,810
136,204.52,1088
137,204.57,758
138,204.62,143
139,204.68,-1
140,204.73,-51
141,204.78,-53
142,204.84,-27
143,204.89,-61
144,204.95,2
145,205.0,-8
146,205.05,-40
147,205.11,-40
148,205.16,-48
149,205.21,28
150,205.27,52
151,205.32,-43
152,205.37,4
153,205.43,9
154,205.48,38
155,205.53,651
156,205.59,1117
157,205.64,935
158,205.7,859
159,205.75,94
160,205.8,72
161,205.86,-36
162,205.91,-22
163,205.96,47
164,206.02,27
165,206.07,-11
166,206.12,-4
167,206.18,2
168,206.23,14
169,206.28,-35
170,206.34,-15
171,206.39,-33
172,206.44,-3
173,206.5,-54
174,206.55,-59
175,206.61,6
176,206.66,78
177,206.71,-48
178,206.77,-3
179,206.82,10
180,206.87,-23
181,206.93,-32
182,206.98,-14
183,207.03,20
184,207.09,-35
185,207.14,44
186,207.19,-42
187,207.25,4
188,207.3,-50
189,207.35,2
190,207.41,-14
191,207.46,-14
192,207.51,-38
193,207.57,-10
194,207.62,-7
195,207.68,-88
196,207.73,-49
197,207.78,16
198,207.84,-47
199,207.89,50
200,207.94,34
201,208.0,75
202,208.05,40
203,208.1,-22
204,208.16,-27
205,208.21,34
206,208.26,0
207,208.32,-23
208,208.37,-37
209,208.42,-62
210,208.48,19
211,208.53,-33
212,208.58,-41
213,208.64,11
214,208.69,17
215,208.74,31
216,208.8,-2
217,208.85,117
218,208.9,132
219,208.96,182
220,209.01,224
221,209.06,138
222,209.12,143
223,209.17,17
224,209.22,11
225,209.28,-1
226,209.33,15
227,209.38,29
228,209.44,59
229,209.49,3
230,209.54,64
231,209.6,-39
232,209.65,95
