,Wavelength,Sum
0,197.2,-40
1,197.26,-3
2,197.31,37
3,197.36,52
4,197.42,49
5,197.47,30
6,197.53,-22
7,197.58,14
8,197.63,-46
9,197.69,-26
10,197.74,11
11,197.8,-21
12,197.85,85
13,197.9,-11
14,197.96,5
15,198.01,-37
16,198.07,-55
17,198.12,58
18,198.17,0
19,198.23,38
20,198.28,-7
21,198.33,-76
22,198.39,23
23,198.44,-32
24,198.5,7
25,198.55,-36
26,198.6,-16
27,198.66,-1
28,198.71,58
29,198.77,55
30,198.82,16
31,198.87,-28
32,198.93,105
33,198.98,-11
34,199.04,-1
35,199.09,-18
36,199.14,30
37,199.2,-14
38,199.25,92
39,199.3,67
40,199.36,-5
41,199.41,43
42,199.47,-37
43,199.52,-4
44,199.57,17
45,199.63,33
46,199.68,-9
47,199.74,-5
48,199.79,44
49,199.84,36
50,199.9,18
51,199.95,-5
52,200.0,7
53,200.06,30
54,200.11,46
55,200.17,85
56,200.22,-5
57,200.27,3
58,200.33,51
59,200.38,9
60,200.43,18
61,200.49,-35
62,200.54,9
63,200.6,-85
64,200.65,-28
65,200.7,59
66,200.76,-58
67,200.81,-30
68,200.87,15
69,200.92,78
70,200.97,37
71,201.03,55
72,201.08,33
73,201.13,-13
74,201.19,-1
75,201.24,12
76,201.3,-27
77,201.35,50
78,201.4,-3
79,201.46,-43
80,201.51,-2
81,201.56,-22
82,201.62,33
83,201.67,-34
84,201.73,16
85,201.78,41
86,201.83,13
87,201.89,6
88,201.94,49
89,201.99,18
90,202.05,0
91,202.1,-36
92,202.16,39
93,202.21,-4
94,202.26,-9
95,202.32,-26
96,202.37,72
97,202.42,-3
98,202.48,78
99,202.53,-91
100,202.58,53
101,202.64,-8
102,202.69,60
103,202.75,-53
104,202.8,0
105,202.85,-20
106,202.91,54
107,202.96,-56
108,203.01,3
109,203.07,62
110,203.12,-8
111,203.18,7
112,203.23,54
113,203.28,-3
114,203.34,-3
115,203.39,28
116,203.44,91
117,203.5,57
118,203.55,-40
119,203.6,38
120,203.66,56
121,203.71,-31
122,203.77,32
123,203.82,30
124,203.87,29
125,203.93,6
126,203.98,8
127,204.03,20
128,204.09,21
129,204.14,-4
130,204.19,59
131,204.25,28
132,204.3,60
133,204.36,-32
134,204.41,44
135,204.46,-51
136,204.52,42
137,204.57,-10
138,204.62,46
139,204.68,-8
140,204.73,-24
141,204.78,-51
142,204.84,-7
143,204.89,-23
144,204.95,-38
145,205.0,30
146,205.05,76
147,205.11,-6
148,205.16,58
149,205.21,5
150,205.27,63
151,205.32,12
152,205.37,43
153,205.43,33
154,205.48,-56
155,205.53,31
156,205.59,28
157,205.64,-3
158,205.7,34
159,205.75,38
160,205.8,-13
161,205.86,-22
162,205.91,42
163,205.96,83
164,206.02,17
165,206.07,-31
166,206.12,-13
167,206.18,-53
168,206.23,25
169,206.28,44
170,206.34,4
171,206.39,-11
172,206.44,33
173,206.5,6
174,206.55,18
175,206.61,-10
176,206.66,-44
177,206.71,-12
178,206.77,17
179,206.82,-19
180,206.87,37
181,206.93,10
182,206.98,30
183,207.03,-28
184,207.09,68
185,207.14,24
186,207.19,59
187,207.25,-13
188,207.3,92
189,207.35,26
190,207.41,-8
191,207.46,-17
192,207.51,87
193,207.57,-20
194,207.62,21
195,207.68,2
196,207.73,-13
197,207.78,15
198,207.84,2
199,207.89,18
200,207.94,55
201,208.0,61
202,208.05,-23
203,208.1,-5
204,208.16,55
205,208.21,-15
206,208.26,22
207,208.32,18
208,208.37,-45
209,208.42,-33
210,208.48,12
211,208.53,-19
212,208.58,19
213,208.64,-17
214,208.69,9
215,208.74,0
216,208.8,62
217,208.85,-23
218,208.9,63
219,208.96,34
220,209.01,4
221,209.06,-3
222,209.12,112
223,209.17,-9
224,209.22,103
225,209.28,-16
226,209.33,14
227,209.38,-68
228,209.44,-39
229,209.49,-7
230,209.54,34
231,209.6,45
232,209.65,46
233,209.7,-10
234,209.76,12
235,209.81,-73
236,209.87,12
237,209.92,-5
238,209.97,53
239,210.03,-72
240,210.08,7
241,210.13,12
242,210.19,-43
243,210.24,-10
244,210.29,18
245,210.35,15
246,210.4,66
247,210.45,-80
248,210.51,1
249,210.56,-49
250,210.61,89
251,210.67,-17
252,210.72,-2
253,210.77,-36
254,210.83,47
255,210.88,52
256,210.93,37
257,210.99,-7
258,211.04,46
259,211.09,-21
260,211.14,114
261,211.2,-20
262,211.25,32
263,211.3,-19
264,211.36,21
265,211.41,-7
266,211.46,70
267,211.52,10
268,211.57,88
269,211.62,30
270,211.68,26
271,211.73,1
272,211.78,13
273,211.84,-10
274,211.89,1
275,211.94,5
276,212.0,24
277,212.05,34
278,212.1,69
279,212.16,-38
280,212.21,34
281,212.26,-22
282,212.32,-41
283,212.37,-38
284,212.42,-53
285,212.48,-5
286,212.53,-27
287,212.58,29
288,212.64,-5
289,212.69,-65
290,212.74,73
291,212.8,-12
292,212.85,60
293,212.9,33
294,212.96,11
295,213.01,-20
296,213.06,0
297,213.12,40
298,213.17,-34
299,213.22,-17
300,213.27,8
301,213.33,130
302,213.38,76
303,213.43,-9
304,213.49,-11
305,213.54,-16
306,213.59,21
307,213.65,40
308,213.7,23
309,213.75,38
310,213.81,-12
311,213.86,-2
312,213.91,-20
313,213.97,27
314,214.02,43
315,214.07,20
316,214.13,-81
317,214.18,-8
318,214.23,21
319,214.29,-13
320,214.34,-10
321,214.39,-37
322,214.44,4
323,214.5,-36
324,214.55,19
325,214.6,-45
326,214.66,23
327,214.71,-4
328,214.76,14
329,214.82,-15
330,214.87,-9
331,214.92,-33
332,214.98,36
333,215.03,25
334,215.08,66
335,215.14,-53
336,215.19,-23
337,215.24,16
338,215.29,-8
339,215.35,-1
340,215.4,37
341,215.45,-12
342,215.51,-22
343,215.56,34
344,215.61,55
345,215.67,-18
346,215.72,60
347,215.77,55
348,215.83,11
349,215.88,-9
350,215.93,45
351,215.98,2
352,216.04,-17
353,216.09,-7
354,216.14,33
355,216.2,26
356,216.25,73
357,216.3,-13
358,216.36,56
359,216.41,114
360,216.46,83
361,216.51,22
362,216.57,-63
363,216.62,16
364,216.67,41
365,216.73,35
366,216.78,103
367,216.83,84
368,216.89,66
369,216.94,-40
370,216.99,-19
371,217.05,11
372,217.1,14
373,217.15,1
374,217.2,-40
375,217.26,12
376,217.31,-21
377,217.36,-7
378,217.42,-52
379,217.47,-22
380,217.52,26
381,217.58,43
382,217.63,12
383,217.68,26
384,217.73,35
385,217.79,47
386,217.84,55
387,217.89,14
388,217.95,-45
389,218.0,9
390,218.05,93
391,218.1,31
392,218.16,13
393,218.21,-7
394,218.26,82
395,218.32,24
396,218.37,-25
397,218.42,18
398,218.48,-26
399,218.53,-35
400,218.58,36
401,218.63,-7
402,218.69,35
403,218.74,47
404,218.79,70
405,218.85,-4
406,218.9,16
407,218.95,83
408,219.0,113
409,219.06,21
410,219.11,60
411,219.16,-2
412,219.22,35
413,219.27,64
414,219.32,40
415,219.37,0
416,219.43,45
417,219.48,17
418,219.53,86
419,219.59,12
420,219.64,18
421,219.69,34
422,219.75,-30
423,219.8,27
424,219.85,-26
425,219.9,19
426,219.96,15
427,220.01,15
428,220.06,7
429,220.12,41
430,220.17,53
431,220.22,-3
432,220.27,67
433,220.33,43
434,220.38,38
435,220.43,32
436,220.49,-6
437,220.54,39
438,220.59,37
439,220.64,-31
440,220.7,26
441,220.75,37
442,220.8,87
443,220.86,44
444,220.91,166
445,220.96,65
446,221.01,184
447,221.07,113
448,221.12,120
449,221.17,101
450,221.22,148
451,221.28,94
452,221.33,170
453,221.38,166
454,221.44,302
455,221.49,350
456,221.54,511
457,221.59,359
458,221.65,137
459,221.7,109
460,221.75,105
461,221.81,27
462,221.86,121
463,221.91,80
464,221.96,194
465,222.02,378
466,222.07,627
467,222.12,866
468,222.17,956
469,222.23,783
470,222.28,465
471,222.33,265
472,222.39,201
473,222.44,214
474,222.49,115
475,222.54,110
476,222.6,-16
477,222.65,104
478,222.7,65
479,222.75,25
480,222.81,23
481,222.86,114
482,222.91,26
483,222.97,82
484,223.02,-8
485,223.07,25
486,223.12,41
487,223.18,87
488,223.23,59
489,223.28,140
490,223.33,210
491,223.39,108
492,223.44,103
493,223.49,333
494,223.55,270
495,223.6,143
496,223.65,126
497,223.7,115
498,223.76,86
499,223.81,99
500,223.86,79
501,223.91,165
502,223.97,183
503,224.02,91
504,224.07,75
505,224.12,165
506,224.18,150
507,224.23,147
508,224.28,119
509,224.34,151
510,224.39,158
511,224.44,57
512,224.49,169
513,224.55,211
514,224.6,303
515,224.65,443
516,224.7,490
517,224.76,528
518,224.81,739
519,224.86,801
520,224.91,941
521,224.97,733
522,225.02,952
523,225.07,1047
524,225.12,916
525,225.18,1208
526,225.23,942
527,225.28,986
528,225.34,1249
529,225.39,904
530,225.44,794
531,225.49,725
532,225.55,633
533,225.6,858
534,225.65,698
535,225.7,785
536,225.76,822
537,225.81,790
538,225.86,541
539,225.91,503
540,225.97,424
541,226.02,555
542,226.07,641
543,226.12,546
544,226.18,589
545,226.23,278
546,226.28,241
547,226.33,152
548,226.39,297
549,226.44,358
550,226.49,281
551,226.54,262
552,226.6,372
553,226.65,216
554,226.7,157
555,226.75,152
556,226.81,155
557,226.86,164
558,226.91,240
559,226.96,116
560,227.02,76
561,227.07,25
562,227.12,82
563,227.17,54
564,227.23,74
565,227.28,14
566,227.33,30
567,227.38,63
568,227.44,43
569,227.49,17
570,227.54,55
571,227.59,-5
572,227.65,73
573,227.7,39
574,227.75,42
575,227.8,53
576,227.86,43
577,227.91,32
578,227.96,71
579,228.01,109
580,228.07,176
581,228.12,183
582,228.17,116
583,228.22,49
584,228.28,34
585,228.33,-66
586,228.38,43
587,228.43,80
588,228.49,120
589,228.54,53
590,228.59,121
591,228.64,47
592,228.7,44
593,228.75,92
594,228.8,32
595,228.85,112
596,228.91,-3
597,228.96,28
598,229.01,-8
599,229.06,34
600,229.11,58
601,229.17,22
602,229.22,36
603,229.27,64
604,229.32,45
605,229.38,17
606,229.43,117
607,229.48,110
608,229.53,134
609,229.59,138
610,229.64,78
611,229.69,82
612,229.74,57
613,229.8,79
614,229.85,141
615,229.9,141
616,229.95,163
617,230.01,152
618,230.06,153
619,230.11,28
620,230.16,156
621,230.21,87
622,230.27,130
623,230.32,162
624,230.37,126
625,230.42,98
626,230.48,127
627,230.53,141
628,230.58,137
629,230.63,39
630,230.69,95
631,230.74,311
632,230.79,336
633,230.84,332
634,230.89,447
635,230.95,313
636,231.0,283
637,231.05,316
638,231.1,240
639,231.16,297
640,231.21,400
641,231.26,499
642,231.31,540
643,231.37,454
644,231.42,422
645,231.47,402
646,231.52,253
647,231.57,180
648,231.63,209
649,231.68,171
650,231.73,191
651,231.78,192
652,231.84,350
653,231.89,346
654,231.94,315
655,231.99,347
656,232.05,392
657,232.1,369
658,232.15,427
659,232.2,391
660,232.25,605
661,232.31,542
662,232.36,532
663,232.41,495
664,232.46,489
665,232.52,718
666,232.57,765
667,232.62,890
668,232.67,991
669,232.72,1086
670,232.78,1203
671,232.83,1242
672,232.88,1375
673,232.93,1241
674,232.98,1349
675,233.04,1065
676,233.09,1043
677,233.14,1081
678,233.19,1550
679,233.25,1618
680,233.3,1460
681,233.35,1575
682,233.4,1836
683,233.45,1453
684,233.51,1287
685,233.56,846
686,233.61,979
687,233.66,954
688,233.72,918
689,233.77,1379
690,233.82,1389
691,233.87,1647
692,233.92,1613
693,233.98,1245
694,234.03,1361
695,234.08,1186
696,234.13,1099
697,234.18,994
698,234.24,1166
699,234.29,1212
700,234.34,1263
701,234.39,1889
702,234.45,2449
703,234.5,2117
704,234.55,2682
705,234.6,1721
706,234.65,1800
707,234.71,1346
708,234.76,1286
709,234.81,1797
710,234.86,2000
711,234.91,1892
712,234.97,2075
713,235.02,1565
714,235.07,1630
715,235.12,1192
716,235.17,1126
717,235.23,1259
718,235.28,1358
719,235.33,1243
720,235.38,1396
721,235.44,1067
722,235.49,1521
723,235.54,1331
724,235.59,1385
725,235.64,1206
726,235.7,1031
727,235.75,1048
728,235.8,1345
729,235.85,1092
730,235.9,1263
731,235.96,1797
732,236.01,2002
733,236.06,2426
734,236.11,2110
735,236.16,2013
736,236.22,1598
737,236.27,1479
738,236.32,1627
739,236.37,1113
740,236.42,1510
741,236.48,1397
742,236.53,1919
743,236.58,1741
744,236.63,1742
745,236.68,1467
746,236.74,1370
747,236.79,1351
748,236.84,1228
749,236.89,1245
750,236.94,1623
751,237.0,1559
752,237.05,1307
753,237.1,1384
754,237.15,1246
755,237.2,1153
756,237.26,1123
757,237.31,1459
758,237.36,1276
759,237.41,1565
760,237.46,1866
761,237.52,1699
762,237.57,1737
763,237.62,1322
764,237.67,1558
765,237.72,1427
766,237.78,1127
767,237.83,1172
768,237.88,1447
769,237.93,1193
770,237.98,1843
771,238.03,1407
772,238.09,1508
773,238.14,1915
774,238.19,2050
775,238.24,2255
776,238.29,2205
777,238.35,3198
778,238.4,2063
779,238.45,2205
780,238.5,1653
781,238.55,1274
782,238.61,1561
783,238.66,1451
784,238.71,1200
785,238.76,1192
786,238.81,1373
787,238.87,1642
788,238.92,1981
789,238.97,2142
790,239.02,1780
791,239.07,1362
792,239.12,1715
793,239.18,1116
794,239.23,1253
795,239.28,1308
796,239.33,1265
797,239.38,1091
798,239.44,1182
799,239.49,1424
800,239.54,1760
801,239.59,2872
802,239.64,2395
803,239.7,2281
804,239.75,2040
805,239.8,2070
806,239.85,1518
807,239.9,1381
808,239.95,1758
809,240.01,1810
810,240.06,1957
811,240.11,1579
812,240.16,1486
813,240.21,1211
814,240.27,1077
815,240.32,1312
816,240.37,1319
817,240.42,1483
818,240.47,1405
819,240.52,2406
820,240.58,1874
821,240.63,2321
822,240.68,2243
823,240.73,2190
824,240.78,1651
825,240.83,1933
826,240.89,1516
827,240.94,1109
828,240.99,1355
829,241.04,1765
830,241.09,1448
831,241.15,1720
832,241.2,2244
833,241.25,1961
834,241.3,2112
835,241.35,1566
836,241.4,1894
837,241.46,1382
838,241.51,1808
839,241.56,1670
840,241.61,1225
841,241.66,1473
842,241.71,1133
843,241.77,936
844,241.82,1285
845,241.87,1584
846,241.92,970
847,241.97,946
848,242.02,998
849,242.08,962
850,242.13,1066
851,242.18,941
852,242.23,949
853,242.28,1071
854,242.34,1109
855,242.39,1313
856,242.44,1504
857,242.49,1710
858,242.54,1783
859,242.59,1362
860,242.65,1418
861,242.7,1116
862,242.75,1019
863,242.8,1141
864,242.85,1359
865,242.9,1349
866,242.96,1396
867,243.01,1717
868,243.06,1834
869,243.11,1767
870,243.16,1442
871,243.21,1764
872,243.27,1448
873,243.32,1355
874,243.37,1619
875,243.42,1881
876,243.47,1352
877,243.52,1464
878,243.57,1519
879,243.63,1223
880,243.68,1570
881,243.73,1330
882,243.78,1224
883,243.83,1199
884,243.88,1285
885,243.94,1359
886,243.99,1655
887,244.04,1326
888,244.09,1785
889,244.14,1518
890,244.19,1155
891,244.25,1231
892,244.3,1123
893,244.35,1114
894,244.4,1031
895,244.45,1497
896,244.5,1519
897,244.56,2013
898,244.61,1931
899,244.66,2039
900,244.71,1574
901,244.76,1755
902,244.81,1374
903,244.86,1469
904,244.92,1339
905,244.97,1037
906,245.02,1387
907,245.07,1079
908,245.12,1084
909,245.17,1223
910,245.23,1062
911,245.28,961
912,245.33,877
913,245.38,1066
914,245.43,885
915,245.48,1281
916,245.53,1284
917,245.59,1262
918,245.64,1277
919,245.69,898
920,245.74,1282
921,245.79,944
922,245.84,1263
923,245.9,1388
924,245.95,1757
925,246.0,1659
926,246.05,1732
927,246.1,1423
928,246.15,1414
929,246.2,1980
930,246.26,1945
931,246.31,2108
932,246.36,1737
933,246.41,1913
934,246.46,1842
935,246.51,1328
936,246.56,1864
937,246.62,1760
938,246.67,1922
939,246.72,1315
940,246.77,1476
941,246.82,1550
942,246.87,1460
943,246.92,1605
944,246.98,1345
945,247.03,1310
946,247.08,1333
947,247.13,1704
948,247.18,1364
949,247.23,1238
950,247.28,1317
951,247.34,1428
952,247.39,1586
953,247.44,1558
954,247.49,1333
955,247.54,1252
956,247.59,1206
957,247.64,1157
958,247.7,1001
959,247.75,1346
960,247.8,814
961,247.85,1211
962,247.9,1396
963,247.95,1300
964,248.0,1699
965,248.06,1193
966,248.11,1427
967,248.16,2062
968,248.21,1212
969,248.26,1449
970,248.31,2070
971,248.36,1835
972,248.41,2473
973,248.47,1876
974,248.52,2144
975,248.57,1595
976,248.62,1613
977,248.67,1610
978,248.72,1284
979,248.77,1452
980,248.83,1425
981,248.88,1460
982,248.93,1903
983,248.98,2134
984,249.03,1886
985,249.08,2326
986,249.13,1908
987,249.18,2713
988,249.24,2335
989,249.29,2393
990,249.34,2061
991,249.39,2030
992,249.44,2008
993,249.49,1607
994,249.54,1620
995,249.6,1434
996,249.65,1183
997,249.7,1238
998,249.75,1081
999,249.8,1198
1000,249.85,1463
1001,249.9,1869
1002,249.95,1827
1003,250.01,1476
1004,250.06,1547
1005,250.11,1211
1006,250.16,1350
1007,250.21,1329
1008,250.26,1158
1009,250.31,1347
1010,250.36,1781
1011,250.42,1653
1012,250.47,1548
1013,250.52,1353
1014,250.57,1393
1015,250.62,994
1016,250.67,1458
1017,250.72,1186
1018,250.77,1172
1019,250.83,966
1020,250.88,1087
1021,250.93,1009
1022,250.98,937
1023,251.03,832
1024,251.08,1077
1025,251.13,1327
1026,251.18,1650
1027,251.23,1412
1028,251.29,1542
1029,251.34,1466
1030,251.39,1457
1031,251.44,1309
1032,251.49,1288
1033,251.54,1359
1034,251.59,1371
1035,251.64,1048
1036,251.7,1024
1037,251.75,1150
1038,251.8,1327
1039,251.85,1115
1040,251.9,1474
1041,251.95,1388
1042,252.0,1569
1043,252.05,1173
1044,252.1,1559
1045,252.16,1279
1046,252.21,1416
1047,252.26,1366
1048,252.31,1786
1049,252.36,1917
1050,252.41,2013
1051,252.46,1748
1052,252.51,1541
1053,252.56,1387
1054,252.62,2118
1055,252.67,1594
1056,252.72,2242
1057,252.77,1992
1058,252.82,2127
1059,252.87,1697
1060,252.92,2067
1061,252.97,2011
1062,253.02,2156
1063,253.08,2331
1064,253.13,1658
1065,253.18,1175
1066,253.23,1235
1067,253.28,1018
1068,253.33,1297
1069,253.38,1481
1070,253.43,1809
1071,253.48,1505
1072,253.54,2287
1073,253.59,1850
1074,253.64,2256
1075,253.69,1786
1076,253.74,1798
1077,253.79,1939
1078,253.84,1841
1079,253.89,2354
1080,253.94,2281
1081,254.0,1983
1082,254.05,2207
1083,254.1,1740
1084,254.15,1505
1085,254.2,1736
1086,254.25,1681
1087,254.3,1463
1088,254.35,1556
1089,254.4,1360
1090,254.45,1582
1091,254.51,1670
1092,254.56,1491
1093,254.61,1732
1094,254.66,2050
1095,254.71,1851
1096,254.76,1805
1097,254.81,1305
1098,254.86,1560
1099,254.91,1695
1100,254.96,2243
