,Wavelength,Sum,Ti I (1.8e-02),Ti II (9.6e-01),Ti III (2.1e-02)
0,200.11,1.302e-05,0,0,1.302e-05
1,200.16,5.891e-05,0,0,5.891e-05
2,200.21,0.0002355,0,0,0.0002355
3,200.26,0.0008317999999999999,0,0,0.0008317999999999999
4,200.31,0.0025960000000000002,0,0,0.0025960000000000002
5,200.36,0.00716,0,0,0.00716
6,200.41,0.01745,0,0,0.01745
7,200.46,0.03759,0,0,0.03759
8,200.51,0.0716,0,0,0.0716
9,200.56,0.1206,0,0,0.1206
10,200.61,0.18,0,0,0.18
11,200.66,0.2388,0,0,0.2388
12,200.72,0.2897,0,0,0.2897
13,200.77,0.3071,0,0,0.3071
14,200.82,0.3064,0,0,0.3064
15,200.87,0.3018,0,0,0.3018
16,200.92,0.3069,0,0,0.3069
17,200.97,0.3249,0,0,0.3249
18,201.02,0.3449,0,0,0.3449
19,201.07,0.3495,0,0,0.3495
20,201.12,0.3255,0,0,0.3255
21,201.17,0.273,0,0,0.273
22,201.22,0.2041,0,0,0.2041
23,201.27,0.1353,0,0,0.1353
24,201.32,0.07939,0,0,0.07939
25,201.37,0.0412,0,0,0.0412
26,201.42,0.0189,0,0,0.0189
27,201.47,0.007662,0,0,0.007662
28,201.52,0.002745,0,0,0.002745
29,201.57,0.0008691,0,0,0.0008691
30,201.62,0.0002432,0,0,0.0002432
31,201.67,6.012e-05,0,0,6.012e-05
32,201.72,1.314e-05,0,0,1.314e-05
33,201.77,2.536e-06,0,0,2.536e-06
34,201.82,4.3270000000000006e-07,0,0,4.3270000000000006e-07
35,201.87,6.524e-08,0,0,6.524e-08
36,201.92,8.692e-09,0,0,8.692e-09
37,201.97,1.023e-09,0,0,1.023e-09
38,202.02,1.065e-10,0,0,1.065e-10
39,202.07,9.788e-12,0,0,9.788e-12
40,202.12,7.952e-13,0,0,7.952e-13
41,202.17,5.709e-14,0,0,5.709e-14
42,202.22,3.622e-15,0,0,3.622e-15
43,202.27,2.031e-16,0,0,2.031e-16
44,208.47,1.228e-16,0,0,1.228e-16
45,208.52,2.036e-15,0,0,2.036e-15
46,208.57,3.0110000000000004e-14,0,0,3.0110000000000004e-14
47,208.62,3.975e-13,0,0,3.975e-13
48,208.67,4.683e-12,0,0,4.683e-12
49,208.72,4.925e-11,0,0,4.925e-11
50,208.77,4.623e-10,0,0,4.623e-10
51,208.82,3.8740000000000005e-09,0,0,3.8740000000000005e-09
52,208.87,2.8969999999999997e-08,0,0,2.8969999999999997e-08
53,208.92,1.933e-07,0,0,1.933e-07
54,208.97,1.152e-06,0,0,1.152e-06
55,209.02,6.125e-06,0,0,6.125e-06
56,209.07,2.907e-05,0,0,2.907e-05
57,209.12,0.00012309999999999998,0,0,0.00012309999999999998
58,209.17,0.00046560000000000004,0,0,0.00046560000000000004
59,209.22,0.0015710000000000001,0,0,0.0015710000000000001
60,209.27,0.004734,0,0,0.004734
61,209.32,0.01273,0,0,0.01273
62,209.37,0.03057,0,0,0.03057
63,209.42,0.06557,0,0,0.06557
64,209.47,0.1257,0,0,0.1257
65,209.52,0.2153,0,0,0.2153
66,209.57,0.3305,0,0,0.3305
67,209.62,0.4556,0,0,0.4556
68,209.67,0.5667,0,0,0.5667
69,209.72,0.6409,0,0,0.6409
70,209.77,0.667,0,0,0.667
71,209.82,0.6494,0,0,0.6494
72,209.87,0.6031,0,0,0.6031
73,209.92,0.5428,0,0,0.5428
74,209.97,0.4763,0,0,0.4763
75,210.02,0.4055,0,0,0.4055
76,210.07,0.3324,0,0,0.3324
77,210.12,0.2638,0,0,0.2638
78,210.17,0.2102,0,0,0.2102
79,210.22,0.1809,0,0,0.1809
80,210.27,0.1789,0,0,0.1789
81,210.32,0.1991,0,0,0.1991
82,210.37,0.2299,0,0,0.2299
83,210.42,0.2571,0,0,0.2571
84,210.47,0.268,0,0,0.268
85,210.52,0.2559,0,0,0.2559
86,210.57,0.2221,0,0,0.2221
87,210.62,0.1743,0,0,0.1743
88,210.67,0.1233,0,0,0.1233
89,210.72,0.07846,0,0,0.07846
90,210.77,0.04485,0,0,0.04485
91,210.82,0.02299,0,0,0.02299
92,210.87,0.01056,0,0,0.01056
93,210.92,0.004346,0,0,0.004346
94,210.97,0.0016,0,0,0.0016
95,211.02,0.0005269999999999999,0,0,0.0005269999999999999
96,211.07,0.0001553,0,0,0.0001553
97,211.12,4.09e-05,0,0,4.09e-05
98,211.17,9.631e-06,0,0,9.631e-06
99,211.22,2.0280000000000003e-06,0,0,2.0280000000000003e-06
100,211.27,3.8149999999999997e-07,0,0,3.8149999999999997e-07
101,211.32,6.416e-08,0,0,6.416e-08
102,211.37,9.644e-09,0,0,9.644e-09
103,211.42,1.2959999999999999e-09,0,0,1.2959999999999999e-09
104,211.47,1.555e-10,0,0,1.555e-10
105,211.52,1.668e-11,0,0,1.668e-11
106,211.57,1.5990000000000002e-12,0,0,1.5990000000000002e-12
107,211.62,1.37e-13,0,0,1.37e-13
108,211.67,1.0490000000000001e-14,0,0,1.0490000000000001e-14
109,211.72,7.175e-16,0,0,7.175e-16
110,211.77,4.386e-17,0,0,4.386e-17
111,218.62,2.555e-16,0,0,2.555e-16
112,218.67,3.567e-15,0,0,3.567e-15
113,218.72,4.49e-14,0,0,4.49e-14
114,218.77,5.097e-13,0,0,5.097e-13
115,218.82,5.218e-12,0,0,5.218e-12
116,218.87,4.817e-11,0,0,4.817e-11
117,218.92,4.0099999999999996e-10,0,0,4.0099999999999996e-10
118,218.97,3.0109999999999996e-09,0,0,3.0109999999999996e-09
119,219.02,2.038e-08,0,0,2.038e-08
120,219.07,1.244e-07,0,0,1.244e-07
121,219.12,6.851e-07,0,0,6.851e-07
122,219.17,3.4019999999999998e-06,0,0,3.4019999999999998e-06
123,219.22,1.523e-05,0,0,1.523e-05
124,219.27,6.149e-05,0,0,6.149e-05
125,219.32,0.0002239,0,0,0.0002239
126,219.37,0.0007351,0,0,0.0007351
127,219.42,0.002177,0,0,0.002177
128,219.47,0.005811,0,0,0.005811
129,219.52,0.01399,0,0,0.01399
130,219.57,0.03038,0,0,0.03038
131,219.62,0.059489999999999994,0,0,0.059489999999999994
132,219.67,0.1051,0,0,0.1051
133,219.72,0.1673,0,0,0.1673
134,219.77,0.2402,0,0,0.2402
135,219.82,0.311,0,0,0.311
136,219.87,0.3632,0,0,0.3632
137,219.92,0.3825,0,0,0.3825
138,219.97,0.3632,0,0,0.3632
139,220.02,0.311,0,0,0.311
140,220.07,0.2402,0,0,0.2402
141,220.12,0.1673,0,0,0.1673
142,220.17,0.1051,0,0,0.1051
143,220.22,0.059489999999999994,0,0,0.059489999999999994
144,220.27,0.03038,0,0,0.03038
145,220.32,0.01399,0,0,0.01399
146,220.37,0.005811,0,0,0.005811
147,220.42,0.002177,0,0,0.002177
148,220.47,0.0007351,0,0,0.0007351
149,220.52,0.0002239,0,0,0.0002239
150,220.57,6.149e-05,0,0,6.149e-05
151,220.62,1.523e-05,0,0,1.523e-05
152,220.67,3.4019999999999998e-06,0,0,3.4019999999999998e-06
153,220.72,6.851e-07,0,0,6.851e-07
154,220.77,1.244e-07,0,0,1.244e-07
155,220.82,2.038e-08,0,0,2.038e-08
156,220.87,3.0109999999999996e-09,0,0,3.0109999999999996e-09
157,220.92,4.0099999999999996e-10,0,0,4.0099999999999996e-10
158,220.97,4.817e-11,0,0,4.817e-11
159,221.02,5.218e-12,0,0,5.218e-12
160,221.07,5.097e-13,0,0,5.097e-13
161,221.12,4.49e-14,0,0,4.49e-14
162,221.17,3.567e-15,0,0,3.567e-15
163,221.22,2.555e-16,0,0,2.555e-16
164,221.27,1.65e-17,0,0,1.65e-17
165,222.42,4.028e-17,0,0,4.028e-17
166,222.47,5.792e-16,0,0,5.792e-16
167,222.52,7.539e-15,0,0,7.539e-15
168,222.57,8.878999999999999e-14,0,0,8.878999999999999e-14
169,222.62,9.465e-13,0,0,9.465e-13
170,222.67,9.13e-12,0,0,9.13e-12
171,222.72,7.97e-11,0,0,7.97e-11
172,222.77,6.296e-10,0,0,6.296e-10
173,222.82,4.501e-09,0,0,4.501e-09
174,222.87,2.912e-08,0,0,2.912e-08
175,222.92,1.705e-07,0,0,1.705e-07
176,222.97,9.036e-07,0,0,9.036e-07
177,223.02,4.333e-06,0,0,4.333e-06
178,223.07,1.88e-05,0,0,1.88e-05
179,223.12,7.384e-05,0,0,7.384e-05
180,223.17,0.0002624,0,0,0.0002624
181,223.22,0.0008441000000000001,0,0,0.0008441000000000001
182,223.27,0.002457,0,0,0.002457
183,223.32,0.006470999999999999,0,0,0.006470999999999999
184,223.37,0.015430000000000001,0,0,0.015430000000000001
185,223.42,0.033280000000000004,0,0,0.033280000000000004
186,223.47,0.06497,0,0,0.06497
187,223.52,0.1148,0,0,0.1148
188,223.57,0.1835,0,0,0.1835
189,223.62,0.2655,0,0,0.2655
190,223.67,0.3477,0,0,0.3477
191,223.72,0.412,0,0,0.412
192,223.77,0.4419,0,0,0.4419
193,223.82,0.4288,0,0,0.4288
194,223.87,0.3766,0,0,0.3766
195,223.92,0.2993,0,0,0.2993
196,223.97,0.2153,0,0,0.2153
197,224.02,0.1402,0,0,0.1402
198,224.07,0.08256000000000001,0,0,0.08256000000000001
199,224.12,0.04401,0,0,0.04401
200,224.17,0.021230000000000002,0,0,0.021230000000000002
201,224.22,0.009271,0,0,0.009271
202,224.27,0.0036630000000000005,0,0,0.0036630000000000005
203,224.32,0.00131,0,0,0.00131
204,224.37,0.00042380000000000006,0,0,0.00042380000000000006
205,224.42,0.00012409999999999998,0,0,0.00012409999999999998
206,224.47,3.289e-05,0,0,3.289e-05
207,224.52,7.888e-06,0,0,7.888e-06
208,224.57,1.7119999999999999e-06,0,0,1.7119999999999999e-06
209,224.62,3.363e-07,0,0,3.363e-07
210,224.67,5.977e-08,0,0,5.977e-08
211,224.72,9.614000000000001e-09,0,0,9.614000000000001e-09
212,224.77,1.4000000000000001e-09,0,0,1.4000000000000001e-09
213,224.82,1.844e-10,0,0,1.844e-10
214,224.87,2.1979999999999998e-11,0,0,2.1979999999999998e-11
215,224.92,2.372e-12,0,0,2.372e-12
216,224.97,2.316e-13,0,0,2.316e-13
217,225.02,3.992e-14,1.946e-14,0,2.046e-14
218,225.07,2.753e-13,2.737e-13,0,1.636e-15
219,225.12,3.4910000000000004e-12,3.4910000000000004e-12,0,1.184e-16
220,225.17,4.039e-11,4.039e-11,0,0
221,225.22,4.238e-10,4.238e-10,0,0
222,225.27,4.035e-09,4.035e-09,0,0
223,225.32,3.484e-08,3.484e-08,0,0
224,225.37,2.729e-07,2.729e-07,0,0
225,225.42,1.938e-06,1.938e-06,0,0
226,225.47,1.249e-05,1.249e-05,0,0
227,225.52,7.301e-05,7.301e-05,0,0
228,225.57,0.00038710000000000003,0.00038710000000000003,0,0
229,225.62,0.001861,0.001861,0,0
230,225.67,0.00812,0.00812,0,0
231,225.72,0.03213,0.03213,0,0
232,225.77,0.1153,0.1153,0,0
233,225.82,0.3753,0.3753,0,0
234,225.87,1.1079999999999999,1.1079999999999999,0,0
235,225.92,2.969,2.969,0,0
236,225.97,7.212000000000001,7.212000000000001,0,0
237,226.02,15.89,15.89,0,0
238,226.07,31.77,31.77,0,0
239,226.12,57.6,57.6,0,0
240,226.17,94.72,94.72,0,0
241,226.22,141.3,141.3,0,0
242,226.27,191.2,191.2,0,0
243,226.32,234.7,234.7,0,0
244,226.37,261.2,261.2,0,0
245,226.42,263.8,263.8,0,0
246,226.47,241.6,241.6,0,0
247,226.52,200.8,200.8,0,0
248,226.57,151.3,151.3,0,0
249,226.62,103.4,103.4,0,0
250,226.67,64.12,64.12,0,0
251,226.72,36.06,36.06,0,0
252,226.77,18.4,18.4,0,0
253,226.82,8.514,8.514,0,0
254,226.87,3.5780000000000003,3.5780000000000003,0,0
255,226.92,1.381,1.381,0,0
256,226.97,0.5543,0.5543,0,0
257,227.02,0.4579,0.4579,0,0
258,227.07,1.08,1.08,0,0
259,227.12,3.158,3.158,0,0
260,227.17,8.669,8.669,0,0
261,227.22,21.67,21.67,0,0
262,227.27,49.22,49.22,0,0
263,227.32,101.5,101.5,0,0
264,227.37,190.3,190.3,0,0
265,227.42,324.3,324.3,0,0
266,227.47,502.9,502.9,0,0
267,227.52,710.8,710.8,0,0
268,227.57,918.9,918.9,0,0
269,227.62,1093.0,1093.0,0,0
270,227.67,1209.0,1209.0,0,0
271,227.72,1263.0,1263.0,0,0
272,227.77,1275.0,1275.0,0,0
273,227.82,1271.0,1271.0,0,0
274,227.87,1270.0,1270.0,0,0
275,227.92,1267.0,1267.0,0,0
276,227.97,1240.0,1240.0,0,0
277,228.02,1162.0,1162.0,0,0
278,228.07,1022.0,1022.0,0,0
279,228.12,831.7,831.7,0,0
280,228.17,621.5,621.5,0,0
281,228.22,424.3,424.3,0,0
282,228.27,263.9,263.9,0,0
283,228.32,149.4,149.4,0,0
284,228.37,76.83,76.83,0,0
285,228.42,35.92,35.92,0,0
286,228.47,15.26,15.26,0,0
287,228.52,5.886,5.886,0,0
288,228.57,2.063,2.063,0,0
289,228.62,0.6566,0.6566,0,0
290,228.67,0.1899,0.1899,0,0
291,228.72,0.04986,0.04986,0,0
292,228.77,0.011890000000000001,0.011890000000000001,0,0
293,228.82,0.002577,0.002577,0,0
294,228.87,0.0005073,0.0005073,0,0
295,228.92,9.091e-05,9.091e-05,0,0
296,228.97,1.647e-05,1.647e-05,0,0
297,229.02,1.366e-05,1.366e-05,0,0
298,229.07,6.889e-05,6.889e-05,0,0
299,229.12,0.00037260000000000006,0.00037260000000000006,0,0
300,229.17,0.001841,0.001841,0,0
301,229.22,0.008275,0.008275,0,0
302,229.27,0.03385,0.03385,0,0
303,229.32,0.1259,0.1259,0,0
304,229.37,0.4264,0.4264,0,0
305,229.42,1.314,1.314,0,0
306,229.47,3.6830000000000003,3.6830000000000003,0,0
307,229.52,9.396,9.396,0,0
308,229.57,21.82,21.82,0,0
309,229.62,46.14,46.14,0,0
310,229.67,88.91,88.91,0,0
311,229.72,156.2,156.2,0,0
312,229.77,250.9,250.9,0,0
313,229.82,369.0,369.0,0,0
314,229.87,499.3,499.3,0,0
315,229.92,626.0,626.0,0,0
316,229.97,734.5,734.5,0,0
317,230.02,817.2,817.2,0,0
318,230.07,875.5,875.5,0,0
319,230.12,916.4,916.4,0,0
320,230.17,946.3,946.3,0,0
321,230.22,967.8,967.8,0,0
322,230.27,981.1,981.1,0,0
323,230.32,987.8,987.8,0,0
324,230.37,992.0,992.0,0,0
325,230.42,996.5,996.5,0,0
326,230.47,996.5,996.5,0,0
327,230.52,978.8,978.8,0,0
328,230.57,927.0,927.0,0,0
329,230.62,831.2,831.2,0,0
330,230.67,695.7,695.7,0,0
331,230.72,538.3,538.3,0,0
332,230.77,382.5,382.5,0,0
333,230.82,248.8,248.8,0,0
334,230.87,147.7,147.7,0,0
335,230.92,79.96,79.96,0,0
336,230.97,39.44,39.44,0,0
337,231.02,17.72,17.72,0,0
338,231.07,7.247000000000001,7.247000000000001,0,0
339,231.12,2.699,2.699,0,0
340,231.17,0.9149,0.9149,0,0
341,231.22,0.2823,0.2823,0,0
342,231.27,0.07931,0.07931,0,0
343,231.32,0.02028,0.02028,0,0
344,231.37,0.00472,0.00472,0,0
345,231.42,0.0009998,0.0009998,0,0
346,231.47,0.00019280000000000002,0.00019280000000000002,0,0
347,231.52,3.384e-05,3.384e-05,0,0
348,231.58,3.7039999999999996e-06,3.7039999999999996e-06,0,0
349,231.63,5.287e-07,5.287e-07,0,0
350,231.68,6.867999999999999e-08,6.867999999999999e-08,0,0
351,231.73,8.121e-09,8.121e-09,0,7.901000000000001e-15
352,231.78,8.741e-10,8.740000000000001e-10,0,1.103e-13
353,231.83,8.689999999999999e-11,8.562999999999999e-11,0,1.2730000000000001e-12
354,231.88,2.1030000000000004e-11,7.636e-12,0,1.34e-11
355,231.93,1.293e-10,6.198e-13,0,1.287e-10
356,231.98,1.129e-09,4.579e-14,0,1.129e-09
