,Wavelength,Sum,Mean Intensity
0,200.09,12.2,0.2
1,200.14,12.5,0.2
2,200.19,12.8,0.2
3,200.25,13.3,0.2
4,200.30,13.0,0.2
5,200.36,13.0,0.2
6,200.41,13.3,0.2
7,200.47,13.3,0.2
8,200.52,13.1,0.2
9,200.58,13.3,0.2
10,200.63,13.2,0.2
11,200.69,13.3,0.2
12,200.74,13.0,0.2
13,200.80,13.2,0.2
14,200.85,13.7,0.2
15,200.91,13.9,0.2
16,200.96,13.8,0.2
17,201.02,13.9,0.2
18,201.07,13.6,0.2
19,201.13,13.7,0.2
20,201.18,13.9,0.2
21,201.24,13.7,0.2
22,201.29,13.9,0.2
23,201.35,14.0,0.2
24,201.40,14.1,0.2
25,201.46,14.2,0.2
26,201.51,14.4,0.2
27,201.57,14.4,0.2
28,201.62,14.2,0.2
29,201.68,14.3,0.2
30,201.73,14.3,0.2
31,201.79,14.4,0.2
32,201.84,14.4,0.2
33,201.90,14.6,0.2
34,201.95,14.9,0.2
35,202.00,14.8,0.2
36,202.06,14.6,0.2
37,202.11,14.8,0.2
38,202.17,15.1,0.2
39,202.22,15.1,0.2
40,202.28,14.9,0.2
41,202.33,15.0,0.2
42,202.39,15.2,0.2
43,202.44,15.0,0.2
44,202.50,15.3,0.2
45,202.55,15.0,0.2
46,202.61,14.8,0.2
47,202.66,14.5,0.2
48,202.72,14.3,0.2
49,202.77,15.0,0.2
50,202.83,14.9,0.2
51,202.88,14.8,0.2
52,202.94,15.0,0.2
53,202.99,15.3,0.2
54,203.04,15.4,0.2
55,203.10,15.9,0.2
56,203.15,15.5,0.2
57,203.21,15.6,0.2
58,203.26,15.3,0.2
59,203.32,15.0,0.2
60,203.37,15.5,0.2
61,203.43,15.7,0.2
62,203.48,15.5,0.2
63,203.54,15.7,0.2
64,203.59,16.0,0.2
65,203.65,15.6,0.2
66,203.70,15.7,0.2
67,203.76,15.4,0.2
68,203.81,15.5,0.2
69,203.86,15.9,0.2
70,203.92,15.9,0.2
71,203.97,16.1,0.2
72,204.03,16.4,0.2
73,204.08,16.4,0.2
74,204.14,16.8,0.2
75,204.19,16.2,0.2
76,204.25,16.4,0.2
77,204.30,16.1,0.2
78,204.36,16.1,0.2
79,204.41,16.0,0.2
80,204.47,16.0,0.2
81,204.52,16.2,0.2
82,204.57,16.4,0.2
83,204.63,15.9,0.2
84,204.68,16.1,0.2
85,204.74,16.4,0.2
86,204.79,16.2,0.2
87,204.85,16.8,0.2
88,204.90,17.4,0.2
89,204.96,18.0,0.2
90,205.01,18.3,0.3
91,205.07,17.9,0.2
92,205.12,17.5,0.2
93,205.18,17.1,0.2
94,205.23,17.4,0.2
95,205.28,18.1,0.2
96,205.34,18.1,0.2
97,205.39,19.0,0.3
98,205.45,18.6,0.3
99,205.50,18.4,0.3
100,205.56,18.5,0.2
101,205.61,18.7,0.2
102,205.67,19.2,0.3
103,205.72,18.5,0.3
104,205.77,18.3,0.2
105,205.83,18.1,0.2
106,205.88,18.4,0.2
107,205.94,17.9,0.2
108,205.99,17.7,0.2
109,206.05,17.5,0.2
110,206.10,17.3,0.2
111,206.16,17.3,0.2
112,206.21,17.5,0.2
113,206.27,17.1,0.2
114,206.32,17.5,0.2
115,206.37,16.9,0.2
116,206.43,17.2,0.2
117,206.48,17.3,0.2
118,206.54,17.7,0.2
119,206.59,18.4,0.2
120,206.65,18.1,0.2
121,206.70,18.7,0.3
122,206.76,18.5,0.3
123,206.81,17.5,0.2
124,206.86,18.0,0.2
125,206.92,17.9,0.2
126,206.97,17.6,0.2
127,207.03,17.7,0.2
128,207.08,17.6,0.2
129,207.14,17.3,0.2
130,207.19,17.1,0.2
131,207.24,17.3,0.2
132,207.30,16.9,0.2
133,207.35,16.9,0.2
134,207.41,16.6,0.2
135,207.46,16.7,0.2
136,207.52,17.0,0.2
137,207.57,16.4,0.2
138,207.63,16.6,0.2
139,207.68,16.6,0.2
140,207.73,17.0,0.2
141,207.79,17.2,0.2
142,207.84,17.1,0.3
143,207.90,16.6,0.3
144,207.95,16.7,0.2
145,208.01,16.5,0.2
146,208.06,17.3,0.2
147,208.11,16.9,0.2
148,208.17,16.8,0.2
149,208.22,17.0,0.2
150,208.28,16.8,0.2
151,208.33,16.9,0.2
152,208.39,17.1,0.2
153,208.44,17.1,0.2
154,208.49,16.6,0.2
155,208.55,16.6,0.2
156,208.60,16.6,0.2
157,208.66,16.9,0.2
158,208.71,16.9,0.2
159,208.77,16.8,0.2
160,208.82,16.8,0.2
161,208.87,16.8,0.2
162,208.93,17.2,0.2
163,208.98,17.1,0.2
164,209.04,17.1,0.2
165,209.09,17.3,0.2
166,209.15,17.1,0.3
167,209.20,17.0,0.2
168,209.25,17.0,0.2
169,209.31,17.5,0.2
170,209.36,17.7,0.2
171,209.42,17.4,0.2
172,209.47,17.4,0.2
173,209.53,17.3,0.2
174,209.58,17.3,0.2
175,209.63,18.4,0.2
176,209.69,19.3,0.3
177,209.74,19.7,0.3
178,209.80,20.4,0.3
179,209.85,19.7,0.3
180,209.91,18.8,0.2
181,209.96,19.0,0.3
182,210.01,19.4,0.3
183,210.07,19.9,0.3
184,210.12,19.8,0.3
185,210.18,19.7,0.3
186,210.23,19.5,0.3
187,210.28,20.1,0.2
188,210.34,20.1,0.2
189,210.39,19.9,0.3
190,210.45,19.3,0.3
191,210.50,19.6,0.3
192,210.56,18.7,0.3
193,210.61,18.4,0.2
194,210.66,18.8,0.2
195,210.72,18.1,0.2
196,210.77,18.2,0.2
197,210.83,18.1,0.2
198,210.88,18.2,0.2
199,210.93,18.2,0.2
200,210.99,17.9,0.2
201,211.04,18.1,0.2
202,211.10,17.9,0.3
